"","author","language"
"2","Broch,Hermann","ita"
"4","Hess,Annette","por"
"6","Handke,Peter","por"
"7","Handke,Peter","eng"
"11","Lavant,Christine","dut"
"15","Kasten,Mona","spa"
"16","Kasten,Mona","spa"
"17","Musil,Robert","eng"
"18","Bomann,Corina","dut"
"19","Kliesch,Vincent","gre"
"21","Ewers,HannsHeinz","bul"
"22","Zweig,Stefan","bul"
"23","Schalansky,Judith","eng"
"24","Handke,Peter","gre"
"25","Steiner,Rudolf","dut"
"26","Kluge,Alexander","eng"
"31","Wolf,Christa","spa"
"32","Giordano,Mario","eng"
"34","Wells,Benedict","nor"
"35","Kasten,Mona","dut"
"36","Handke,Peter","swe"
"38","Bernhard,Thomas","bul"
"41","Celan,Paul","slv"
"42","Bannalec,Jean-Luc","cze"
"44","Mann,Thomas","nor"
"47","Kafka,Franz","spa"
"49","Hoffmann,E.T.A.","fre"
"51","Peters,Pauline","cze"
"53","Fitzek,Sebastian","cze"
"54","Raabe,Melanie","pol"
"57","Mann,Thomas","spa"
"59","Ransmayr,Christoph","nor"
"61","Handke,Peter","eng"
"63","Link,Charlotte","pol"
"67","Fitzek,Sebastian","cze"
"71","Fricke,Lucy","cze"
"75","Lark,Sarah","dut"
"77","Hillenbrand,Tom","dut"
"78","Bernhard,Thomas","dut"
"79","Fitzek,Sebastian","dut"
"81","Bomann,Corina","dut"
"84","Hesse,Hermann","spa"
"85","Braun,Volker","eng"
"86","Buchholz,Simone","dan"
"87","Brecht,Bertolt","nor"
"95","Grjasnowa,Olga","ita"
"96","Mann,Thomas","spa"
"100","Bernhard,Thomas","pol"
"101","Delius,FriedrichChristian","ita"
"106","Link,Charlotte","pol"
"109","Hess,Annette","gre"
"111","Brecht,Bertolt","dan"
"114","Lark,Sarah","spa"
"116","Leky,Mariana","spa"
"120","Schneider,Peter","spa"
"121","Lark,Sarah","spa"
"123","Broch,Hermann","spa"
"124","Wodin,Natascha","fre"
"129","Handke,Peter","spa"
"131","Schmidt,Arno","dut"
"132","Wodin,Natascha","dut"
"136","Bernhard,Thomas","ita"
"137","Celan,Paul","nor"
"138","Mayröcker,Friederike","eng"
"143","Keun,Irmgard","eng"
"146","Salzmann,Marianna","spa"
"148","Poschmann,Marion","nor"
"151","Trakl,Georg","dut"
"158","Berg,Sibylle","spa"
"162","Schami,Rafik","tur"
"163","Suhr,Geertje","eng"
"165","Hesse,Hermann","tur"
"166","Fitzek,Sebastian","dut"
"167","Lavant,Christine","dut"
"168","Bomann,Corina","dut"
"170","Bomann,Corina","dut"
"171","Tucholsky,Kurt","dut"
"174","Erpenbeck,Jenny","nor"
"180","Neuhaus,Nele","ita"
"182","Broch,Hermann","ita"
"183","Trojanow,Ilija","ita"
"184","Bomann,Corina","ita"
"185","Neuhaus,Nele","ita"
"186","Strauß,Botho","ita"
"187","Kehlmann,Daniel","ita"
"190","Setz,ClemensJ.","hrv"
"192","Handke,Peter","ita"
"193","Bannalec,Jean-Luc","ita"
"195","Schalansky,Judith","ita"
"196","Schalansky,Judith","dut"
"197","Erpenbeck,Jenny","pol"
"199","Berg,Ellen","cze"
"201","Krien,Daniela","dan"
"202","Beyer,Marcel","hun"
"205","Hülsmann,Petra","cze"
"207","Williges,FabianW.","pol"
"210","Hesse,Hermann","por"
"216","Lüscher,Jonas","spa"
"218","Handke,Peter","srp"
"220","Safier,David","fre"
"221","Hess,Annette","spa"
"225","Handke,Peter","ita"
"226","Link,Charlotte","spa"
"227","Chamisso,Adelbertvon","spa"
"232","Kafka,Franz","fre"
"234","Mann,Thomas","spa"
"235","Mann,Thomas","spa"
"236","Haushofer,Marlen","spa"
"239","Hoffmann,E.T.A.","spa"
"240","Bomann,Corina","ita"
"242","Timm,Uwe","ita"
"243","Handke,Peter","ita"
"244","Seghers,Anna","fre"
"246","Bomann,Corina","ita"
"247","Schätzing,Frank","ita"
"248","Kafka,Franz","spa"
"254","Handke,Peter","fre"
"255","Krien,Daniela","ita"
"258","Jelinek,Elfriede","ita"
"259","Seethaler,Robert","fre"
"260","Vosseler,NicoleC.","fre"
"261","Scheer,KarlH.","fre"
"262","Fitzek,Sebastian","fre"
"263","Mörike,Eduard","fre"
"264","Scheer,KarlH.","fre"
"266","Kehlmann,Daniel","fre"
"267","Schimmelpfennig,Roland","fre"
"269","Lark,Sarah","pol"
"273","Handke,Peter","fre"
"274","Bannalec,Jean-Luc","fre"
"275","Keller,Gottfried","fre"
"276","Neuhaus,Nele","fre"
"277","Bannalec,Jean-Luc","fre"
"278","Bannalec,Jean-Luc","fre"
"279","Taylor,Kathryn","fre"
"283","Krien,Daniela","dut"
"284","Lark,Sarah","fre"
"288","Hackl,Erich","spa"
"292","Kutscher,Volker","cze"
"298","Bachmann,Ingeborg","tur"
"299","Handke,Peter","dan"
"301","Fitzek,Sebastian","gre"
"302","Enzensberger,HansMagnus","cze"
"303","Enzensberger,HansMagnus","pol"
"305","Ebert,Sabine","cze"
"307","Kafka,Franz","ita"
"311","Enzensberger,HansMagnus","hrv"
"312","Buchholz,Simone","eng"
"315","Celan,Paul","ita"
"316","Bernhard,Thomas","ita"
"317","Zweig,Stefan","spa"
