"","author","language"
"1","Lindemann,Till","fin"
"3","Hesse,Hermann","geo"
"14","Fitzek,Sebastian","est"
"20","Lark,Sarah","cat"
"27","Link,Charlotte","lit"
"29","Handke,Peter","baq"
"37","Werfel,Franz","lit"
"48","Hess,Annette","rum"
"52","Fitzek,Sebastian","slo"
"55","Link,Charlotte","lav"
"69","Erb,Elke","ger"
"70","Mohnnau,RalphGünther","ger"
"88","Neuhaus,Nele","slo"
"93","Mohnnau,RalphGünther","ger"
"117","Hesse,Hermann","cat"
"119","Süskind,Patrick","cat"
"144","Bernhard,Thomas","cat"
"149","Hoddis,Jakobvan","ger"
"153","Hesse,Hermann","slo"
"154","Neuhaus,Nele","lit"
"155","Kasten,Mona","lav"
"164","Handke,Peter","fin"
"191","Handke,Peter","cat"
"194","Schalansky,Judith","cat"
"203","Heinichen,Veit","fin"
"206","Modick,Klaus","est"
"209","Hesse,Hermann","slo"
"211","Leky,Mariana","lav"
"213","Seethaler,Robert","fin"
"230","Handke,Peter","cat"
"256","Lark,Sarah","cat"
"304","Busch,Wilhelm","nds"
"309","Bomann,Corina","lit"
"310","Celan,Paul","rum"
"329","Wolf,Christa","ara"
"346","Schlink,Bernhard","tha"
"357","Erpenbeck,Jenny","fin"
"358","Lucas,Charlotte","slo"
"365","Widmer,Urs","slo"
"367","Schulze,Ingo","slo"
"369","Hoffmann,Heinrich","ger"
"370","Hoffmann,Heinrich","ger"
"372","Walser,Robert","per"
"382","Schlink,Bernhard","lav"
"386","Celan,Paul","ukr"
"387","Poschmann,Marion","lit"
"389","Apitz,Bruno","chi"
"397","Bernhard,Thomas","ger"
"408","Peters,Pauline","rum"
"410","Wagner,David","chi"
"411","Fitzek,Sebastian","slo"
"412","Kubelka,Susanna","lit"
"414","Hesse,Hermann","cat"
"425","Handke,Peter","est"
"446","Mohnnau,RalphGünther","ger"
"448","Handke,Peter","lit"
"451","Sachs,Nelly","heb"
"452","Celan,Paul","est"
"475","Hess,Annette","fin"
"482","Kehlmann,Daniel","bel"
"484","Fricke,Lucy","fin"
"486","Horváth,Ödönvon","cat"
"490","Rachowski,Utz","ger"
"492","Buchholz,Simone","fin"
"510","Fitzek,Sebastian","slo"
"513","Kafka,Franz","chi"
"516","Enzensberger,HansMagnus","ger"
"536","Menasse,Robert","ara"
"590","Winkler,Katharina","ger"
"598","Bannalec,Jean-Luc","est"
"601","Loher,Dea","rum"
"609","Williges,FabianW.","rum"
"610","Gruber,Andreas","slo"
"612","Hoffmann,E.T.A.","ger"
"616","Lark,Sarah","lav"
"632","Schlattner,Eginald","rum"
"635","Mann,Thomas","cat"
"654","Koch,Erich","nds"
"671","Kehlmann,Daniel","mon"
"672","Hesse,Hermann","slo"
"698","Handke,Peter","ara"
"735","Boschwitz,UlrichAlexander","cat"
"738","Vermes,Timur","cat"
"739","Mann,Thomas","cat"
"775","Dahn,Felix","fin"
"776","Fried,Erich","gle"
"784","Salzmann,Marianna","cat"
"793","Hesse,Hermann","ger"
"820","Reinehr,Wilfried","nds"
"821","Bonné,Mirko","est"
"877","Koch,Erich","nds"
"891","Fontane,Theodor","ger"
"893","Salten,Felix","fin"
"894","Salten,Felix","fin"
"898","Wells,Benedict","lit"
"901","Bach,Tabea","lav"
"903","Stanišić,Saša","lav"
"904","Boschwitz,UlrichAlexander","lit"
"905","Seghers,Jan","kor"
"910","Hesse,Hermann","slo"
"918","Hillenbrand,Tom","mac"
"923","Buchholz,Simone","fin"
"931","Strunk,Heinz","fin"
"933","Neuhaus,Nele","est"
"938","Hess,Annette","cat"
"939","Hess,Annette","cat"
"986","Lark,Sarah","cat"
"1046","Kutscher,Volker","est"
"1052","Schlattner,Eginald","rum"
"1062","Erpenbeck,Jenny","fin"
"1063","Haratischwili,Nino","geo"
"1066","Neuhaus,Nele","lav"
"1072","Neuhaus,Nele","lit"
"1077","Kutscher,Volker","ukr"
"1078","Kutscher,Volker","slo"
"1085","Schlink,Bernhard","vie"
"1086","Tawada,Yōko","fin"
"1087","Werfel,Franz","lav"
"1093","Kutscher,Volker","fin"
"1101","Kehlmann,Daniel","kor"
"1127","Reinehr,Wilfried","nds"
"1137","Seethaler,Robert","rum"
"1142","Schlink,Bernhard","rum"
"1146","Schlink,Bernhard","ice"
"1149","Schlink,Bernhard","ukr"
"1156","Abarbanell,Stephan","rum"
"1165","Lenz,Siegfried","lav"
"1167","Fitzek,Sebastian","ukr"
"1168","Bronsky,Alina","lit"
"1173","Süskind,Patrick","ind"
"1176","Jelinek,Elfriede","slo"
"1183","Lucas,Charlotte","slo"
"1189","Enzensberger,HansMagnus","ger"
"1193","Koch,Erich","nds"
"1197","Krüger,Michael","ger"
"1211","Hess,Annette","slo"
"1227","Buchholz,Simone","fin"
"1229","Heiss,Sonja","lav"
"1287","Menasse,Robert","lit"
"1306","Jünger,Ernst","ukr"
"1307","Koch,Erich","nds"
"1317","Sachs,Nelly","est"
"1332","Haller,Albrechtvon","ger"
"1366","Huchel,Peter","ger"
"1371","Kehlmann,Daniel","lav"
"1389","Safier,David","fin"
"1395","Klüssendorf,Angelika","fin"
"1407","Süskind,Patrick","cat"
"1417","George,Nina","fin"
"1430","Broch,Hermann","geo"
"1436","Lucas,Charlotte","lav"
"1437","Salten,Felix","fin"
"1460","Andersch,Alfred","per"
"1468","Kling,Thomas","ger"
"1489","Taylor,Kathryn","lav"
