"","author","language"
"5","Jacobs,Anne","hun"
"8","Butschkow,Ralf","hun"
"9","Jacobs,Anne","hun"
"10","Sperling,Rolf","gsw"
"12","Kietzke,Bernd","gsw"
"13","Hausmann,Romy","swe"
"28","Korn,Carmen","ita"
"33","Knittermeier,Frank","gsw"
"39","Goga-Klinkenberg,Susanne","spa"
"40","Perplies,Bernd","eng"
"43","Kálnay,Juliana","spa"
"45","Iosivoni,Bianca","rus"
"46","Steiner,Jens","ita"
"50","Jacobs,Anne","cze"
"56","Marly,Michelle","slv"
"58","Doehn,UweGeorg","eng"
"60","Glaser,Brigitte","ita"
"62","Brunner,Bernd","spa"
"64","Strauß,Simon","swe"
"65","Kaiser,Gunnar","fre"
"66","Haensel,Hubert","cze"
"68","Meyer,Clemens","eng"
"72","Berkel,Christian","dut"
"73","Helfer,Monika","dut"
"74","Tergit,Gabriele","dut"
"76","Randl,Lola","dut"
"80","Sahler,Martina","dut"
"83","Hausmann,Romy","eng"
"91","Spies,Heidi","gsw"
"97","Korn,Carmen","nor"
"98","Wittmann,Dominik","gsw"
"99","Drössler,Sabine","gsw"
"105","Goldammer,Frank","dut"
"107","Röhricht,Martina","gsw"
"108","Jerger,Ilona","ita"
"110","Johnson,Uwe","dut"
"113","Abel,Winnie","gsw"
"115","Inusa,Manuela","spa"
"118","Goga-Klinkenberg,Susanne","spa"
"122","Beer,Alex","spa"
"125","Wetzel,Maike","eng"
"127","Ani,Friedrich","gre"
"128","Fleißer,Marieluise","dan"
"130","Borrmann,Mechtild","fre"
"134","Montillon,Christian","cze"
"135","Ellmer,Arndt","cze"
"139","Kiafas,Giorgos","hun"
"141","Freudenthaler,Laura","dut"
"145","Bernard,Caroline","hun"
"147","Böldl,Klaus","nor"
"152","Velasco,Stefaniede","dut"
"156","Renk,Ulrike","ita"
"157","Bossong,Nora","eng"
"159","Kinsky,Esther","eng"
"160","Kinsky,Esther","eng"
"169","Fallwickl,Mareike","dut"
"172","Korn,Carmen","spa"
"173","Kietzke,Bernd","gsw"
"175","Lamballe,Marie","cze"
"176","Engel,Kathinka","ita"
"177","Hoffmann,Horst","cze"
"179","Goga-Klinkenberg,Susanne","ita"
"181","Nikolai,Maria","ita"
"188","Simon,Teresa","ita"
"198","Freudenthaler,Laura","bul"
"204","Lamballe,Marie","cze"
"212","Annas,Max","fre"
"214","Kneidl,Laura","rus"
"215","Kneidl,Laura","rus"
"217","Freudenthaler,Laura","bul"
"219","Bayraktar,Mesut","tur"
"222","Kröhn,Julia","spa"
"223","Kröhn,Julia","ita"
"224","Saller,Tom","fre"
"228","Fürstenberg,Paula","fre"
"229","Goga-Klinkenberg,Susanne","ita"
"231","Jacobs,Anne","spa"
"233","Hausmann,Romy","ita"
"237","Bernard,Caroline","ita"
"238","Wolf,Daniel","spa"
"241","Klüpfel,Volker","ita"
"245","Revedin,Jana","ita"
"249","Lucadou,Juliavon","ita"
"250","Johannson,Lena","ita"
"251","Jacobs,Anne","ita"
"252","Berkel,Christian","ita"
"253","Berkel,Christian","ita"
"257","Serner,Walter","eng"
"265","Berkel,Christian","fre"
"268","Kirchhofer,Markus","fre"
"270","Todisco,Vincenzo","fre"
"271","Simon,Lars","pol"
"272","Jacobs,Anne","ita"
"280","Hohl,Ludwig","fre"
"281","Zoeke,Barbara","fre"
"282","Jarawan,Pierre","dut"
"285","Gilbers,Harald","ita"
"286","Köhler,Karen","ita"
"287","Hänny,Reto","fre"
"289","Mitchell,Davina","eng"
"290","Engel,Kathinka","ita"
"291","Goldammer,Frank","dan"
"293","Marly,Michelle","cze"
"294","Marly,Michelle","swe"
"295","Marly,Michelle","pol"
"296","Inusa,Manuela","bul"
"297","Lamballe,Marie","cze"
"300","Hausmann,Romy","swe"
"306","Martinek,Hilly","cze"
"308","Franzobel","dan"
"313","Knopp,Beate","spa"
"314","Hausmann,Romy","spa"
"318","Hausmann,Romy","cze"
"326","Schnitgerhans,Holger","eng"
"327","Welp,Anette","eng"
"331","Fritsche,Markus","ita"
"332","Kaiser,Gunnar","ita"
"333","Giampietro,Nicoletta","ita"
"334","Drews,Arne","eng"
"336","Lamballe,Marie","cze"
"341","Lehner,Angela","hrv"
"342","Meistermann,Heinz","eng"
"350","Beer,Alex","dut"
"351","Yuan,Kanghan","eng"
"356","Levski,MarcusE.","rus"
"360","Knodt,Reinhard","eng"
"363","Hoffmann,Sandra","eng"
"373","Montillon,Christian","cze"
"376","Ensafpour,Nahid","eng"
"383","Hoffmann,Horst","cze"
"385","Montillon,Christian","cze"
"391","Goetz,Rainald","eng"
"393","Doehn,UweGeorg","eng"
"394","Abel,Winnie","gsw"
"398","Strauß,Simon","dan"
"400","Simon,Teresa","cze"
"406","Spehling,Bernd","gsw"
"407","Doehn,UweGeorg","eng"
"409","Hausmann,Romy","tur"
"419","Hausmann,Romy","dut"
"422","Voosen,Roman","cze"
"423","Appel,Jörg","gsw"
"424","Uhlmann,Thees","cze"
"427","Borrmann,Mechtild","fre"
"434","Würger,Takis","cze"
"435","Würger,Takis","swe"
"436","Würger,Takis","fre"
"437","Schimmel,Hans","gsw"
"443","Abel,Winnie","gsw"
"445","Molinari,Gianna","cze"
"447","Crow","eng"
"449","Hofer,Bernhard","ita"
"450","Schulz,Tom","gre"
"454","Libera,Leszek","pol"
"456","Ruth,Alexander","eng"
"457","Yuan,Kanghan","eng"
"458","Kim,Anna","eng"
"459","Doehn,UweGeorg","eng"
"463","Weiss,Volkmar","eng"
"467","Jirgl,Reinhard","eng"
"468","Korn,Carmen","spa"
"469","Jacobs,Anne","spa"
"472","Haensel,Hubert","cze"
"474","Köck,Thomas","pol"
"477","Girst,Thomas","ita"
"479","Kneidl,Laura","pol"
"489","Doehn,UweGeorg","eng"
"491","Ellmer,Arndt","cze"
"493","Lacrosse,Marie","cze"
"494","Scheuer,Norbert","dan"
"497","Beele,Louisa","dut"
"498","Cazon,Christine","rus"
"502","Scheuer,Norbert","dut"
"503","Tsokos,Michael","gre"
"512","Levski,MarcusE.","rus"
"515","Cavazzini,Christiane","gsw"
"522","Kling,Marc-Uwe","hun"
"523","Kronauer,Brigitte","hun"
"525","Pflüger,Andreas","eng"
"526","Jacobs,Anne","hun"
"527","Cavazzini,Christiane","gsw"
"528","Simmons,Charles","ita"
"529","Sander,Karen","ita"
"530","Hausmann,Romy","swe"
"531","Schimmel,Hans","gsw"
"534","Kollender,Andreas","cze"
"543","Losacker,Wolfgang","eng"
"548","Sanzo,Francesco","ita"
"551","Schneider,Rainer","eng"
"554","Zoche,Hermann-Josef","slv"
"555","Sternberg,Emma","ita"
"556","Voosen,Roman","cze"
"560","Ewers,H.G.","jpn"
"561","Stejnar,Emil","eng"
"567","Bjerg,Bov","rus"
"568","Müller,Günther","gsw"
"570","Schwitters,Kurt","dut"
"589","Pflüger,Andreas","spa"
"591","Enzensberger,Theresia","eng"
"592","Schwitters,Kurt","dut"
"595","Toskani,Anina","fre"
"600","Glaser,Brigitte","ita"
"603","Libera,Leszek","pol"
"604","Vögel,Stefan","bul"
"605","Thurner,MichaelMarcus","cze"
"607","Multhaupt,Hermann","pol"
"611","Coler,Hannah","cze"
"620","Abel,Winnie","gsw"
"622","Schimmel,Hans","gsw"
"625","Winter,DetlevG.","jpn"
"626","Andreä,JohannValentin","cze"
"627","Sternberg,Emma","fre"
"629","Struhar,Stanislav","cze"
"631","Kernbach,Michael","cze"
"642","Jeromin,Britta","eng"
"645","Segler,Tina","gsw"
"646","Schimmel,Hans","gsw"
"647","Spehling,Bernd","gsw"
"649","Hausmann,Romy","dut"
"651","Joseph,Wendy","eng"
"657","Nett,Olaf","dut"
"660","Stramm,August","dut"
"661","Jacobs,Anne","dut"
"662","Kiening,Alexandra","dut"
"667","Anders,Günther","dut"
"668","Goldammer,Frank","dut"
"669","Suttner,Berthavon","dut"
"677","Gilbers,Harald","fre"
"686","Woop,Reiner","gsw"
"687","Wening,Andreas","gsw"
"688","Fallwickl,Mareike","dut"
"689","Schimmel,Hans","gsw"
"690","Schimmel,Hans","gsw"
"691","Schimmel,Hans","gsw"
"693","Schimmel,Hans","gsw"
"694","Bekker,Alfred","pol"
"702","Schimmel,Hans","gsw"
"703","Schimmel,Hans","gsw"
"705","Marly,Michelle","ita"
"709","Segler,Tina","gsw"
"710","Mahr,Kurt","jpn"
"711","Theißen,Gerd","spa"
"721","Jordan,Ricarda","spa"
"723","Jacobs,Anne","spa"
"725","Goga-Klinkenberg,Susanne","spa"
"726","Jordan,Ricarda","spa"
"727","Wolf,Daniel","spa"
"731","Proensa,Katrin","spa"
"733","Kaiser,Vea","spa"
"737","Ott,Karl-Heinz","dut"
"741","Berkel,Christian","gre"
"749","Annas,Max","fre"
"757","Schimmel,Hans","gsw"
"758","Schmidt,Helmut","gsw"
"759","Baumgarten,Jürgen","gsw"
"772","Segler,Tina","gsw"
"774","Grün,Anselm","spa"
"777","Meier,Angelika","fre"
"778","Iosivoni,Bianca","pol"
"779","Iosivoni,Bianca","pol"
"780","Iosivoni,Bianca","pol"
"783","Jaeggi,Urs","fre"
"785","Lazar,Maria","dan"
"791","Zietsch,Uschi","dut"
"792","Schimmel,Hans","gsw"
"796","Gilbers,Harald","gre"
"811","Marly,Michelle","srp"
"812","Nagele,Andrea","ita"
"814","Minden,InkaLoreen","pol"
"815","Groh,Kevin","eng"
"817","Spehling,Bernd","gsw"
"822","Burstein,Martin","eng"
"823","Segler,Tina","gsw"
"824","Ganser,Susanne","dut"
"825","Buck,Vera","dut"
"826","Kolosowa,Wlada","dut"
"828","Zoeke,Barbara","dut"
"830","Jacobs,Anne","dut"
"831","Molinari,Gianna","dut"
"832","Toller,Ernst","eng"
"833","Mahr,Kurt","jpn"
"842","Lamballe,Marie","cze"
"851","Molinari,Gianna","fre"
"852","Adler,Katharina","ita"
"855","Lamballe,Marie","ita"
"862","Dieckmann,Guido","ita"
"867","Koppelstätter,Lenz","ita"
"868","Meyer,Clemens","ita"
"869","Martin,Sabine","ita"
"871","Kendrick,Sophie","ita"
"872","Baumgarten,Jürgen","gsw"
"873","Nawrat,Matthias","ita"
"879","Woop,Reiner","gsw"
"884","Kneidl,Laura","pol"
"885","Vandenberg,Patricia","pol"
"890","Riebe,Brigitte","hun"
"897","Weng,Joan","bul"
"899","Ziegler,Thomas","jpn"
"906","Ungar,Hermann","dan"
"907","Bekker,Alfred","pol"
"909","Würger,Takis","cze"
"913","Turhan,Su","tur"
"920","Knapp,Radek","hrv"
"922","Simon,Teresa","cze"
"924","Vandenberg,Patricia","pol"
"925","Vandenberg,Patricia","pol"
"927","Woolf,Marah","pol"
"928","Baumgarten,Jürgen","gsw"
"929","Lux,Lana","fre"
"932","Cavazzini,Christiane","gsw"
"935","Jordan,Ricarda","spa"
"940","Inusa,Manuela","spa"
"942","Kraus,Chris","fre"
"946","DiFulvio,Luca","ita"
"952","Gilbers,Harald","ita"
"953","Kalka,Joachim","spa"
"965","Enzensberger,Theresia","ita"
"966","Kreslehner,Gabi","ita"
"968","Inusa,Manuela","spa"
"970","Sterchi,Beat","fre"
"974","Nikolai,Maria","ita"
"975","Simon,Teresa","ita"
"976","Franzobel","ita"
"980","Rohr,Angela","ita"
"981","Sandra,Walkshofer","eng"
"989","Person,Jutta","ita"
"1000","Jacobs,Anne","ita"
"1001","Wunnicke,Christine","fre"
"1017","Nolte,Jakob","fre"
"1018","Schimmel,Hans","gsw"
"1019","Schimmel,Hans","gsw"
"1022","Schenk,Sylvie","fre"
"1032","Dorn,Wulf","spa"
"1034","Husemann,Dirk","cze"
"1037","Cavazzini,Christiane","gsw"
"1040","Kinsky,Esther","ita"
"1041","Worms,Martina","gsw"
"1042","Marly,Michelle","cze"
"1043","Marly,Michelle","swe"
"1044","Marly,Michelle","spa"
"1045","Marly,Michelle","bul"
"1048","Vandenberg,Patricia","pol"
"1051","Cavazzini,Christiane","gsw"
"1054","Jerger-Bachmann,Ilona","fre"
"1055","Stevens,Kelly","pol"
"1056","Plattner,Martin","bul"
"1059","Mahr,Kurt","jpn"
"1065","Jaschinski,Christian","dut"
"1070","Thurner,MichaelMarcus","cze"
"1073","Klüpfel,Volker","ita"
"1074","Kröhn,Julia","cze"
"1076","Vandenberg,Patricia","pol"
"1081","Engelmann,Ulrich","dut"
"1082","Schimmel,Hans","gsw"
"1089","Cavazzini,Christiane","gsw"
"1090","Bernard,Caroline","cze"
"1091","Weigold,Christof","cze"
"1096","Bekker,Alfred","pol"
"1098","Kastel,Michaela","ita"
"1103","Kneidl,Laura","ita"
"1104","Kneidl,Laura","ita"
"1106","Vandenberg,Patricia","pol"
"1107","Vandenberg,Patricia","pol"
"1108","Pfister,Astrid","pol"
"1109","Pflüger,Andreas","spa"
"1110","Vandenberg,Patricia","pol"
"1111","Giampietro,Nicoletta","dut"
"1113","Schilling,Uschi","dut"
"1114","Rehn,Jens","dut"
"1116","Marcus,Stella","pol"
"1117","Kummer,Tom","eng"
"1119","Kraft,Robert","cze"
"1120","Bekker,Alfred","pol"
"1121","Fölck,Romy","ita"
"1124","Vandenberg,Patricia","pol"
