"","degree(int)"
"Konsalik,HeinzG.",541
"Steiner,Rudolf",368
"Svatek,KurtF.",138
"Andersch,Alfred",261
"Bodrožić,Marica",104
"Böll,Heinrich",794
"Braun,HansMartin",129
"Büchner,Barbara",0
"Büchner,Georg",363
"Celan,Paul",663
"Chamisso,Adelbertvon",253
"Dürrenmatt,Friedrich",784
"Ebert,Sabine",165
"Enzensberger,HansMagnus",696
"Fallada,Hans",456
"Feuchtwanger,Lion",589
"Franck,Julia",539
"Frisch,Max",771
"Frischler,Kurt",0
"George,Nina",518
"Goethe,JohannWolfgangvon",792
"Göttler,Norbert",0
"Grän,Christine",227
"Grass,Günter",767
"Gruber,Marianne",0
"Grün,Maxvonder",439
"Hacker,Katharina",163
"Hackl,Erich",140
"Hauptmann,Gaby",526
"Hebbel,Friedrich",122
"Hesse,Hermann",775
"Hilsenrath,Edgar",428
"Hochhuth,Rolf",0
"Hölderlin,Friedrich",666
"Jelinek,Elfriede",777
"Kafka,Franz",788
"Kehlmann,Daniel",689
"Keller,Gottfried",206
"Köhler,Karen",0
"Lenz,Siegfried",623
"Loidolt,Gabriel",136
"Mann,Thomas",794
"Marti,Kurt",235
"Mercier,Pascal",565
"Minelli,Michèle",0
"Müller,Herta",663
"Müller,Wilhelm",147
"Musil,Robert",711
"Öhri,Armin",0
"Remarque,ErichMaria",625
"Roth,Joseph",576
"Schlink,Bernhard",687
"Schnitzler,Arthur",702
"Schulze,Ingo",762
"Steinhoff,Dorian",0
"Süskind,Patrick",798
"Trakl,Georg",540
"Treiber,Jutta",0
"Treichel,Hans-Ulrich",491
"Wallner,Michael",344
"Walser,Robert",684
"Wolf,Christa",658
"Zeh,Juli",680
"Zweig,Stefan",774
"Acklin,Jürg",0
"Alahmadi,Galal",0
"Auwad,Fouadel-",0
"Bachmann,Ingeborg",665
"Becker,Cornelia",0
"Benn,Gottfried",524
"Born,Nicolas",122
"Braun,Volker",294
"Brecht,Bertolt",625
"Brussig,Thomas",529
"CainKülbel,Jürgen",0
"Courant,Maria",0
"Delius,FriedrichChristian",198
"Erpenbeck,Jenny",668
"Fontane,Theodor",600
"Frischmuth,Barbara",76
"Geiger,Arno",274
"Gstrein,Norbert",231
"Haderlap,Maja",67
"Häfner,Johannes",0
"Handke,Peter",753
"Hartmann,Lukas",195
"Hauptmann,Gerhart",562
"Herrndorf,Wolfgang",291
"Hoppe,Felicitas",219
"Hübotter,Klaus",0
"Khayat,Rasha",57
"Kinkel,Tanja",67
"Kipphardt,Heinar",0
"Klein,Georg",66
"Köhlmeier,Michael",323
"Krüger,Michael",428
"Kuttner,Sarah",66
"Langenscheidt,Florian",0
"Lenze,Ulla",0
"Loetscher,Hugo",201
"Loher,Dea",164
"Menasse,Robert",328
"Mielke,ThomasR.P.",62
"Morgenstern,Christian",313
"Mühldorfer,Stefan",0
"Novalis",555
"Ostermaier,Albert",172
"Özdamar,EmineSevgi",269
"Pehnt,Annette",64
"Peltzer,Ulrich",63
"Peters,Christoph",179
"Präauer,Teresa",0
"Rakusa,Ilma",202
"Ransmayr,Christoph",593
"Rilke,RainerMaria",788
"Ruge,Eugen",484
"Šalāh,ʿAlīaš-",0
"Sartorius,Joachim",198
"Schami,Rafik",412
"Scheuermann,Silke",307
"Schiller,Friedrich",618
"Schimmel,Annemarie",0
"Seiler,Lutz",181
"Spengler,Tilman",139
"Trojanow,Ilija",292
"Walser,Martin",690
"Wawerzinek,Peter",60
"Werner,Markus",382
"Hein,Christoph",394
"Lessing,GottholdEphraim",543
"Lewitscharoff,Sibylle",273
"Werfel,Franz",609
"Williges,FabianW.",333
"Dorn,Wulf",0
"Hohler,Franz",157
"Bernhard,Thomas",725
"Döblin,Alfred",560
"Ende,Michael",218
"Fouqué,FriedrichdeLaMotte-",280
"Glattauer,Daniel",472
"Hoffmann,E.T.A.",714
"Keilson,Hans",346
"Kleist,Heinrichvon",541
"Knister",30
"Nietzsche,Friedrich",462
"Perutz,Leo",459
"Schirach,Ferdinandvon",654
"Tschinag,Galsan",142
"Vanderbeke,Birgit",402
"Zelik,Raul",37
"Bärfuss,Lukas",171
"Bürger,GottfriedAugust",566
"Gomringer,Nora",155
"Grimmelshausen,HansJakobChristoffelvon",276
"Heine,Heinrich",541
"Kohl,Paul",0
"Kumpfmüller,Michael",388
"Lenau,Nikolaus",224
"Lüscher,Jonas",194
"Mann,Klaus",481
"Maron,Monika",383
"Meyrink,Gustav",580
"Pollack,Martin",26
"Sander,Gregor",27
"Schmidt,Kathrin",378
"Winkler,Philipp",28
"Kolbe,Uwe",114
"Ljubić,Nicol",16
"Meckel,Christoph",373
"Michel,Robert",0
"Said",58
"Stanišić,Saša",409
"Suter,Martin",541
"Vermes,Timur",631
"Winkler,Josef",354
"Aichinger,Ilse",267
"Aigner,ChristophWilhelm",0
"Altenberg,Peter",180
"Altmann,Andreas",0
"Andreä,JohannValentin",0
"Arjouni,Jakob",250
"Augustin,Hans",0
"Bannalec,Jean-Luc",340
"Bartschat,PeterGustav",0
"Barylli,Gabriel",0
"Bechstein,Ludwig",0
"Beck,Zoë",0
"Bérard,Sophie",0
"Berg,Sibylle",334
"Berger,Axel",0
"Berger,Herbert",0
"Bergmann,Emanuel",254
"Berner,RotrautSusanne",0
"Beyer,Marcel",346
"Blaise,Henri",0
"Blatter,Silvio",0
"Borchers,Elisabeth",73
"Brambach,Rainer",125
"Brechbühl,Beat",0
"Brem,Ilse",0
"Broch,Hermann",367
"Bruckner,Ferdinand",0
"Buchheim,Lothar-Günther",185
"Canetti,Elias",586
"Capus,Alex",402
"Cejpek,Lucas",0
"Christ,Eva",0
"Cotton,Jerry",132
"Courths-Mahler,Hedwig",306
"Dahn,Felix",82
"Degens,Marc",0
"Dempf,Peter",0
"Demus,Klaus",0
"Deor,Inga",0
"Dinev,Dimitré",0
"Donhauser,Michael",110
"Dorian,Ada",0
"Dragnić,Nataša",539
"Dübell,Richard",231
"Dückers,Tanja",0
"Ebers,Georg",164
"Eisenreich,Herbert",0
"Ernsting,Walter",34
"Eschbach,Andreas",454
"Evert,RoumenM.",0
"Ewers,HannsHeinz",184
"Faes,Urs",369
"Falk,Victorvon",0
"Fassbinder,RainerWerner",46
"Fatah,Sherko",0
"Feyl,Renate",0
"Fischer,ClausCornelius",151
"Fitzek,Sebastian",537
"Frank,Wolfgang",0
"Franzobel",0
"Freud,Sigmund",0
"Freudenthaler,Laura",0
"Fuld,Werner",0
"Ganglbauer,Petra",0
"Garner,R.F.",0
"Gelich,Johannes",0
