"","per_membership","per_list"
"1",2,"Konsalik,HeinzG."
"2",1,"Steiner,Rudolf"
"3",1,"Svatek,KurtF."
"4",2,"Andersch,Alfred"
"5",2,"Bodrožić,Marica"
"6",2,"Böll,Heinrich"
"7",2,"Braun,HansMartin"
"8",6,"Büchner,Barbara"
"9",1,"Büchner,Georg"
"10",1,"Celan,Paul"
"11",2,"Chamisso,Adelbertvon"
"12",2,"Dürrenmatt,Friedrich"
"13",2,"Ebert,Sabine"
"14",1,"Enzensberger,HansMagnus"
"15",2,"Fallada,Hans"
"16",2,"Feuchtwanger,Lion"
"17",2,"Franck,Julia"
"18",2,"Frisch,Max"
"19",7,"Frischler,Kurt"
"20",2,"George,Nina"
"21",1,"Goethe,JohannWolfgangvon"
"22",8,"Göttler,Norbert"
"23",2,"Grän,Christine"
"24",2,"Grass,Günter"
"25",9,"Gruber,Marianne"
"26",2,"Grün,Maxvonder"
"27",2,"Hacker,Katharina"
"28",2,"Hackl,Erich"
"29",2,"Hauptmann,Gaby"
"30",1,"Hebbel,Friedrich"
"31",2,"Hesse,Hermann"
"32",2,"Hilsenrath,Edgar"
"33",10,"Hochhuth,Rolf"
"34",1,"Hölderlin,Friedrich"
"35",2,"Jelinek,Elfriede"
"36",2,"Kafka,Franz"
"37",2,"Kehlmann,Daniel"
"38",1,"Keller,Gottfried"
"39",11,"Köhler,Karen"
"40",2,"Lenz,Siegfried"
"41",2,"Loidolt,Gabriel"
"42",2,"Mann,Thomas"
"43",1,"Marti,Kurt"
"44",2,"Mercier,Pascal"
"45",12,"Minelli,Michèle"
"46",2,"Müller,Herta"
"47",1,"Müller,Wilhelm"
"48",2,"Musil,Robert"
"49",13,"Öhri,Armin"
"50",2,"Remarque,ErichMaria"
"51",2,"Roth,Joseph"
"52",2,"Schlink,Bernhard"
"53",2,"Schnitzler,Arthur"
"54",2,"Schulze,Ingo"
"55",14,"Steinhoff,Dorian"
"56",2,"Süskind,Patrick"
"57",1,"Trakl,Georg"
"58",15,"Treiber,Jutta"
"59",2,"Treichel,Hans-Ulrich"
"60",2,"Wallner,Michael"
"61",2,"Walser,Robert"
"62",2,"Wolf,Christa"
"63",2,"Zeh,Juli"
"64",2,"Zweig,Stefan"
"65",1,"Acklin,Jürg"
"66",2,"Alahmadi,Galal"
"67",2,"Auwad,Fouadel-"
"68",1,"Bachmann,Ingeborg"
"69",2,"Becker,Cornelia"
"70",1,"Benn,Gottfried"
"71",2,"Born,Nicolas"
"72",1,"Braun,Volker"
"73",2,"Brecht,Bertolt"
"74",2,"Brussig,Thomas"
"75",2,"CainKülbel,Jürgen"
"76",2,"Courant,Maria"
"77",2,"Delius,FriedrichChristian"
"78",2,"Erpenbeck,Jenny"
"79",2,"Fontane,Theodor"
"80",2,"Frischmuth,Barbara"
"81",2,"Geiger,Arno"
"82",2,"Gstrein,Norbert"
"83",2,"Haderlap,Maja"
"84",1,"Häfner,Johannes"
"85",2,"Handke,Peter"
"86",2,"Hartmann,Lukas"
"87",2,"Hauptmann,Gerhart"
"88",2,"Herrndorf,Wolfgang"
"89",2,"Hoppe,Felicitas"
"90",1,"Hübotter,Klaus"
"91",2,"Khayat,Rasha"
"92",2,"Kinkel,Tanja"
"93",2,"Kipphardt,Heinar"
"94",2,"Klein,Georg"
"95",2,"Köhlmeier,Michael"
"96",2,"Krüger,Michael"
"97",2,"Kuttner,Sarah"
"98",2,"Langenscheidt,Florian"
"99",2,"Lenze,Ulla"
"100",2,"Loetscher,Hugo"
"101",2,"Loher,Dea"
"102",2,"Menasse,Robert"
"103",2,"Mielke,ThomasR.P."
"104",1,"Morgenstern,Christian"
"105",2,"Mühldorfer,Stefan"
"106",1,"Novalis"
"107",1,"Ostermaier,Albert"
"108",2,"Özdamar,EmineSevgi"
"109",2,"Pehnt,Annette"
"110",2,"Peltzer,Ulrich"
"111",2,"Peters,Christoph"
"112",2,"Präauer,Teresa"
"113",2,"Rakusa,Ilma"
"114",2,"Ransmayr,Christoph"
"115",1,"Rilke,RainerMaria"
"116",2,"Ruge,Eugen"
"117",2,"Šalāh,ʿAlīaš-"
"118",1,"Sartorius,Joachim"
"119",2,"Schami,Rafik"
"120",2,"Scheuermann,Silke"
"121",1,"Schiller,Friedrich"
"122",2,"Schimmel,Annemarie"
"123",2,"Seiler,Lutz"
"124",2,"Spengler,Tilman"
"125",2,"Trojanow,Ilija"
"126",2,"Walser,Martin"
"127",2,"Wawerzinek,Peter"
"128",2,"Werner,Markus"
"129",2,"Hein,Christoph"
"130",1,"Lessing,GottholdEphraim"
"131",2,"Lewitscharoff,Sibylle"
"132",2,"Werfel,Franz"
"133",2,"Williges,FabianW."
"134",16,"Dorn,Wulf"
"135",2,"Hohler,Franz"
"136",2,"Bernhard,Thomas"
"137",2,"Döblin,Alfred"
"138",2,"Ende,Michael"
"139",1,"Fouqué,FriedrichdeLaMotte-"
"140",2,"Glattauer,Daniel"
"141",2,"Hoffmann,E.T.A."
"142",1,"Keilson,Hans"
"143",2,"Kleist,Heinrichvon"
"144",2,"Knister"
"145",1,"Nietzsche,Friedrich"
"146",2,"Perutz,Leo"
"147",2,"Schirach,Ferdinandvon"
