"","author","degree_int"
"1","Konsalik,HeinzG.",541
"2","Steiner,Rudolf",368
"3","Svatek,KurtF.",138
"4","Andersch,Alfred",261
"5","Bodrožić,Marica",104
"6","Böll,Heinrich",794
"7","Braun,HansMartin",129
"8","Büchner,Georg",363
"9","Celan,Paul",663
"10","Chamisso,Adelbertvon",253
"11","Dürrenmatt,Friedrich",784
"12","Ebert,Sabine",165
"13","Enzensberger,HansMagnus",696
"14","Fallada,Hans",456
"15","Feuchtwanger,Lion",589
"16","Franck,Julia",539
"17","Frisch,Max",771
"18","George,Nina",518
"19","Goethe,JohannWolfgangvon",792
"20","Grän,Christine",227
"21","Grass,Günter",767
"22","Grün,Maxvonder",439
"23","Hacker,Katharina",163
"24","Hackl,Erich",140
"25","Hauptmann,Gaby",526
"26","Hebbel,Friedrich",122
"27","Hesse,Hermann",775
"28","Hilsenrath,Edgar",428
"29","Hölderlin,Friedrich",666
"30","Jelinek,Elfriede",777
"31","Kafka,Franz",788
"32","Kehlmann,Daniel",689
"33","Keller,Gottfried",206
"34","Lenz,Siegfried",623
"35","Loidolt,Gabriel",136
"36","Mann,Thomas",794
"37","Marti,Kurt",235
"38","Mercier,Pascal",565
"39","Müller,Herta",663
"40","Müller,Wilhelm",147
"41","Musil,Robert",711
"42","Remarque,ErichMaria",625
"43","Roth,Joseph",576
"44","Schlink,Bernhard",687
"45","Schnitzler,Arthur",702
"46","Schulze,Ingo",762
"47","Süskind,Patrick",798
"48","Trakl,Georg",540
"49","Treichel,Hans-Ulrich",491
"50","Wallner,Michael",344
"51","Walser,Robert",684
"52","Wolf,Christa",658
"53","Zeh,Juli",680
"54","Zweig,Stefan",774
"55","Bachmann,Ingeborg",665
"56","Benn,Gottfried",524
"57","Born,Nicolas",122
"58","Braun,Volker",294
"59","Brecht,Bertolt",625
"60","Brussig,Thomas",529
"61","Delius,FriedrichChristian",198
"62","Erpenbeck,Jenny",668
"63","Fontane,Theodor",600
"64","Frischmuth,Barbara",76
"65","Geiger,Arno",274
"66","Gstrein,Norbert",231
"67","Haderlap,Maja",67
"68","Handke,Peter",753
"69","Hartmann,Lukas",195
"70","Hauptmann,Gerhart",562
"71","Herrndorf,Wolfgang",291
"72","Hoppe,Felicitas",219
"73","Khayat,Rasha",57
"74","Kinkel,Tanja",67
"75","Klein,Georg",66
"76","Köhlmeier,Michael",323
"77","Krüger,Michael",428
"78","Kuttner,Sarah",66
"79","Loetscher,Hugo",201
"80","Loher,Dea",164
"81","Menasse,Robert",328
"82","Mielke,ThomasR.P.",62
"83","Morgenstern,Christian",313
"84","Novalis",555
"85","Ostermaier,Albert",172
"86","Özdamar,EmineSevgi",269
"87","Pehnt,Annette",64
"88","Peltzer,Ulrich",63
"89","Peters,Christoph",179
"90","Rakusa,Ilma",202
"91","Ransmayr,Christoph",593
"92","Rilke,RainerMaria",788
"93","Ruge,Eugen",484
"94","Sartorius,Joachim",198
"95","Schami,Rafik",412
"96","Scheuermann,Silke",307
"97","Schiller,Friedrich",618
"98","Seiler,Lutz",181
"99","Spengler,Tilman",139
"100","Trojanow,Ilija",292
"101","Walser,Martin",690
"102","Wawerzinek,Peter",60
"103","Werner,Markus",382
"104","Hein,Christoph",394
"105","Lessing,GottholdEphraim",543
"106","Lewitscharoff,Sibylle",273
"107","Werfel,Franz",609
"108","Williges,FabianW.",333
"109","Hohler,Franz",157
"110","Bernhard,Thomas",725
"111","Döblin,Alfred",560
"112","Ende,Michael",218
"113","Fouqué,FriedrichdeLaMotte-",280
"114","Glattauer,Daniel",472
"115","Hoffmann,E.T.A.",714
"116","Keilson,Hans",346
"117","Kleist,Heinrichvon",541
"118","Knister",30
"119","Nietzsche,Friedrich",462
"120","Perutz,Leo",459
"121","Schirach,Ferdinandvon",654
"122","Tschinag,Galsan",142
"123","Vanderbeke,Birgit",402
"124","Zelik,Raul",37
"125","Bärfuss,Lukas",171
"126","Bürger,GottfriedAugust",566
"127","Gomringer,Nora",155
"128","Grimmelshausen,HansJakobChristoffelvon",276
"129","Heine,Heinrich",541
"130","Kumpfmüller,Michael",388
"131","Lenau,Nikolaus",224
"132","Lüscher,Jonas",194
"133","Mann,Klaus",481
"134","Maron,Monika",383
"135","Meyrink,Gustav",580
"136","Pollack,Martin",26
"137","Sander,Gregor",27
"138","Schmidt,Kathrin",378
"139","Winkler,Philipp",28
"140","Kolbe,Uwe",114
"141","Ljubić,Nicol",16
"142","Meckel,Christoph",373
"143","Said",58
"144","Stanišić,Saša",409
"145","Suter,Martin",541
"146","Vermes,Timur",631
"147","Winkler,Josef",354
"148","Aichinger,Ilse",267
"149","Altenberg,Peter",180
"150","Arjouni,Jakob",250
"151","Bannalec,Jean-Luc",340
"152","Berg,Sibylle",334
"153","Bergmann,Emanuel",254
"154","Beyer,Marcel",346
"155","Borchers,Elisabeth",73
"156","Brambach,Rainer",125
"157","Broch,Hermann",367
"158","Buchheim,Lothar-Günther",185
"159","Canetti,Elias",586
"160","Capus,Alex",402
"161","Cotton,Jerry",132
"162","Courths-Mahler,Hedwig",306
"163","Dahn,Felix",82
"164","Donhauser,Michael",110
"165","Dragnić,Nataša",539
"166","Dübell,Richard",231
"167","Ebers,Georg",164
"168","Ernsting,Walter",34
"169","Eschbach,Andreas",454
