"","x"
"fre",1
"spa",0.950157494075908
"ita",0.925955205542474
"eng",0.894883147889185
"dut",0.867861096669261
"cze",0.798308270959598
"pol",0.754339238529706
"hun",0.603659545994886
"rus",0.601622846142815
"tur",0.499513909454855
"swe",0.498304041329003
"bul",0.483694439890089
"por",0.460022571448463
"dan",0.456484161991117
"nor",0.431976632669132
"gre",0.407309930356471
"srp",0.397876315695061
"slv",0.348317139327982
"hrv",0.288960019044487
"est",0.280003093416469
"lit",0.279637143853214
"fin",0.264528868643294
"rum",0.233567588723777
"chi",0.229227604849538
"jpn",0.213167243340796
"slo",0.205077698941158
"lav",0.170587254149412
"cat",0.160408177546708
"heb",0.149151654556365
"ger",0.0972202523414013
