"","x"
"mal",0.0895640983724603
"sin",0.0901019743891774
"lat",0.0915795966579057
"may",0.0921799281481927
"urd",0.0945453550247953
"kur",0.0950859903324575
"tha",0.0951864984128836
"fao",0.0952795070329122
"hin",0.0967264810734466
"ind",0.0974197892511908
"fry",0.0980287148662978
"wel",0.0985046471049724
"ben",0.0986087113909629
"mon",0.100548934944418
"arm",0.100844880159309
"bre",0.102026832712153
"glg",0.102409991404326
"gle",0.10290266905309
"epo",0.103514173953186
"roh",0.103746122945177
"vie",0.103944682407566
"per",0.104019166312691
"ice",0.104178986632658
"oci",0.104317868746952
"baq",0.104402832499931
"nno",0.104494447572191
"ukr",0.106107266066977
"bel",0.107083287352545
"bos",0.10805307380424
"geo",0.108231912408682
"mac",0.109165602817126
"ara",0.110432158863021
"nds",0.110631395654226
"kor",0.112450589675137
"dsb",0.112569025593252
"wln",0.112569025593252
"yid",0.112569025593252
"gla",0.113902435238059
"cat",0.114094440102094
"rum",0.114579174888733
"heb",0.115217457155576
"fin",0.115476832596743
"ger",0.115486484623231
"slo",0.115495628723789
"est",0.115542700525479
"srp",0.116220699742744
"chi",0.116406987501713
"nor",0.116465516755746
"lav",0.116509695248562
"lit",0.116936121162188
"hrv",0.116991687339738
"slv",0.117323191617869
"gre",0.117402176140701
"por",0.117728404422261
"ltz",0.117767386536753
"dan",0.118332682015702
"bul",0.118377884916971
"jpn",0.118420892730316
"tur",0.118935174907194
"hun",0.119498244569284
"swe",0.119717830231668
"rus",0.120769912811119
"bnt",0.121247887905688
"pol",0.121612041227594
"cze",0.121998535618283
"spa",0.12271356015921
"ita",0.123142702610986
"fre",0.123226430699094
"dut",0.123261170900339
"eng",0.123305486151554
"mlt",0.130078768733372
"swa",0.142044468539073
"kir",0.171908344808743
"mul",0.23949073760818
"kaz",0.24350146046939
"gsw",0.476861954864599
"tir",1
