"","alb","ara","arm","aze","baq","bas","bel","ben","bnt","bos","bre","bul","cat","chi","cze","dan","dsb","dut","eng","epo","est","fao","fin","fre","fry","geo","ger","gla","gle","glg","gre","gsw","heb","hin","hrv","hsb","hun","ice","ind","ita","jpn","kaz","kir","kor","kur","lat","lav","lit","ltz","mac","mal","may","mlg","mlt","mon","mul","nds","nno","nor","oci","per","pol","por","roh","rum","rus","sin","slo","slv","spa","srp","swa","swe","tha","tir","tur","ukr","und","urd","vie","wel","wen","wln","xxx","yid"
"alb",1,0.253763854225432,0.27409134039257,0.368173360087211,0.361342895270665,0.127069820167787,0.225611259832615,-0.00197383728806596,-0.00197383728806596,0.193619901983072,0.189689190421246,0.269107463773679,0.345603512393692,0.263115539926779,0.163543253211332,0.242452625576356,-0.00197383728806596,0.181978885624448,0.134479774839049,0.193619901983072,0.246455487612343,0.220146607669759,0.286933410664541,0.165189284069436,0.0346044449567376,0.308241564019487,0.107054965995038,-0.00197383728806596,0.088467312960351,0.277901775193797,0.309446678118132,-0.0100963385585035,0.293480586357661,0.287637738514967,0.253490154202685,-0.00197383728806596,0.207311282238412,0.313615913174896,0.305101396148021,0.187888263698671,0.173194979378177,-0.00279177759471361,-0.00197383728806596,0.205284858575038,0.0711024397065982,0.206021739975698,0.238476971646977,0.265802833432352,-0.00279177759471361,0.312049825582961,0.127069820167787,0.145624523688179,-0.00197383728806596,-0.00197383728806596,0.177067943502787,-0.00483792870724402,-0.0110314420689288,0.127069820167787,0.289999584214704,0.088467312960351,0.342380496376051,0.171278684035203,0.290762720581229,0.123245855389848,0.276560329023643,0.203019263872381,0.127069820167787,0.237747618168786,0.269812116383425,0.173958124645258,0.279099159322201,-0.00197383728806596,0.269079952899507,0.168801296822804,-0.00197383728806596,0.245810392307616,0.336167876916938,-0.00197383728806596,0.220146607669759,0.301949169892365,0.088467312960351,-0.00197383728806596,-0.00197383728806596,0.0478769884634914,-0.00341964427498225
"ara",0.253763854225432,1,0.233107304766533,0.287028706779754,0.288955761960773,0.108629643703352,0.170264608488131,0.108629643703352,-0.00230890151789455,0.163711115921753,0.161850918248189,0.213092382043357,0.261522550086625,0.242642538950456,0.130831386325887,0.241314769760102,-0.00230890151789455,0.188884479205875,0.142930000228041,0.0891133176703877,0.194748398023878,0.124132801447906,0.20516419352671,0.157485327558107,0.0278118687366191,0.244498309114993,0.116494214601421,0.108629643703352,0.075189547710268,0.235604193902642,0.271434779326879,-0.011810219395413,0.21657947601386,0.203698694550021,0.255871959160583,-0.00230890151789455,0.193154016855216,0.180744090187663,0.159788902858944,0.20191287248208,0.154671788074064,-0.00326568940866156,-0.00230890151789455,0.231367654632641,0.124132801447906,0.0849786138066039,0.122638154006495,0.181385540498529,0.075189547710268,0.278413726379127,0.108629643703352,0.188199271251743,-0.00230890151789455,-0.00230890151789455,0.0719780518481388,-0.00565918021873345,0.00709648031669107,0.108629643703352,0.279412265977537,-0.00326568940866156,0.305197934051889,0.164448809749991,0.240060000587388,0.104116348948805,0.212673642433133,0.205593032428689,0.108629643703352,0.195652831269917,0.259201385075482,0.166645953529747,0.259865040761,-0.00230890151789455,0.235031664612702,0.0941108113094927,-0.00230890151789455,0.227245934163709,0.270221565746405,-0.00230890151789455,0.188199271251743,0.173583718735945,0.153644784829197,-0.00230890151789455,-0.00230890151789455,0.0849786138066039,-0.00400013815976816
"arm",0.27409134039257,0.233107304766533,1,0.350171093368095,0.384613118839111,-0.00103621863762907,0.217020057435543,-0.00103621863762907,0.242048482942649,0.104325550709869,-0.00207321741354109,0.181991690556509,0.274160517623761,0.186303706682707,0.105636122508166,0.21841240572742,-0.00103621863762907,0.12024795030955,0.115647604882523,0.213296293567637,0.212442910060408,0.138584998142283,0.183054621859916,0.116924805095875,0.0736765244138759,0.278165749956356,0.0724496008484339,-0.00103621863762907,0.17044278259563,0.311493371642249,0.197494190514123,-0.00530034276350378,0.173009868085086,0.273096133880064,0.190858096203059,-0.00103621863762907,0.188455954929886,0.229272802114234,0.290098466314159,0.137305526166049,0.134129887199069,-0.00146561826207674,-0.00103621863762907,0.191238827461983,0.138584998142283,0.295363797038618,0.164592586647134,0.181051459161924,-0.00146561826207674,0.283954130183052,0.242048482942649,0.278965229940969,-0.00103621863762907,-0.00103621863762907,0.169104486087898,-0.00253979997453541,-0.00579125034310701,0.242048482942649,0.208051664787346,-0.00146561826207674,0.328508026934063,0.141324331453161,0.191195828648719,0.159107518264876,0.200462158796579,0.148344597711479,0.242048482942649,0.217785779680711,0.210493505635325,0.135064487657136,0.194729257682273,0.242048482942649,0.182661566113457,0.323977852790165,-0.00103621863762907,0.202090135948389,0.353535302911954,-0.00103621863762907,0.138584998142283,0.266194331927073,-0.00146561826207674,-0.00103621863762907,-0.00103621863762907,0.0967613990298489,-0.00179523365640245
"aze",0.368173360087211,0.287028706779754,0.350171093368095,1,0.384613118839111,0.242048482942649,0.306106623472902,0.242048482942649,-0.00103621863762907,0.158810922138753,0.119514886192369,0.168493273990162,0.253666569277303,0.149799054678057,0.12525503260748,0.187005876772312,-0.00103621863762907,0.130298013722965,0.106667277988983,0.158810922138753,0.196098940978075,0.138584998142283,0.201033683823696,0.116924805095875,-0.00328051575441564,0.313829630709481,0.0724496008484339,0.242048482942649,0.17044278259563,0.356792411357426,0.213936921866322,-0.00530034276350378,0.173009868085086,0.273096133880064,0.208051664787346,-0.00103621863762907,0.163612150547942,0.276207761039934,0.143328699912527,0.137305526166049,0.167491909848515,-0.00146561826207674,-0.00103621863762907,0.191238827461983,0.278965229940969,0.196062598034233,0.182527372721857,0.181051459161924,-0.00146561826207674,0.251528248352453,0.242048482942649,0.419345461739655,-0.00103621863762907,-0.00103621863762907,0.0830855204605338,-0.00253979997453541,-0.00579125034310701,0.242048482942649,0.208051664787346,0.17044278259563,0.362118176281482,0.151918343367357,0.223191505063938,0.159107518264876,0.218396944871302,0.160592755216983,-0.00103621863762907,0.199894919684693,0.210493505635325,0.135064487657136,0.210976386843261,0.242048482942649,0.167262468224007,0.21521249569553,-0.00103621863762907,0.202090135948389,0.353535302911954,-0.00103621863762907,0.419345461739655,0.266194331927073,0.17044278259563,-0.00103621863762907,-0.00103621863762907,0.0967613990298489,-0.00179523365640245
"baq",0.361342895270665,0.288955761960773,0.384613118839111,0.384613118839111,1,-0.00157385826408965,0.227271351349395,0.159363238074103,0.159363238074103,0.173308077544909,0.238347616643299,0.228053872017588,0.387675276779757,0.231786945705398,0.153186658327615,0.306661185647263,-0.00157385826408965,0.186552297542213,0.157814500994286,0.245453444272372,0.288933240468324,0.183154092893128,0.334747572359048,0.159652395391804,0.045967713222335,0.27248770296043,0.156359730631074,0.159363238074103,0.11158793531279,0.381374527346637,0.280112459682619,-0.00805041326021232,0.322230739002571,0.239330132325618,0.238325151957646,-0.00157385826408965,0.228667419255464,0.302533632573339,0.237700185400061,0.188861393733089,0.207620699849344,-0.00222605088347764,-0.00157385826408965,0.221148227654998,0.183154092893128,0.127629492862039,0.203193786339112,0.203909728875533,-0.00222605088347764,0.28858442344238,0.159363238074103,0.276094482568378,-0.00157385826408965,-0.00157385826408965,0.166394158628376,-0.00385756927534451,0.020218494039929,0.159363238074103,0.295241177229045,0.11158793531279,0.478010596313001,0.160601915439394,0.302857995039082,0.156372482672228,0.310059217935323,0.200031730504791,0.159363238074103,0.238114852198098,0.30770906154908,0.198647916953193,0.329932114605251,-0.00157385826408965,0.27923423913623,0.140497756557361,-0.00157385826408965,0.254255427383852,0.426524732550833,-0.00157385826408965,0.183154092893128,0.231420707314457,0.225401921509057,-0.00157385826408965,-0.00157385826408965,0.0618859617933474,-0.00272668645737319
"bas",0.127069820167787,0.108629643703352,-0.00103621863762907,0.242048482942649,-0.00157385826408965,1,0.181908984629877,-0.000250815149235014,-0.000250815149235014,-0.00112436171237602,-0.000501819129757902,0.0505853551113955,0.0812417246938985,0.0716022164833657,0.032692154336836,0.0604682941502544,-0.000250815149235014,0.0339710391547784,0.0279923273177655,-0.00112436171237602,0.0632895828569642,-0.000434533583059797,0.0704189215552225,0.0283014716918213,-0.000794043861625764,0.145021091872813,0.0388611606493378,-0.000250815149235014,-0.000354750676908716,0.18504213647087,0.0637229219208628,-0.00128293992498213,0.0818252471250721,-0.000664094392864286,0.0670052986042576,-0.000250815149235014,0.0456154779922872,0.191821561191055,-0.000832904923392764,0.0332345943081344,0.0647668435945896,-0.000354750676908716,-0.000250815149235014,0.0899144499529522,-0.000434533583059797,-0.000614754730814073,0.0702270002305579,0.0637229219208628,-0.000354750676908716,0.1315197504775,-0.000250815149235014,-0.000434533583059797,-0.000250815149235014,-0.000250815149235014,-0.000710035952426862,-0.000614754730814073,-0.00140176335989015,-0.000250815149235014,0.0670052986042576,-0.000354750676908716,0.136461869181003,0.0367716045432292,0.0617676701434405,-0.000753201484517421,0.0702270002305579,0.0448005286579509,-0.000250815149235014,0.0700365396604994,0.0627242752444848,0.032692154336836,0.0628642932689038,-0.000250815149235014,0.0591222681009982,-0.000561121269539901,-0.000250815149235014,0.0560345034785214,0.122083988433431,-0.000250815149235014,0.577205442831098,0.18504213647087,-0.000354750676908716,-0.000250815149235014,-0.000250815149235014,-0.000614754730814073,-0.000434533583059797
"bel",0.225611259832615,0.170264608488131,0.217020057435543,0.306106623472902,0.227271351349395,0.181908984629877,1,-0.00137879472938259,-0.00137879472938259,0.117066294860205,0.180598147813649,0.166123539025144,0.214817466910183,0.173417252158339,0.120545844476335,0.17848460123375,-0.00137879472938259,0.133702662058778,0.113253526518156,0.117066294860205,0.163066728580649,0.103459058581986,0.197321779104391,0.135150542713316,0.0536611530877045,0.151837535522988,0.0890748371554963,0.181908984629877,-0.00195015478554021,0.197483748783756,0.189127788660422,-0.00705264738623263,0.200926377417115,0.13500621296381,0.186847979400163,-0.00137879472938259,0.147731562726136,0.205148069182973,0.272085208901263,0.152807591490037,0.091909935927232,-0.00195015478554021,-0.00137879472938259,0.188512338288367,0.103459058581986,0.221242194968259,0.102073330292157,0.139535992935669,-0.00195015478554021,0.185111405656205,0.181908984629877,0.20930685889624,-0.00137879472938259,-0.00137879472938259,0.125814706622616,-0.00337946326326261,-0.00770585005871072,-0.00137879472938259,0.186847979400163,-0.00195015478554021,0.294003924805753,0.122263187567158,0.182740160011107,0.0570167736707502,0.223780059773457,0.144692632233055,0.181908984629877,0.169171099510175,0.161414736890173,0.157527876276109,0.174074537730955,-0.00137879472938259,0.174066625398407,0.0789253093381085,-0.00137879472938259,0.130626808563747,0.238927060554431,-0.00137879472938259,0.20930685889624,0.299951246851622,-0.00195015478554021,-0.00137879472938259,-0.00137879472938259,0.0714944228139113,-0.00238874173226752
"ben",-0.00197383728806596,0.108629643703352,-0.00103621863762907,0.242048482942649,0.159363238074103,-0.000250815149235014,-0.00137879472938259,1,-0.000250815149235014,-0.00112436171237602,-0.000501819129757902,0.0505853551113955,0.0812417246938985,0.0716022164833657,0.032692154336836,0.0604682941502544,-0.000250815149235014,0.0339710391547784,0.0279923273177655,-0.00112436171237602,0.0632895828569642,-0.000434533583059797,0.0704189215552225,0.0283014716918213,-0.000794043861625764,-0.00172950807359102,0.0388611606493378,-0.000250815149235014,-0.000354750676908716,0.18504213647087,0.0637229219208628,-0.00128293992498213,0.0818252471250721,0.377679968284675,0.0670052986042576,-0.000250815149235014,0.0456154779922872,0.191821561191055,-0.000832904923392764,0.0332345943081344,0.0647668435945896,-0.000354750676908716,-0.000250815149235014,0.0899144499529522,0.577205442831098,-0.000614754730814073,-0.00357149171133009,-0.00393602712610228,-0.000354750676908716,-0.00190705311045981,-0.000250815149235014,0.577205442831098,-0.000250815149235014,-0.000250815149235014,-0.000710035952426862,-0.000614754730814073,-0.00140176335989015,-0.000250815149235014,0.0670052986042576,-0.000354750676908716,0.136461869181003,0.0367716045432292,0.0617676701434405,-0.000753201484517421,-0.00357149171133009,0.0448005286579509,-0.000250815149235014,-0.00358120418928226,0.0627242752444848,0.032692154336836,0.0628642932689038,-0.000250815149235014,0.0591222681009982,-0.000561121269539901,-0.000250815149235014,0.0560345034785214,0.122083988433431,-0.000250815149235014,-0.000434533583059797,-0.00135544884002406,0.707018099079071,-0.000250815149235014,-0.000250815149235014,-0.000614754730814073,-0.000434533583059797
"bnt",-0.00197383728806596,-0.00230890151789455,0.242048482942649,-0.00103621863762907,0.159363238074103,-0.000250815149235014,-0.00137879472938259,-0.000250815149235014,1,-0.00112436171237602,-0.000501819129757902,0.0505853551113955,-0.00308727012111119,0.0716022164833657,-0.00767202878864447,0.0604682941502544,-0.000250815149235014,0.0339710391547784,0.0279923273177655,0.223073363735401,0.0632895828569642,-0.000434533583059797,0.0704189215552225,0.0283014716918213,-0.000794043861625764,-0.00172950807359102,0.0388611606493378,-0.000250815149235014,-0.000354750676908716,-0.00135544884002406,-0.00393602712610228,-0.00128293992498213,0.0818252471250721,-0.000664094392864286,-0.00374321366309196,-0.000250815149235014,0.0456154779922872,-0.00130754409294584,-0.000832904923392764,0.0332345943081344,-0.00387258565208149,-0.000354750676908716,-0.000250815149235014,-0.00278948655490027,-0.000434533583059797,-0.000614754730814073,0.0702270002305579,-0.00393602712610228,-0.000354750676908716,-0.00190705311045981,-0.000250815149235014,-0.000434533583059797,-0.000250815149235014,-0.000250815149235014,-0.000710035952426862,-0.000614754730814073,-0.00140176335989015,-0.000250815149235014,-0.00374321366309196,-0.000354750676908716,0.136461869181003,0.0367716045432292,-0.00406062182129512,-0.000753201484517421,-0.00357149171133009,-0.00559848637389909,-0.000250815149235014,-0.00358120418928226,-0.00399869346050463,0.032692154336836,-0.0039897871461331,-0.000250815149235014,-0.004242312707059,-0.000561121269539901,-0.000250815149235014,-0.00447608408507008,-0.00205444753610566,-0.000250815149235014,-0.000434533583059797,-0.00135544884002406,-0.000354750676908716,-0.000250815149235014,-0.000250815149235014,-0.000614754730814073,-0.000434533583059797
"bos",0.193619901983072,0.163711115921753,0.104325550709869,0.158810922138753,0.173308077544909,-0.00112436171237602,0.117066294860205,-0.00112436171237602,-0.00112436171237602,1,0.109891490755259,0.164517411114464,0.194078200562291,0.152638842447976,0.110364219642745,0.155203760910941,-0.00112436171237602,0.0966711826097535,0.100637104154993,0.0452116935483871,0.148049639156334,0.256998249806092,0.166436795431635,0.0935509464377121,0.0674181376357901,0.189604313137534,0.0320094433370974,-0.00112436171237602,-0.00159028702920131,0.161041496037896,0.164337604849857,-0.00575120177281181,0.176533836249508,0.0818255861451195,0.173511947142326,-0.00112436171237602,0.124289144941046,0.210579745790598,0.199315500688968,0.112421820084329,0.105719417377684,-0.00159028702920131,-0.00112436171237602,0.112168005980019,-0.00194794024613006,0.0888299428706239,0.165943966759818,0.14917242602393,-0.00159028702920131,0.260609368732517,-0.00112436171237602,-0.00194794024613006,-0.00112436171237602,-0.00112436171237602,0.155488112499142,-0.00275584104045369,-0.00628386704901643,-0.00112436171237602,0.189369625325559,-0.00159028702920131,0.146754307438725,0.086673754038302,0.144100300551518,-0.00337647432174301,0.165943966759818,0.121757582088645,0.223073363735401,0.0664500302723087,0.191449951342668,0.110364219642745,0.191901302905754,-0.00112436171237602,0.151414024571034,0.097799193029558,-0.00112436171237602,0.142689687016332,0.129913141448179,-0.00112436171237602,0.127525154779981,0.161041496037896,-0.00159028702920131,-0.00112436171237602,-0.00112436171237602,-0.00275584104045369,-0.00194794024613006
