"","x"
"eng",73
"fre",72
"hun",72
"dut",71
"pol",71
"spa",71
"tur",71
"ger",70
"ita",70
"rus",70
"chi",69
"gre",69
"bul",68
"cat",68
"rum",68
"slo",68
"srp",68
"cze",67
"dan",66
"est",66
"hrv",66
"por",66
"slv",66
"baq",65
"fin",65
"nor",65
"per",65
"ara",64
"lav",64
"heb",63
"kor",63
"lit",63
"swe",63
"ukr",63
"glg",61
"mac",61
"arm",60
"jpn",60
"lat",60
"ice",59
"bel",58
"geo",58
"epo",57
"vie",57
"hin",56
"ind",56
"fry",54
"bos",53
"tha",53
"may",52
"kur",51
"mon",51
"fao",49
"urd",49
"bre",47
"mal",46
"roh",46
"sin",46
"wel",45
"nds",43
"gle",40
"oci",40
"ben",37
"nno",36
"gla",27
"ltz",26
"mlt",23
"dsb",21
"wln",21
"yid",21
"bnt",19
"swa",16
"kir",11
"kaz",6
"mul",5
"gsw",3
"tir",1
"hsb",0
"mlg",0
"und",0
"wen",0
