"","x"
"ger",72
"per",70
"ara",68
"baq",68
"cat",67
"chi",67
"kor",67
"ukr",67
"aze",66
"slo",66
"alb",65
"glg",65
"mac",65
"rum",65
"arm",63
"lat",63
"lav",63
"bel",62
"est",62
"geo",62
"heb",62
"ice",62
"vie",62
"epo",61
"hrv",61
"fin",60
"slv",60
"gre",59
"ind",59
"lit",59
"srp",59
"hin",58
"jpn",58
"tur",58
"bul",56
"fry",56
"bos",55
"dan",55
"hun",55
"may",55
"por",55
"rus",55
"tha",55
"xxx",55
"mon",54
"nor",54
"kur",53
"urd",53
"fao",51
"eng",50
"pol",50
"swe",50
"bre",49
"dut",48
"fre",48
"mal",48
"roh",48
"ita",47
"sin",47
"spa",47
"wel",47
"cze",46
"nds",44
"bas",43
"oci",43
"gle",42
"ben",38
"nno",38
"afr",29
"gla",28
"ltz",27
"mlt",23
"dsb",22
"wln",22
"yid",22
"bnt",19
"swa",17
"kir",11
"kaz",6
"mul",5
"gsw",3
"tir",1
