"","from","to","weight"
"1","bul","cze",183
"2","bul","dan",107
"3","bul","dut",171
"4","bul","eng",176
"5","bul","fre",196
"6","bul","hun",143
"7","bul","ita",181
"8","bul","nor",104
"9","bul","pol",156
"10","bul","por",114
"11","bul","rus",148
"12","bul","slv",109
"13","bul","spa",197
"14","bul","srp",113
"15","bul","swe",111
"16","bul","tur",119
"17","cat","dut",104
"18","cat","eng",113
"19","cat","fre",126
"20","cat","ita",107
"21","cat","spa",134
"22","chi","cze",118
"23","chi","dut",125
"24","chi","eng",118
"25","chi","fre",135
"26","chi","ita",135
"27","chi","pol",108
"28","chi","spa",134
"29","cze","dan",140
"30","cze","dut",283
"31","cze","eng",272
"32","cze","est",132
"33","cze","fin",113
"34","cze","fre",317
"35","cze","gre",139
"36","cze","hrv",123
"37","cze","hun",212
"38","cze","ita",298
"39","cze","jpn",114
"40","cze","lav",112
"41","cze","lit",139
"42","cze","nor",135
"43","cze","pol",262
"44","cze","por",149
"45","cze","rum",120
"46","cze","rus",219
"47","cze","slo",137
"48","cze","slv",139
"49","cze","spa",317
"50","cze","srp",143
"51","cze","swe",152
"52","cze","tur",162
"53","dan","dut",184
"54","dan","eng",185
"55","dan","fre",195
"56","dan","gre",105
"57","dan","hun",125
"58","dan","ita",184
"59","dan","nor",120
"60","dan","pol",143
"61","dan","por",117
"62","dan","rus",111
"63","dan","spa",179
"64","dan","swe",134
"65","dan","tur",116
"66","dut","eng",328
"67","dut","est",130
"68","dut","fin",130
"69","dut","fre",381
"70","dut","gre",155
"71","dut","heb",101
"72","dut","hrv",132
"73","dut","hun",206
"74","dut","ita",343
"75","dut","jpn",108
"76","dut","lav",108
"77","dut","lit",123
"78","dut","nor",153
"79","dut","pol",263
"80","dut","por",169
"81","dut","rum",107
"82","dut","rus",203
"83","dut","slo",105
"84","dut","slv",141
"85","dut","spa",345
"86","dut","srp",140
"87","dut","swe",181
"88","dut","tur",182
"89","eng","est",124
"90","eng","fin",126
"91","eng","fre",430
"92","eng","ger",116
"93","eng","gre",158
"94","eng","heb",109
"95","eng","hrv",139
"96","eng","hun",209
"97","eng","ita",361
"98","eng","jpn",114
"99","eng","lit",120
"100","eng","nor",161
"101","eng","pol",251
"102","eng","por",176
"103","eng","rum",114
"104","eng","rus",207
"105","eng","slo",101
"106","eng","slv",160
"107","eng","spa",370
"108","eng","srp",156
"109","eng","swe",193
"110","eng","tur",183
"111","est","fre",146
"112","est","hun",109
"113","est","ita",134
"114","est","pol",118
"115","est","rus",108
"116","est","spa",137
"117","fin","fre",141
"118","fin","hun",106
"119","fin","ita",128
"120","fin","pol",105
"121","fin","spa",132
"122","fin","swe",106
"123","fre","ger",126
"124","fre","gre",180
"125","fre","heb",115
"126","fre","hrv",151
"127","fre","hun",233
"128","fre","ita",434
"129","fre","jpn",128
"130","fre","lav",113
"131","fre","lit",137
"132","fre","nor",174
"133","fre","pol",303
"134","fre","por",182
"135","fre","rum",124
"136","fre","rus",236
"137","fre","slo",114
"138","fre","slv",167
"139","fre","spa",443
"140","fre","srp",170
"141","fre","swe",211
"142","fre","tur",202
"143","ger","spa",105
"144","gre","hun",111
"145","gre","ita",162
"146","gre","nor",104
"147","gre","pol",140
"148","gre","por",116
"149","gre","rus",108
"150","gre","spa",174
"151","gre","swe",114
"152","gre","tur",116
"153","heb","ita",110
"154","heb","spa",109
"155","hrv","hun",110
"156","hrv","ita",137
"157","hrv","pol",133
"158","hrv","rus",103
"159","hrv","spa",143
"160","hun","ita",212
"161","hun","lit",104
"162","hun","nor",116
"163","hun","pol",196
"164","hun","por",122
"165","hun","rum",103
"166","hun","rus",158
"167","hun","slv",112
"168","hun","spa",217
"169","hun","srp",122
"170","hun","swe",125
"171","hun","tur",124
"172","ita","jpn",124
"173","ita","lav",111
"174","ita","lit",134
"175","ita","nor",163
"176","ita","pol",275
"177","ita","por",177
"178","ita","rum",121
"179","ita","rus",228
"180","ita","slo",110
"181","ita","slv",158
"182","ita","spa",382
"183","ita","srp",160
"184","ita","swe",192
"185","ita","tur",196
"186","jpn","pol",101
"187","jpn","spa",123
"188","lav","pol",103
"189","lav","spa",107
"190","lit","pol",125
"191","lit","rus",116
"192","lit","spa",142
"193","nor","pol",133
"194","nor","por",111
"195","nor","rus",113
"196","nor","spa",169
"197","nor","srp",106
"198","nor","swe",129
"199","nor","tur",102
"200","pol","por",140
"201","pol","rum",109
"202","pol","rus",208
"203","pol","slo",105
"204","pol","slv",132
"205","pol","spa",288
"206","pol","srp",136
"207","pol","swe",147
"208","pol","tur",165
"209","por","rus",125
"210","por","spa",184
"211","por","srp",106
"212","por","swe",121
"213","por","tur",110
"214","rum","spa",127
"215","rus","slv",114
"216","rus","spa",234
"217","rus","srp",112
"218","rus","swe",122
"219","rus","tur",143
"220","slo","spa",115
"221","slv","spa",160
"222","slv","tur",101
"223","spa","srp",165
"224","spa","swe",196
"225","spa","tur",193
"226","srp","swe",106
"227","srp","tur",106
"228","swe","tur",121
