"","x"
"fre",1
"spa",0.952386386050041
"ita",0.930345913225258
"eng",0.90034398159588
"dut",0.870897812544373
"cze",0.813736022462067
"pol",0.77008465769209
"rus",0.651182153930264
"hun",0.642731075721179
"tur",0.570241519965256
"swe",0.569247818572011
"bul",0.567370927046005
"dan",0.546695533124702
"por",0.540853556308917
"nor",0.512693057820971
"gre",0.50598771436509
"srp",0.501609419323702
"slv",0.485103182414111
"hrv",0.447496450151416
"est",0.437592479799159
"lit",0.43506012173031
"fin",0.423764238571946
"chi",0.407132636749457
"rum",0.395184647520859
"jpn",0.371734795114426
"slo",0.370207009654475
"cat",0.369592009147083
"lav",0.354210366517606
"heb",0.344846867562765
"ger",0.30869257560795
"kor",0.243873975590074
"ukr",0.195642865288882
"ara",0.190955177542192
"mac",0.189475755887588
"per",0.158992094880858
"baq",0.137571208770099
"geo",0.135258007244227
"glg",0.101451742372658
"vie",0.0988949290679797
"ice",0.0956944689234818
"bel",0.0857046229348764
"arm",0.0651496033381808
"bos",0.0585411437820096
"epo",0.054640979467052
"ind",0.0430729604698501
"hin",0.0295842122495452
"mon",0.027230094184636
"lat",0.0208009684491265
"tha",0.0178103973985334
"bre",0.0164219337093015
"roh",0.0161083381856856
"urd",0.0141667797960145
"fao",0.0137997251736241
"may",0.0136312801330109
"fry",0.012900074902153
"nds",0.0109825589297917
"kur",0.0104227726303066
"wel",0.00873596500509931
"oci",0.00631894581731748
"gle",0.00588355103610053
"sin",0.00470769927138741
"mal",0.00468559404610545
"nno",0.00441533291393288
"ltz",0.00426435673542301
"ben",0.00423411575203806
"gla",0.00359254413464008
"mlt",0.0035070025542912
"bnt",0.002514013599188
"swa",0.00247564553266601
"wln",0.00214009204758208
"dsb",0.00214009204758208
"yid",0.00214009204758208
"kir",0.00190598504619934
"kaz",0.00111193105589226
"gsw",0.000812515979649507
"mul",0.000560247704554057
"tir",4.04831457578656e-05
"hsb",6.77966217806724e-20
"mlg",6.77966217806724e-20
"und",6.77966217806724e-20
"wen",6.77966217806724e-20
