"","id"
"1","afr"
"2","alb"
"3","ara"
"4","arm"
"5","aze"
"6","baq"
"7","bas"
"8","bel"
"9","ben"
"10","bnt"
"11","bos"
"12","bre"
"13","bul"
"14","cat"
"15","chi"
"16","cze"
"17","dan"
"18","dsb"
"19","dut"
"20","eng"
"21","epo"
"22","est"
"23","fao"
"24","fin"
"25","fre"
"26","fry"
"27","geo"
"28","ger"
"29","gla"
"30","gle"
"31","glg"
"32","gre"
"33","gsw"
"34","heb"
"35","hin"
"36","hrv"
"37","hsb"
"38","hun"
"39","ice"
"40","ind"
"41","ita"
"42","jpn"
"43","kaz"
"44","kir"
"45","kor"
"46","kur"
"47","lat"
"48","lav"
"49","lit"
"50","ltz"
"51","mac"
"52","mal"
"53","may"
"54","mlg"
"55","mlt"
"56","mon"
"57","mul"
"58","nds"
"59","nno"
"60","nor"
"61","oci"
"62","per"
"63","pol"
"64","por"
"65","roh"
"66","rum"
"67","rus"
"68","sin"
"69","slo"
"70","slv"
"71","spa"
"72","srp"
"73","swa"
"74","swe"
"75","tha"
"76","tir"
"77","tur"
"78","ukr"
"79","und"
"80","urd"
"81","vie"
"82","wel"
"83","wen"
"84","wln"
"85","xxx"
"86","yid"
