"","pol","tur","hrv","nor","gre","rus","spa","authorcount"
"Steiner,Rudolf",0,0,0,2,0,1,0,3
"Svatek,KurtF.",0,0,0,0,0,0,0,0
"Bodrožić,Marica",0,0,4,0,0,0,0,4
"Braun,HansMartin",0,0,0,0,0,1,0,1
"Büchner,Barbara",0,0,0,0,0,0,0,0
"Büchner,Georg",0,0,2,2,3,0,7,14
"Celan,Paul",0,1,1,4,2,3,7,18
"Chamisso,Adelbertvon",0,1,0,0,0,1,5,7
"Frischler,Kurt",0,0,0,0,0,0,0,0
"Göttler,Norbert",0,0,0,0,0,0,0,0
"Grün,Maxvonder",0,0,0,0,0,0,0,0
"Hacker,Katharina",0,1,0,0,1,2,1,5
"Hebbel,Friedrich",0,0,0,0,0,0,1,1
"Keller,Gottfried",0,0,0,0,1,0,4,5
"Köhler,Karen",0,1,0,0,0,0,0,1
"Loidolt,Gabriel",0,0,0,0,0,0,0,0
"Marti,Kurt",0,0,0,0,0,0,0,0
"Minelli,Michèle",0,0,0,0,0,0,0,0
"Müller,Wilhelm",0,0,0,0,1,0,1,2
"Öhri,Armin",0,0,1,0,0,0,0,1
"Steinhoff,Dorian",0,0,0,0,0,0,0,0
"Treiber,Jutta",0,0,0,0,0,0,1,1
"Wallner,Michael",0,0,0,1,0,1,1,3
"Acklin,Jürg",0,0,0,0,0,0,0,0
"Alahmadi,Galal",0,0,0,0,0,0,0,0
"Auwad,Fouadel-",0,0,0,0,0,0,0,0
"Becker,Cornelia",0,0,0,0,0,0,0,0
"Born,Nicolas",0,1,0,0,0,1,0,2
"Braun,Volker",0,0,0,0,1,1,1,3
"CainKülbel,Jürgen",0,0,0,0,0,0,0,0
"Courant,Maria",0,0,0,0,0,0,0,0
"Frischmuth,Barbara",0,2,0,0,0,1,0,3
"Haderlap,Maja",0,0,1,0,0,0,1,2
"Häfner,Johannes",0,0,0,0,0,0,0,0
"Hartmann,Lukas",0,0,0,0,0,0,0,0
"Herrndorf,Wolfgang",0,0,0,1,1,0,1,3
"Hübotter,Klaus",0,0,0,0,0,0,0,0
"Khayat,Rasha",0,0,0,0,0,0,0,0
"Kipphardt,Heinar",0,0,0,0,0,0,0,0
"Köhlmeier,Michael",0,0,0,1,1,0,1,3
"Kuttner,Sarah",0,0,0,1,0,0,0,1
"Langenscheidt,Florian",0,0,0,0,0,0,0,0
"Lenze,Ulla",0,0,0,0,0,0,0,0
"Loher,Dea",0,0,0,0,0,0,0,0
"Mühldorfer,Stefan",0,0,0,0,0,0,0,0
"Ostermaier,Albert",0,0,0,0,1,0,0,1
"Pehnt,Annette",0,0,0,0,0,1,0,1
"Peltzer,Ulrich",0,0,0,0,0,0,2,2
"Peters,Christoph",0,0,0,0,0,0,0,0
"Präauer,Teresa",0,0,0,0,0,0,0,0
"Rakusa,Ilma",0,0,1,0,0,1,0,2
"Šalāh,ʿAlīaš-",0,0,0,0,0,0,0,0
"Sartorius,Joachim",0,1,1,0,0,0,0,2
"Scheuermann,Silke",0,0,0,0,0,1,2,3
"Schimmel,Annemarie",0,0,0,0,0,0,0,0
"Wawerzinek,Peter",0,0,0,0,0,0,0,0
"Hein,Christoph",0,0,1,2,2,1,2,8
"Döblin,Alfred",0,1,0,2,1,2,12,18
"Ende,Michael",0,1,0,2,0,0,7,10
"Fouqué,FriedrichdeLaMotte-",0,0,0,0,0,1,4,5
"Glattauer,Daniel",0,0,0,3,0,0,11,14
"Keilson,Hans",0,0,0,2,1,1,2,6
"Knister",0,0,0,0,0,0,0,0
"Vanderbeke,Birgit",0,1,0,0,4,0,4,9
"Zelik,Raul",0,0,0,0,0,0,1,1
"Gomringer,Nora",0,0,0,0,0,0,1,1
"Grimmelshausen,HansJakobChristoffelvon",0,0,0,1,0,1,3,5
"Kohl,Paul",0,0,0,0,0,0,0,0
"Lenau,Nikolaus",0,0,0,0,0,0,0,0
"Lüscher,Jonas",0,0,1,0,0,1,2,4
"Maron,Monika",0,2,1,0,0,1,1,5
"Sander,Gregor",0,0,0,0,0,0,2,2
"Schmidt,Kathrin",0,0,0,1,1,0,1,3
"Winkler,Philipp",0,0,0,0,0,0,1,1
"Kolbe,Uwe",0,0,0,0,0,0,0,0
"Ljubić,Nicol",0,0,1,0,0,0,0,1
"Meckel,Christoph",0,0,0,0,0,0,1,1
"Michel,Robert",0,0,0,0,0,0,0,0
"Said",0,0,1,0,0,0,1,2
"Winkler,Josef",0,1,2,1,0,2,3,9
"Aigner,ChristophWilhelm",0,0,0,0,0,0,0,0
"Altenberg,Peter",0,0,0,0,0,0,2,2
"Altmann,Andreas",0,0,0,0,0,0,0,0
"Andreä,JohannValentin",0,0,0,0,0,0,2,2
"Augustin,Hans",0,0,0,0,0,0,0,0
"Bartschat,PeterGustav",0,0,0,0,0,0,2,2
"Barylli,Gabriel",0,0,0,0,0,0,0,0
"Bechstein,Ludwig",0,0,0,0,0,0,0,0
"Bérard,Sophie",0,0,0,0,0,0,0,0
"Berger,Axel",0,0,0,0,0,0,0,0
"Berger,Herbert",0,0,0,0,0,2,0,2
"Bergmann,Emanuel",0,0,0,1,0,0,1,2
"Berner,RotrautSusanne",0,0,0,0,0,0,0,0
"Blaise,Henri",0,0,0,0,0,0,0,0
"Blatter,Silvio",0,0,0,0,0,0,1,1
"Borchers,Elisabeth",0,0,0,0,0,0,0,0
"Brambach,Rainer",0,0,0,0,0,0,0,0
"Brechbühl,Beat",0,0,0,0,0,0,0,0
"Bruckner,Ferdinand",0,0,0,1,0,0,1,2
"Cejpek,Lucas",0,0,0,0,0,0,0,0
"Christ,Eva",0,0,0,0,0,0,0,0
"Dahn,Felix",0,0,0,0,0,0,0,0
"Degens,Marc",0,0,0,0,0,0,0,0
"Demus,Klaus",0,0,0,0,0,0,0,0
"Deor,Inga",0,0,0,0,0,0,0,0
"Dinev,Dimitré",0,0,0,1,0,0,0,1
"Donhauser,Michael",0,0,0,0,0,0,0,0
"Dorian,Ada",0,0,0,0,0,0,0,0
"Dragnić,Nataša",0,1,1,1,1,1,1,6
"Dübell,Richard",0,0,0,0,0,3,8,11
"Ebers,Georg",0,0,0,0,0,6,0,6
"Eisenreich,Herbert",0,0,0,0,0,0,0,0
"Ernsting,Walter",0,0,0,0,0,0,0,0
"Evert,RoumenM.",0,0,0,0,0,0,0,0
"Faes,Urs",0,0,0,0,0,0,0,0
"Falk,Victorvon",0,0,0,0,0,0,0,0
"Fassbinder,RainerWerner",0,0,2,0,1,0,0,3
"Feyl,Renate",0,0,0,0,0,0,0,0
"Frank,Wolfgang",0,0,0,0,0,0,0,0
"Franzobel",0,0,0,0,0,0,0,0
"Freud,Sigmund",0,0,0,0,0,0,0,0
"Freudenthaler,Laura",0,0,0,0,0,0,0,0
"Fuld,Werner",0,0,0,0,0,0,0,0
"Ganglbauer,Petra",0,0,0,0,0,0,0,0
"Garner,R.F.",0,0,0,0,0,0,0,0
"Gelich,Johannes",0,0,0,0,0,0,0,0
"Gerstäcker,Friedrich",0,0,0,0,0,0,0,0
"Goetsch,Daniel",0,0,0,0,0,0,0,0
"Goosen,Frank",0,0,0,0,0,0,0,0
"Gotthelf,Jeremias",0,0,0,0,0,1,1,2
"Gryphius,Andreas",0,0,0,0,0,0,0,0
"Gülich,Martin",0,0,0,0,0,0,0,0
"Haich,Elisabeth",0,0,1,1,0,0,1,3
"Hammer,JoachimGunter",0,0,0,0,0,0,0,0
"Hartlieb,Petra",0,1,0,0,0,0,3,4
"Haslehner-Götz,Elfriede",0,0,0,0,0,0,0,0
"Hassler,Silke",0,0,0,0,0,0,0,0
"Hauff,Wilhelm",0,0,0,0,1,8,4,13
"Heinrich,FranzJosef",0,0,0,0,0,0,0,0
"Heiss,Sonja",0,0,0,0,0,0,0,0
"Heitz,Markus",0,0,0,0,0,4,0,4
"Helle,Heinz",0,1,0,0,0,1,0,2
"Hennig,Falko",0,0,0,0,0,0,0,0
"Hirschfeld,Georg",0,0,0,0,0,0,0,0
"Hochgatterer,Paulus",0,0,0,0,0,0,1,1
"Hochwälder,Fritz",0,0,0,0,0,0,1,1
"Hoffmann,Léopold",0,0,0,0,0,0,0,0
"Hohberg,Annette",0,0,0,0,0,0,0,0
"Holst,Evelyn",0,0,0,0,0,0,0,0
"Ingold,FelixPhilipp",0,0,0,0,0,0,0,0
"Inusa,Manuela",0,0,0,0,0,0,3,3
"Jaeckle,Erwin",0,0,0,0,0,0,0,0
"Jaroschka,Markus",0,0,0,0,0,0,0,0
"Jenny,Zoë",0,0,1,0,0,3,2,6
"Jonigk,Thomas",0,1,0,0,0,0,0,1
"Junke,Joe",0,0,0,0,0,0,0,0
"Kahn,Walter",0,0,0,0,0,0,0,0
"Kandolf,Franz",0,0,0,0,0,0,0,0
"Kappacher,Walter",0,0,0,0,0,0,1,1
"Kasprzak,Andreas",0,0,0,0,0,0,0,0
"Kästner,Erich",0,1,0,1,0,3,1,6
"Kirsch,Sarah",0,0,0,1,0,0,1,2
"Klopstock,FriedrichGottlieb",0,0,0,0,0,0,0,0
"Knittel,John",0,0,0,0,0,0,1,1
"Koch,Jessica",0,0,0,0,0,0,1,1
"Kofler,Gerhard",0,0,0,0,0,0,0,0
"Koltz,Anise",0,0,0,0,0,0,0,0
"Koneffke,Jan",0,0,0,0,0,0,0,0
"König,HansH.",0,0,0,0,0,0,0,0
"Kopacka,Werner",0,0,0,0,0,0,0,0
"Kraus,Emil",0,0,0,0,0,0,0,0
"Kraxner,PetraMaria",0,0,0,0,0,0,0,0
"Kröhn,Julia",0,0,0,0,0,3,1,4
"Krohn,Tim",0,0,0,0,0,0,0,0
"Krupp,Ute-Christine",0,0,0,0,0,0,0,0
"Kubiczek,André",0,0,0,0,1,0,0,1
"Lack,Stephan",0,0,0,0,0,0,0,0
"Laßwitz,Kurd",0,0,0,0,0,1,1,2
"Laucke,Dirk",0,0,0,0,0,0,0,0
"Lechner,Auguste",0,0,0,0,0,0,0,0
"Lehr,Thomas",0,1,0,0,0,1,0,2
"Leitgeb,Josef",0,0,0,0,0,0,0,0
"Lewin,Waldtraut",0,0,0,0,0,0,0,0
"Lindström,Inga",0,0,0,0,0,0,0,0
"Löb,Horst",0,0,0,0,0,0,0,0
"Lubomirski,Karl",0,0,0,0,0,1,1,2
"Lustiger,Gila",0,0,0,0,0,0,1,1
"Magnusson,Kristof",0,0,0,0,0,1,0,1
"Mall,Sepp",0,0,0,0,0,0,0,0
"Mayer,Anna-Elisabeth",0,0,0,0,0,0,0,0
"Meyer,ConradFerdinand",0,0,0,0,0,0,1,1
"Montasser,Thomas",0,0,0,0,0,0,1,1
"Moser,AnnemarieE.",0,0,0,0,0,0,0,0
"Münzer,Hanni",0,0,0,0,0,0,0,0
"Nagel,HerbertC.",0,0,0,0,0,0,0,0
"Nigg,Iren",0,0,0,0,0,0,0,0
"Okopenko,Andreas",0,0,0,0,0,1,0,1
"Oleschinski,Brigitte",0,0,0,0,0,0,0,0
"Orths,Markus",0,0,0,0,0,0,2,2
"Paura,Martina",0,0,0,0,0,1,0,1
"Pesch,HelmutW.",0,0,0,0,0,0,0,0
