"","bul","cze","dan","dut","eng","fre","gre","gsw","hrv","hun","ita","jpn","kir","mlt","nor","pol","por","rus","slv","spa","srp","swa","swe","tur","authorcount","author_lang_count"
"Konsalik,HeinzG.",5,22,6,126,0,43,0,0,9,6,16,1,0,0,2,6,50,4,13,9,0,0,0,0,318,16
"Steiner,Rudolf",1,1,2,3,4,4,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,0,22,12
"Svatek,KurtF.",0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,13,4
"Andersch,Alfred",0,1,0,2,3,2,0,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,17,10
"Bodrožić,Marica",1,0,0,1,0,1,0,0,4,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,14,9
"Böll,Heinrich",15,6,2,8,41,15,9,0,3,7,21,1,0,0,2,6,10,19,3,30,3,0,5,15,221,21
"Braun,HansMartin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3
"Büchner,Barbara",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Büchner,Georg",1,1,2,3,9,13,3,0,2,0,4,1,0,0,2,0,4,0,1,7,1,0,1,0,55,17
"Celan,Paul",1,2,2,3,12,7,2,0,1,0,6,3,0,0,4,0,6,3,2,7,1,0,3,1,66,19
"Chamisso,Adelbertvon",1,0,0,1,3,4,0,0,0,1,1,0,0,0,0,0,2,1,0,5,1,0,0,1,21,12
"Dürrenmatt,Friedrich",6,11,3,6,12,23,7,0,3,8,36,3,0,0,5,8,6,9,5,21,0,0,2,10,184,20
"Ebert,Sabine",0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,21,4
"Enzensberger,HansMagnus",1,4,4,6,9,6,3,0,2,0,8,2,0,0,3,5,4,3,1,16,4,0,3,3,87,20
"Fallada,Hans",1,4,2,6,21,10,3,0,0,2,3,0,0,0,3,5,3,1,1,11,2,0,7,3,88,19
"Feuchtwanger,Lion",9,20,0,3,0,9,0,0,0,4,6,0,0,0,0,3,0,31,0,19,0,0,1,0,105,11
"Franck,Julia",1,2,3,7,7,4,1,0,2,1,2,0,0,0,1,1,1,1,2,4,1,0,1,1,43,20
"Frisch,Max",11,5,2,5,11,13,3,0,1,1,10,0,0,0,3,10,2,9,5,15,1,0,0,15,122,19
"Frischler,Kurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"George,Nina",1,2,2,6,6,2,1,0,1,1,3,0,0,0,2,3,4,0,1,1,1,0,3,0,40,18
"Goethe,JohannWolfgangvon",9,12,9,11,53,39,11,0,7,11,24,2,0,0,17,31,14,34,8,86,26,0,10,6,420,21
"Göttler,Norbert",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Grän,Christine",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3
"Grass,Günter",5,12,4,14,22,17,8,0,6,7,9,5,0,0,7,21,8,11,5,43,5,0,8,5,222,21
"Gruber,Marianne",2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,9,7
"Grün,Maxvonder",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"Hacker,Katharina",1,1,0,1,2,2,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,15,13
"Hackl,Erich",1,1,0,3,9,5,2,0,1,1,1,1,0,0,0,2,0,1,1,6,0,0,1,1,37,17
"Hauptmann,Gaby",0,4,0,3,3,5,5,0,0,3,9,1,0,0,1,1,9,5,2,5,1,0,3,1,61,18
"Hebbel,Friedrich",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4
"Hesse,Hermann",14,28,11,36,40,55,19,0,18,33,141,14,0,0,13,40,53,44,14,90,45,0,12,25,745,21
"Hilsenrath,Edgar",1,3,0,8,10,12,1,0,0,0,8,1,0,0,2,4,1,1,0,2,0,0,1,2,57,16
"Hochhuth,Rolf",0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,8,5
"Hölderlin,Friedrich",2,3,3,1,9,11,2,0,0,2,3,0,0,0,2,7,4,0,2,22,4,0,3,1,81,18
"Jelinek,Elfriede",7,13,4,20,11,26,4,0,3,4,17,8,0,0,7,11,9,19,5,16,8,0,10,8,210,21
"Kafka,Franz",10,28,9,15,66,31,11,0,9,12,33,4,0,0,21,22,31,55,9,177,36,0,20,21,620,21
"Kehlmann,Daniel",7,5,6,7,9,6,6,0,7,9,11,3,0,0,7,2,7,6,3,7,4,0,5,7,124,21
"Keller,Gottfried",2,0,0,0,3,3,1,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,19,7
"Köhler,Karen",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
"Lenz,Siegfried",2,1,9,11,11,7,2,0,0,6,4,0,0,0,5,7,2,4,1,13,1,0,4,6,96,19
"Loidolt,Gabriel",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Mann,Thomas",5,5,12,22,47,30,21,0,7,24,28,1,0,0,18,19,40,17,3,64,24,0,9,19,415,21
"Marti,Kurt",0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Mercier,Pascal",2,2,3,9,7,5,1,0,1,0,4,0,0,0,3,1,5,0,1,5,2,0,2,3,56,18
"Minelli,Michèle",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Müller,Herta",1,5,9,14,14,10,4,0,3,5,10,3,0,0,5,9,10,4,6,17,3,0,13,4,149,21
"Müller,Wilhelm",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
"Musil,Robert",2,7,2,6,6,5,3,0,3,5,13,2,0,0,3,4,8,3,3,14,3,0,4,5,101,21
"Öhri,Armin",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Remarque,ErichMaria",30,36,3,6,19,8,3,0,1,23,11,1,0,0,6,53,5,77,1,3,12,0,6,0,304,20
"Roth,Joseph",9,9,4,19,29,21,9,0,4,1,25,1,0,0,1,20,7,4,4,57,7,0,8,4,243,21
"Schlink,Bernhard",6,10,2,19,16,18,9,0,4,3,11,11,0,0,5,10,15,15,8,16,12,0,5,10,205,21
"Schnitzler,Arthur",8,2,1,8,26,24,5,0,0,3,24,1,0,0,1,1,8,2,3,23,4,0,2,2,148,20
"Schulze,Ingo",1,3,2,6,6,5,5,0,2,6,8,0,0,0,2,2,4,2,3,5,1,0,3,2,68,20
"Steinhoff,Dorian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Süskind,Patrick",5,6,3,10,8,8,3,0,4,6,8,0,0,0,5,13,7,12,3,17,6,0,6,7,137,20
"Trakl,Georg",1,3,1,2,8,1,3,0,1,1,0,0,0,0,0,4,1,0,1,5,2,0,1,0,35,16
"Treiber,Jutta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"Treichel,Hans-Ulrich",2,0,3,3,3,6,1,0,1,1,3,0,0,0,3,3,2,2,0,2,0,0,2,2,39,17
"Wallner,Michael",0,2,0,1,4,3,0,0,0,0,3,0,0,0,1,0,1,1,0,1,1,0,1,0,19,12
"Walser,Robert",4,5,4,4,22,37,2,0,0,6,14,3,0,0,5,5,9,5,7,24,5,0,2,4,167,20
"Wolf,Christa",1,2,4,6,17,19,6,0,3,1,19,6,0,0,5,1,5,4,3,16,2,0,5,5,130,21
"Zeh,Juli",1,4,4,11,11,10,1,0,3,1,5,0,0,0,4,4,4,3,2,5,1,0,6,4,84,20
"Zweig,Stefan",10,10,3,8,23,66,15,0,1,6,21,0,0,0,4,3,5,18,0,37,6,0,1,26,263,19
"Acklin,Jürg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alahmadi,Galal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auwad,Fouadel-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachmann,Ingeborg",1,6,1,5,11,10,1,0,1,2,16,2,0,0,3,2,3,1,4,7,1,0,4,7,88,21
"Becker,Cornelia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benn,Gottfried",1,4,1,2,5,1,0,0,1,2,4,0,0,0,1,4,0,2,0,2,0,0,2,2,34,16
"Born,Nicolas",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
"Braun,Volker",0,0,0,0,2,9,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,17,8
"Brecht,Bertolt",6,4,6,9,47,23,13,0,4,4,10,3,0,0,11,5,11,8,3,22,4,0,5,1,199,21
"Brussig,Thomas",0,4,1,2,1,1,1,0,1,0,3,3,0,0,1,1,2,1,1,1,0,0,3,0,27,17
"CainKülbel,Jürgen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Courant,Maria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delius,FriedrichChristian",1,0,3,2,4,4,1,0,0,0,6,1,0,0,0,1,2,0,0,3,0,0,3,2,33,14
"Erpenbeck,Jenny",0,0,4,7,12,3,6,0,0,2,5,0,0,0,2,3,1,0,1,4,2,0,5,2,59,16
"Fontane,Theodor",1,0,2,3,10,13,0,0,2,3,4,1,0,0,1,2,1,1,1,17,0,0,2,0,64,17
"Frischmuth,Barbara",0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,10,8
"Geiger,Arno",0,0,1,2,1,4,1,0,0,1,3,1,0,0,1,2,0,1,1,1,2,0,0,0,22,15
"Gstrein,Norbert",2,1,0,3,3,5,0,0,3,0,2,0,0,0,1,1,0,1,0,2,1,0,0,2,27,14
"Haderlap,Maja",0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,9,9
"Häfner,Johannes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Handke,Peter",6,9,7,11,27,43,11,0,5,2,46,4,0,0,7,4,10,4,9,59,12,0,12,10,298,21
"Hartmann,Lukas",0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5
"Hauptmann,Gerhart",0,0,0,0,3,2,0,0,0,1,3,0,0,0,1,6,0,1,0,0,1,0,0,0,18,9
"Herrndorf,Wolfgang",0,2,1,2,3,3,1,0,0,1,1,0,0,0,1,0,3,0,0,1,1,0,1,0,21,14
"Hoppe,Felicitas",0,0,0,3,1,4,0,0,0,0,1,0,0,0,0,2,0,1,0,2,1,0,5,1,21,11
"Hübotter,Klaus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khayat,Rasha",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kinkel,Tanja",2,6,0,2,0,4,5,0,1,1,2,0,0,0,0,3,0,0,0,7,0,0,0,1,34,12
"Kipphardt,Heinar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klein,Georg",0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,9,8
"Köhlmeier,Michael",0,1,1,2,2,6,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,18,12
"Krüger,Michael",2,0,0,5,16,8,0,0,0,0,3,0,0,0,0,2,1,2,2,3,1,0,2,0,47,13
"Kuttner,Sarah",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5
"Langenscheidt,Florian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lenze,Ulla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loetscher,Hugo",1,2,0,1,1,7,0,0,2,1,2,0,0,0,0,2,1,1,0,2,0,0,0,1,24,14
"Loher,Dea",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"Menasse,Robert",4,4,1,5,4,5,1,0,1,4,2,0,0,0,1,2,3,3,1,3,1,0,1,0,46,19
"Mielke,ThomasR.P.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,7,5
"Morgenstern,Christian",0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4
"Mühldorfer,Stefan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novalis",1,3,1,3,2,6,3,0,0,1,2,1,0,0,3,3,0,0,1,6,2,0,1,2,41,18
"Ostermaier,Albert",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"Özdamar,EmineSevgi",0,0,1,3,3,3,2,0,1,0,2,0,0,0,1,1,0,0,0,5,0,0,1,8,31,13
"Pehnt,Annette",0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4
