"","var1","var2","value"
"1","Konsalik,HeinzG.","Konsalik,HeinzG.",1
"2","Reinehr,Wilfried","Koch,Erich",0.998110954772946
"3","Rilke,RainerMaria","Celan,Paul",0.992570485723254
"4","Simmel,JohannesMario","Lindström,Inga",0.9893022354882
"5","Süskind,Patrick","Schlink,Bernhard",0.987169391799761
"6","Link,Charlotte","Courths-Mahler,Hedwig",0.98707387408146
"7","Hagena,Katharina","Mercier,Pascal",0.986893097405854
"8","Heine,Heinrich","Celan,Paul",0.986221674785128
"9","Trakl,Georg","Hölderlin,Friedrich",0.986044799631094
"10","Heine,Heinrich","Rilke,RainerMaria",0.985799401733943
"11","Schiller,Friedrich","Trakl,Georg",0.985575829045445
"12","Zweig,Stefan","Kafka,Franz",0.985446382900388
"13","Handke,Peter","Süskind,Patrick",0.985273291980341
"14","Hölderlin,Friedrich","Celan,Paul",0.985110384862745
"15","Schlink,Bernhard","Jelinek,Elfriede",0.985053247275461
"16","Zeh,Juli","Mercier,Pascal",0.984509534288626
"17","Hoffmann,E.T.A.","Schnitzler,Arthur",0.984217506761038
"18","Süskind,Patrick","Grass,Günter",0.983844478437679
"19","Canetti,Elias","Schulze,Ingo",0.983698959420939
"20","Moers,Walter","Walser,Martin",0.983545221232211
"21","Süskind,Patrick","Jelinek,Elfriede",0.983075546123918
"22","Frisch,Max","Dürrenmatt,Friedrich",0.983071171237467
"23","Jelinek,Elfriede","Grass,Günter",0.983046598428261
"24","Canetti,Elias","Zeh,Juli",0.982871802143063
"25","Werfel,Franz","Musil,Robert",0.982539929690456
"26","Trakl,Georg","Enzensberger,HansMagnus",0.982456021422171
"27","Schlink,Bernhard","Mann,Thomas",0.982438435313123
"28","Wolf,Christa","Frisch,Max",0.982025847671863
"29","Dürrenmatt,Friedrich","Böll,Heinrich",0.981984346794441
"30","Schlink,Bernhard","Grass,Günter",0.981930492889145
"31","Zeh,Juli","Schulze,Ingo",0.981897431698331
"32","Schulze,Ingo","Musil,Robert",0.981829774004681
"33","Canetti,Elias","Mercier,Pascal",0.981536030702847
"34","Bernhard,Thomas","Mann,Thomas",0.981504168106115
"35","Handke,Peter","Dürrenmatt,Friedrich",0.981476402463284
"36","Handke,Peter","Schlink,Bernhard",0.981356483939466
"37","Zweig,Stefan","Dürrenmatt,Friedrich",0.981309817156837
"38","Walser,Robert","Musil,Robert",0.981269175383522
"39","Genazino,Wilhelm","Jaud,Tommy",0.981239759669206
"40","Bernhard,Thomas","Kafka,Franz",0.981206919529181
"41","Ausländer,Rose","Heine,Heinrich",0.981074757055907
"42","Ransmayr,Christoph","Erpenbeck,Jenny",0.981062471193586
"43","Handke,Peter","Jelinek,Elfriede",0.980909535188883
"44","Zweig,Stefan","Süskind,Patrick",0.980730360257817
"45","Mann,Thomas","Kafka,Franz",0.98068533750268
"46","Süskind,Patrick","Dürrenmatt,Friedrich",0.9806223933979
"47","Müller,Herta","Dürrenmatt,Friedrich",0.980569605509163
"48","Schiller,Friedrich","Enzensberger,HansMagnus",0.980415103373689
"49","Handke,Peter","Müller,Herta",0.98033501920685
"50","Gier,Kerstin","Suter,Martin",0.980150598093296
"51","Walser,Martin","Jelinek,Elfriede",0.980029757681909
"52","Grass,Günter","Böll,Heinrich",0.97974884185508
"53","Süskind,Patrick","Frisch,Max",0.97949636001516
"54","Fitzek,Sebastian","Konsalik,HeinzG.",0.979478833317003
"55","Kleist,Heinrichvon","Schnitzler,Arthur",0.979423368902255
"56","Hoffmann,E.T.A.","Kehlmann,Daniel",0.979273739020531
"57","Benn,Gottfried","Trakl,Georg",0.979211344707125
"58","Ransmayr,Christoph","Schulze,Ingo",0.979185015472891
"59","Süskind,Patrick","Kafka,Franz",0.97913356101987
"60","Busch,Wilhelm","Hölderlin,Friedrich",0.979058384085052
"61","Erpenbeck,Jenny","Zeh,Juli",0.979023646071701
"62","Vermes,Timur","Zeh,Juli",0.978963637399605
"63","Hagena,Katharina","Canetti,Elias",0.978733393031203
"64","Ausländer,Rose","Celan,Paul",0.978492280177734
"65","Handke,Peter","Kehlmann,Daniel",0.978387970381896
"66","Kehlmann,Daniel","Frisch,Max",0.978355962500465
"67","Kafka,Franz","Hesse,Hermann",0.978282087854828
"68","Süskind,Patrick","Böll,Heinrich",0.977823840149836
"69","Hauptmann,Gerhart","Fontane,Theodor",0.9777889714821
