"","ara","arm","baq","bel","ben","bnt","bos","bre","cat","chi","dsb","epo","est","fao","fin","fry","geo","ger","gla","gle","glg","heb","hin","ice","ind","kaz","kor","kur","lat","lav","lit","ltz","mac","mal","may","mon","mul","nds","nno","oci","per","roh","rum","sin","slo","tha","tir","ukr","urd","vie","wel","wln","yid","authorcount","author_lang_count"
"Konsalik,HeinzG.",0,0,0,0,0,0,0,0,0,13,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,29,9
"Steiner,Rudolf",0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,5
"Böll,Heinrich",4,0,0,1,0,0,0,0,3,7,0,0,6,0,5,0,2,2,0,0,2,10,0,1,0,0,3,0,0,4,4,0,2,0,0,0,0,0,0,0,12,0,6,0,2,0,0,2,1,1,0,0,0,80,22
"Celan,Paul",1,0,1,0,0,0,0,0,3,1,0,0,1,0,1,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,45,12
"Dürrenmatt,Friedrich",4,0,2,0,0,0,0,0,3,3,0,0,1,1,3,0,0,3,0,0,0,2,0,0,1,0,3,0,0,1,4,0,2,0,0,0,0,0,0,0,6,3,7,0,3,0,0,2,0,0,1,0,0,55,21
"Enzensberger,HansMagnus",1,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,10,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,27,12
"Fallada,Hans",0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,6
"Feuchtwanger,Lion",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,8
"Franck,Julia",0,1,0,0,0,0,0,0,1,4,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9
"Frisch,Max",4,2,1,0,0,0,0,0,3,3,0,0,2,0,1,0,4,1,0,1,0,0,1,2,0,0,2,0,0,4,4,0,1,0,0,0,0,0,0,0,1,2,5,0,1,1,0,3,0,0,0,0,0,49,23
"Goethe,JohannWolfgangvon",2,1,3,3,0,0,0,0,10,15,0,2,4,0,5,0,4,35,0,0,3,7,0,0,2,0,2,0,0,3,7,0,0,0,1,0,0,0,0,0,7,0,8,0,3,0,0,3,2,2,0,0,0,134,25
"Grass,Günter",5,0,2,0,0,0,0,0,8,17,0,0,5,0,7,0,2,1,0,0,0,5,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,5,0,6,0,2,0,0,3,0,2,0,0,0,83,17
"Hauptmann,Gaby",0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,7
"Hesse,Hermann",17,5,2,3,0,0,0,0,24,21,0,1,12,0,14,0,9,9,0,0,3,0,2,0,0,0,24,1,3,9,28,0,6,1,1,0,0,0,0,0,22,0,21,0,23,3,0,9,0,5,0,0,0,278,28
"Hölderlin,Friedrich",0,0,3,1,0,0,0,1,2,2,0,0,2,0,2,0,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,40,15
"Jelinek,Elfriede",0,0,0,0,0,0,0,0,5,17,0,0,2,0,3,0,2,1,0,0,0,2,1,0,1,0,1,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,2,0,2,0,0,0,57,18
"Kafka,Franz",7,0,4,0,0,0,1,1,23,4,0,2,4,1,4,0,0,11,0,0,2,5,0,2,1,0,2,0,0,7,10,0,3,0,0,1,0,0,0,0,5,0,7,0,5,0,0,8,1,3,0,0,0,124,27
"Kehlmann,Daniel",0,1,0,1,0,0,1,0,2,6,0,0,5,1,4,0,0,0,0,0,2,2,0,1,1,0,2,0,0,3,1,0,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,0,44,22
"Lenz,Siegfried",0,0,0,0,0,0,0,0,1,9,0,0,0,0,2,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,11
"Mann,Thomas",2,0,1,0,0,0,0,0,18,9,0,2,6,0,8,0,2,3,0,0,2,4,0,4,0,0,2,0,0,2,4,0,4,0,0,0,0,0,0,0,2,0,19,0,1,0,0,1,0,1,0,0,0,97,22
"Mercier,Pascal",0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,11
"Müller,Herta",2,0,1,0,0,0,1,0,4,2,0,0,2,0,8,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,0,10,0,2,0,0,1,0,0,0,0,0,46,18
"Musil,Robert",1,3,1,0,0,0,0,0,3,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,0,0,0,27,18
"Remarque,ErichMaria",0,0,0,1,0,0,0,0,0,1,0,0,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,31,0,0,0,0,0,0,0,0,0,1,0,8,0,13,0,0,3,0,6,0,0,0,99,14
"Roth,Joseph",0,0,2,0,0,0,0,0,7,0,0,0,7,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,2,0,0,0,0,0,36,13
"Schlink,Bernhard",0,1,0,0,0,0,0,0,11,15,0,1,1,0,5,0,0,0,0,0,1,6,0,3,1,0,6,0,1,3,2,0,7,0,0,1,0,0,0,0,2,0,8,0,2,1,0,3,0,6,0,0,0,87,23
"Schnitzler,Arthur",0,0,1,0,0,0,1,0,5,2,0,0,4,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13
"Schulze,Ingo",1,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,21,16
"Süskind,Patrick",4,1,2,1,0,0,1,0,9,13,0,0,4,0,2,1,1,1,0,0,1,2,1,1,3,0,5,0,3,6,8,0,3,0,0,0,0,0,0,0,2,0,4,1,3,0,0,4,0,2,0,0,0,89,29
"Trakl,Georg",0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,20,10
"Walser,Robert",1,1,1,1,0,0,0,0,4,0,0,0,2,0,2,0,4,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,28,18
"Wolf,Christa",5,0,0,0,0,0,1,0,2,2,0,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,27,14
"Zeh,Juli",0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,15,13
"Zweig,Stefan",4,0,3,1,0,0,0,2,8,3,0,0,2,0,1,0,0,7,0,0,0,3,0,0,0,0,1,0,0,2,8,0,0,0,0,1,0,0,0,0,2,0,5,0,1,0,0,0,0,2,0,0,0,56,19
"Bachmann,Ingeborg",1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,20,14
"Benn,Gottfried",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,7
"Brecht,Bertolt",3,0,2,0,1,0,0,0,10,2,0,0,1,0,2,0,0,5,0,0,1,4,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,42,19
"Erpenbeck,Jenny",1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,15,13
"Fontane,Theodor",1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,10
"Handke,Peter",2,1,1,0,0,0,0,0,6,8,0,0,2,0,7,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,4,0,2,0,0,1,0,0,0,0,0,47,18
"Hauptmann,Gerhart",1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,12
"Novalis",1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,9
"Ransmayr,Christoph",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,13,11
"Rilke,RainerMaria",4,0,0,2,0,0,0,0,7,1,0,0,1,0,2,0,1,63,0,0,1,7,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,10,0,2,0,0,2,0,0,0,0,0,113,19
"Schiller,Friedrich",1,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,27,13
"Walser,Martin",2,0,0,0,0,0,0,0,0,12,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,12
"Lessing,GottholdEphraim",0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,12
"Werfel,Franz",0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,18,12
"Bernhard,Thomas",0,0,1,0,0,0,0,0,11,0,0,0,1,0,8,0,1,5,0,0,1,5,0,2,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,7,0,4,0,0,3,0,0,0,0,0,60,17
"Glattauer,Daniel",0,0,2,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
"Hoffmann,E.T.A.",0,0,1,0,0,0,0,0,4,1,0,1,5,0,3,0,0,4,0,0,1,2,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,33,16
"Kleist,Heinrichvon",0,0,1,0,0,0,0,0,7,0,0,1,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,21,12
"Nietzsche,Friedrich",0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,12,7
"Perutz,Leo",0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,8
"Schirach,Ferdinandvon",0,0,2,0,0,0,0,0,2,7,0,0,1,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21,11
"Bürger,GottfriedAugust",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,12,10
