"","Var1","Freq"
"1","1968",1
"2","1980",17
"3","1981",15
"4","1982",11
"5","1983",15
"6","1984",23
"7","1985",24
"8","1986",24
"9","1987",64
"10","1988",72
"11","1989",224
"12","1990",658
"13","1991",801
"14","1992",959
"15","1993",1069
"16","1994",1156
"17","1995",1007
"18","1996",980
"19","1997",1007
"20","1998",1024
"21","1999",1066
"22","2000",1060
"23","2001",1026
"24","2002",996
"25","2003",1004
"26","2004",1114
"27","2005",1271
"28","2006",1329
"29","2007",1193
"30","2008",1284
"31","2009",1298
"32","2010",1260
"33","2011",1345
"34","2012",1486
"35","2013",1527
"36","2014",1536
"37","2015",1539
"38","2016",1542
"39","2017",1219
"40","2018",1181
"41","2019",993
"42","2020",552
