"","place","match","place_clean.x","place.y","group.y","place_clean.y","distance","Freq","latitude","longitude"
"1","Aarhus",5,"Aarhus","Arhus",5,"Arhus",1,20,56.1496278,10.2134046
"2","al  Qāhira",19,"al  Qahira","al Qāhira",19,"al Qahira",1,16,30.0443879,31.2357257
"3","al Qāhira",19,"al Qahira","al  Qāhira",19,"al  Qahira",1,8,30.0443879,31.2357257
"4","al Qāhira",19,"al Qahira","al Qāhīra",19,"al Qahira",1,8,30.0443879,31.2357257
"5","al Qāhīra",19,"al Qahira","al Qāhira",19,"al Qahira",1,1,30.0443879,31.2357257
"6","Arganda del Rey",45,"Arganda del Rey","Arganta del Rey",45,"Arganta del Rey",1,10,40.3007708,-3.4380688
"7","Arganta del Rey",45,"Arganta del Rey","Arganda del Rey",45,"Arganda del Rey",1,1,NA,NA
"8","Arhus",5,"Arhus","Aarhus",5,"Aarhus",1,8,56.1496278,10.2134046
"9","Arhus",5,"Arhus","Århus",5,"Arhus",1,8,56.1496278,10.2134046
"10","Århus",5,"Arhus","Arhus",5,"Arhus",1,13,56.1496278,10.2134046
"11","Assen",53,"Assen","Assens",53,"Assens",1,2,52.99037165,6.55337777064233
"12","Assen",53,"Assen","Essen",217,"Essen",1,2,52.99037165,6.55337777064233
"13","Assens",53,"Assens","Assen",53,"Assen",1,1,55.265798,9.9002174
"14","Athen",56,"Athen","Athena",56,"Athena",1,2,37.9839412,23.7283052
"15","Athena",56,"Athena","Athen",56,"Athen",1,2,37.9839412,23.7283052
"16","Athena",56,"Athena","Athēna",56,"Athena",1,2,37.9839412,23.7283052
"17","Athēna",56,"Athena","Athena",56,"Athena",1,523,37.9839412,23.7283052
"18","Athēna",56,"Athena","Athēnai",56,"Athenai",1,523,37.9839412,23.7283052
"19","Athēnai",56,"Athenai","Athēna",56,"Athena",1,13,37.9839412,23.7283052
"20","Bakı",69,"Baki","Baku",69,"Baku",1,25,40.3754434,49.8326748
"21","Baku",69,"Baku","Bakı",69,"Baki",1,3,40.3754434,49.8326748
"22","Barcellona",61,"Barcellona","Barcelona",61,"Barcelona",1,4,41.3828939,2.1774322
"23","Barcelona",61,"Barcelona","Barcellona",61,"Barcellona",1,1942,41.3828939,2.1774322
"24","Bari",68,"Bari","Barr",76,"Barr",1,3,41.1257843,16.8620293
"25","Barr",76,"Barr","Bari",68,"Bari",1,2,48.4088704,7.4492808
"26","Barth",76,"Barth","Baruth",76,"Baruth",1,1,54.3636151,12.712276932103
"27","Barth",76,"Barth","Bath",76,"Bath",1,1,54.3636151,12.712276932103
"28","Baruth",76,"Baruth","Barth",76,"Barth",1,2,22.4035894,78.2904839
"29","Bath",76,"Bath","Barth",76,"Barth",1,2,51.38092635,-2.37418971512966
"30","Baume les Dames",74,"Baume les Dames","Baumes les Dames",74,"Baumes les Dames",1,2,47.3526707,6.3614622
"31","Baumes les Dames",74,"Baumes les Dames","Baume les Dames",74,"Baume les Dames",1,1,NA,NA
"32","Bei jing",81,"Bei jing","Beijing",81,"Beijing",1,97,39.906217,116.3912757
"33","Beijing",81,"Beijing","Bei jing",81,"Bei jing",1,22,39.906217,116.3912757
"34","Belgrad",84,"Belgrad","Beograd",84,"Beograd",1,4,44.8178131,20.4568974
"35","Beograd",84,"Beograd","Belgrad",84,"Belgrad",1,545,44.8178131,20.4568974
"36","Berlijn",88,"Berlijn","Berlin",88,"Berlin",1,1,52.5170365,13.3888599
"37","Berlin",88,"Berlin","Berlijn",88,"Berlijn",1,159,52.5170365,13.3888599
"38","Bern",87,"Bern","Berno",87,"Berno",1,6,46.9482713,7.4514512
