"","place","Freq","latitude","longitude"
"1","Aalst",1,50.9383226,4.0392147
"2","Aarhus V",1,56.1660573,10.1926766
"3","Aberystwyth",1,52.4143113,-4.0816846
"4","Acireale",1,37.6282272,15.1538511388686
"5","ACoruña",2,27.4547673,-109.907535
"6","Adel schofen",1,NA,NA
"7","Ageo",1,35.9774082,139.5930504
"8","Aguessac",1,44.1555141,3.0974965
"9","Ahrensburg",1,53.6736529,10.2358999
"10","Aix en Provence",4,43.5298424,5.4474738
"11","Aizkrauklē",1,56.6010778,25.2542544
"12","Aktsiaselts",1,58.93655645,23.5450091717431
"13","al  Ǧīza",4,29.05403575,29.4190807303687
"14","al  Lāḏiqīya",1,NA,NA
"15","al  Muhandisīn",1,15.28151,44.22837
"16","al Kuwait",1,29.3797091,47.9735629
"17","al Qāhīra",1,30.0443879,31.2357257
"18","Alapítvány",1,47.5159738,19.0349186249123
"19","Alata",2,41.9768323,8.7433833
"20","Ålbæk",2,57.5925422,10.4115924
"21","Albergen",1,52.35997235,6.751573456343
"22","Albi",2,43.9277552,2.147899
"23","Albolote",1,37.2306219,-3.6570779
"24","Alcalá de Guadaíra",2,37.3397709,-5.8408396
"25","Alès",1,44.1253665,4.0852818
"26","Alger",1,36.7753606,3.0601882
"27","Alicante",2,38.3436365,-0.4881708
"28","Alings as",1,NA,NA
"29","Alma Ata",1,43.2363924,76.9457275
"30","Almaty",2,43.2363924,76.9457275
"31","Almuñécar",1,36.7328699,-3.68968
"32","Altea",1,38.6028245,-0.0472059
"33","Altenahr",1,50.5169469,6.9920517
"34","Altendorf",2,49.383146,20.3598135
"35","Altmünster",1,47.9016069,13.7652213
"36","Amadora",4,38.7595162,-9.22367700946013
"37","Amay",1,50.5497761,5.3240992
"38","Amberg",1,49.4454211,11.858728
"39","Amersfoort",4,52.1637739,5.3965879493517
"40","Anderlingen",1,53.3730821,9.303966
"41","Andorra la Vella",1,42.5069391,1.5212467
"42","Andorra LaVella",1,NA,NA
"43","Angers",1,47.4739884,-0.5515588
"44","Angoulême",1,45.6512748,0.1576745
"45","Ann Arbor",1,42.2681569,-83.7312291
"46","Antverpeno",1,51.2211097,4.3997081
"47","Apeldoorn",3,52.17957375,5.93007746080725
"48","Archangel sk",1,64.533598,40.6210437
"49","Arganta del Rey",1,NA,NA
"50","Argentinien",1,-34.9964963,-64.9672817
"51","Arles  France",1,43.6776223,4.6309653
"52","Arnhem",1,51.984257,5.9108573
"53","Arta",1,11.3861664,42.5742801
"54","Artamon",1,69.39330995,155.680819554509
"55","Arteixo",1,43.3096531,-8.5003375
"56","Ashḳelon",1,31.6644874,34.5730157
"57","Askim",1,57.6325963,11.9372702348695
"58","Asmalımescit",3,NA,NA
"59","Aspach",1,48.6545137,6.9624243
"60","Assen",2,52.99037165,6.55337777064233
"61","Assens",1,55.265798,9.9002174
"62","Atarrabia Villava",1,42.8304378,-1.6093997
"63","Athen",2,37.9839412,23.7283052
"64","Athena",2,37.9839412,23.7283052
"65","Augšlīgatne",1,57.18369215,25.0269025625328
"66","Austin",3,30.2711286,-97.7436995
"67","Auvers sur Oise",2,49.0701875,2.1718687
"68","Averbode",1,51.0300217,4.9797369
"69","Aylesbury",1,51.8161412,-0.8130383
"70","Babenhausen",3,49.9562183,8.9460279
"71","Bacup",1,53.6975234,-2.2004698
"72","Bad Homburg",1,50.2267699,8.6169093
"73","Bad Oldesloe",1,53.8096562,10.3733692
"74","Bad Tölz",1,47.7610641,11.5582933
"75","Badajoz",1,38.8780585,-6.9702048
"76","Badalona",2,41.4493539,2.248254
"77","Baden",1,48.1928371,8.1390286
"78","Baden Baden",2,48.7580777,8.2415239
"79","Bağcılar",1,41.0338992,28.8578982
"80","Baġdād",3,33.3024309,44.3787992
"81","Baile Átha Cliath",2,53.3497645,-6.2602732
"82","Bakanlıklar Ankara",1,39.9190562,32.8538242
"83","Bakhuizen",1,52.8677087,5.4583305
"84","Baku",3,40.3754434,49.8326748
"85","Balatonboglár",1,46.7785372,17.6553331
"86","Balerna",1,45.8491908,9.0070811
"87","Balsthal",1,47.3140365,7.6947764
"88","Bamberg",1,49.8916044,10.8868478
"89","Ban qiao",1,25.0138099,121.4641275
"90","Bangkok",1,13.7525438,100.4934734
"91","Banja Luka",4,44.7720845,17.1917651
"92","Banská Bystrica",2,48.7384028,19.1573494
"93","Barberà del Vallés",3,41.5172534,2.1265942
"94","Barcellona",4,41.3828939,2.1774322
"95","Bareclona",3,NA,NA
"96","Bari",3,41.1257843,16.8620293
"97","Barnaul",1,53.347402,83.7784496
"98","Barneveld",4,52.17150665,5.64543929995403
"99","Barnsley",3,53.5527719,-1.4827755
"100","Barnstorf",3,52.708931,8.505279
"101","Barr",2,48.4088704,7.4492808
"102","Barret sur Méouge",1,44.2629914,5.7332526
"103","Barrytown",1,42.0012008,-73.9278157561086
"104","Barth",1,54.3636151,12.712276932103
"105","Baruth",2,22.4035894,78.2904839
