"","place","Freq.x","Freq.y","latitude","longitude"
"1","",2468,2468,NA,NA
"2","Adel schofen",1,1,NA,NA
"3","al  Lāḏiqīya",1,1,NA,NA
"4","Alings as",1,1,NA,NA
"5","Andorra LaVella",1,1,NA,NA
"6","Arganta del Rey",1,1,NA,NA
"7","Asmalımescit",3,3,NA,NA
"8","Bareclona",3,3,NA,NA
"9","Baumes les Dames",1,1,NA,NA
"10","Benê Beraq",1,1,NA,NA
"11","Bucures ti",2,2,NA,NA
"12","Budpaest",1,1,NA,NA
"13","Budpest",1,1,NA,NA
"14","Burcureşti",2,2,NA,NA
"15","Cağadoğlu",1,1,NA,NA
"16","Cağaloğli",1,1,NA,NA
"17","Cağaloğu",2,2,NA,NA
"18","Champfers",1,1,NA,NA
"19","Chil gog gun",2,2,NA,NA
"20","Chun cheon si",1,1,NA,NA
"21","Ciudad de LaHabana",3,3,NA,NA
"22","Courbevoie Cedex",1,1,NA,NA
"23","Cze stochowa",3,3,NA,NA
"24","DenHaag",3,3,NA,NA
"25","Dražgoě",1,1,NA,NA
"26","Enschede Doetinchem",1,1,NA,NA
"27","Ere w an",9,9,NA,NA
"28","Erscheinungsort nicht ermittelbar",1,1,NA,NA
"29","Gelʹzenkirchen",1,1,NA,NA
"30","Gr asten",1,1,NA,NA
"31","Havlíčk uv Brod",2,2,NA,NA
"32","Helsingissä  Hki",1,1,NA,NA
"33","Helsingissä kustannusosakeyhtiö",1,1,NA,NA
"34","Helsinke",1,1,NA,NA
"35","Hod ha Sharon",1,1,NA,NA
"36","Hohen Neuendorf bei Berlin",1,1,NA,NA
"37","Ivano Frankifs k",1,1,NA,NA
"38","Janki k  Warszawy",3,3,NA,NA
"39","Jindřich uv Hradec",1,1,NA,NA
"40","Kazowice",1,1,NA,NA
"41","Københaven",1,1,NA,NA
"42","Købnhavn",2,2,NA,NA
"43","Koloszvár",1,1,NA,NA
"44","Kostelmí Vydří",1,1,NA,NA
"45","Køvenhavn",1,1,NA,NA
"46","Kraljelo",1,1,NA,NA
"47","Kremnv ug",1,1,NA,NA
"48","Kruṅ deb",5,5,NA,NA
"49","Kūlūniyā",15,15,NA,NA
"50","LeChambon sur Lignon",1,1,NA,NA
"51","LeMéjan",1,1,NA,NA
"52","LesCharbonnières",2,2,NA,NA
"53","London WII 4QR",1,1,NA,NA
"54","Mladá Fronta",1,1,NA,NA
"55","Moksva",1,1,NA,NA
"56","Moshav Ben Shemen",1,1,NA,NA
"57","Naʾī Dihlī",1,1,NA,NA
"58","Newē Mônôsôn",1,1,NA,NA
"59","Njumbrecht Elʹzenrot",1,1,NA,NA
"60","Or Yehudah",16,16,NA,NA
"61","Oświe cim",1,1,NA,NA
"62","Ottensheim a d  Donau",1,1,NA,NA
"63","Oveti",1,1,NA,NA
"64","Paris Orbey",1,1,NA,NA
"65","Roskilde Bogcafé",4,4,NA,NA
"66","S  Angela in Formis",1,1,NA,NA
"67","Saarbrjukken",1,1,NA,NA
"68","Saettle",1,1,NA,NA
"69","Sala Södermalm",2,2,NA,NA
"70","Saraviponti",2,2,NA,NA
"71","Seltjarnarnesi",2,2,NA,NA
"72","Senden in oppido Bavariae Suebicae",2,2,NA,NA
"73","Seo ul teug byeol si",2,2,NA,NA
"74","Seyssel sur Rhône",1,1,NA,NA
"75","Shkode  r",4,4,NA,NA
"76","Smederovo",1,1,NA,NA
"77","Sofjia",1,1,NA,NA
"78","Somonte Cenero",1,1,NA,NA
"79","Stuttgart  i e  Fellbach",1,1,NA,NA
"80","T arn asen",2,2,NA,NA
"81","T bilissi",1,1,NA,NA
"82","Thessalonlikē",1,1,NA,NA
"83","Tihran",1,1,NA,NA
"84","Tolvsrad",1,1,NA,NA
"85","V Praze Podlesí",1,1,NA,NA
"86","Vallodolid",2,2,NA,NA
"87","Vanves Cedex",4,4,NA,NA
"88","Venaxomoduri",1,1,NA,NA
"89","Villands V anga",1,1,NA,NA
"90","Warszwa",1,1,NA,NA
"91","Yerûšālayim",23,23,NA,NA
"92","Zabgreb",1,1,NA,NA
"93","Zaporož e",1,1,NA,NA
"94","Zapršić",1,1,NA,NA
"95","Zenica Tuzla",1,1,NA,NA
