"","place","Freq","latitude","longitude"
"1","",2468,NA,NA
"5","Aarhus",20,56.1496278,10.2134046
"13","Adel schofen",1,NA,NA
"23","al  Lāḏiqīya",1,NA,NA
"25","al  Qāhira",16,30.0443879,31.2357257
"27","al Qāhira",8,30.0443879,31.2357257
"28","al Qāhīra",1,30.0443879,31.2357257
"40","Alger",1,36.7753606,3.0601882
"44","Alings as",1,NA,NA
"46","Alma Ata",1,43.2363924,76.9457275
"47","Almaty",2,43.2363924,76.9457275
"53","Alzira",9,36.7753606,3.0601882
"61","Andorra LaVella",1,NA,NA
"67","Antverpeno",1,51.2211097,4.3997081
"68","Antwerpen",23,51.2211097,4.3997081
"72","Arganta del Rey",1,NA,NA
"74","Arhus",8,56.1496278,10.2134046
"75","Århus",13,56.1496278,10.2134046
"76","Arles",178,43.6776223,4.6309653
"77","Arles  France",1,43.6776223,4.6309653
"85","Asmalımescit",3,NA,NA
"91","Athen",2,37.9839412,23.7283052
"92","Athena",2,37.9839412,23.7283052
"93","Athēna",523,37.9839412,23.7283052
"94","Athēnai",13,37.9839412,23.7283052
"117","Baile Átha Cliath",2,53.3497645,-6.2602732
"121","Bakı",25,40.3754434,49.8326748
"122","Baku",3,40.3754434,49.8326748
"134","Barcellona",4,41.3828939,2.1774322
"135","Barcelona",1942,41.3828939,2.1774322
"136","Bareclona",3,NA,NA
"151","Baumes les Dames",1,NA,NA
"155","Bei jing",97,39.906217,116.3912757
"156","Bei jing Shi",9,39.906217,116.3912757
"157","Beijing",22,39.906217,116.3912757
"161","Belgrad",4,44.8178131,20.4568974
"170","Benê Beraq",1,NA,NA
"171","Beograd",545,44.8178131,20.4568974
"176","Berlijn",1,52.5170365,13.3888599
"177","Berlin",159,52.5170365,13.3888599
"178","Bern",6,46.9482713,7.4514512
"181","Berno",6,46.9482713,7.4514512
"185","Beyoğlu",42,41.0284233,28.9736808
"186","Beyoğlu İstanbul",2,41.0284233,28.9736808
"192","Bienne",2,48.2083537,16.3725042
"193","Bilbao",10,43.2630018,-2.9350039
"194","Bilbo",2,43.2630018,-2.9350039
"205","Bogota",1,4.6533326,-74.083652
"206","Bogotá",2,4.6533326,-74.083652
"208","Bolzano",8,46.65594215,11.2296372641695
"209","Bolzano Bozen",1,46.65594215,11.2296372641695
"230","Bratislava",313,48.1516988,17.1093063
"231","Bratisłava",1,48.1516988,17.1093063
"232","Bratislawa",1,48.1516988,17.1093063
"233","Braunschweig",1,52.2646577,10.5236066
"237","Brema",1,53.0758196,8.8071646
"238","Bremen",16,53.0758196,8.8071646
"252","Brunswick",1,52.2646577,10.5236066
"253","Brussel",3,50.8465573,4.351697
"254","Bruxelles",14,50.8465573,4.351697
"258","Bucures ti",2,NA,NA
"259","Bucuresti",6,44.4361414,26.1027202
"260","Bucureşti",303,44.4361414,26.1027202
"261","București",2,44.4361414,26.1027202
"264","Budpaest",1,NA,NA
"265","Budpest",1,NA,NA
"266","Budyšin",1,51.1813907,14.4275735
"267","Budyšyn",1,51.1813907,14.4275735
"268","Buenos Aires",110,-34.6075682,-58.4370894
"270","Bukarest",2,44.4361414,26.1027202
"271","Burcureşti",2,NA,NA
"272","Burgas",3,42.34484975,-3.68124765840368
"273","Burgos",2,42.34484975,-3.68124765840368
"286","Cağadoğlu",1,NA,NA
"287","Cağaloğli",1,NA,NA
"288","Cağaloğlu",77,41.0103405,28.977377
"289","Cağaloğlu   İstanbul",1,41.0103405,28.977377
"290","Cağaloğlu İstanbul",4,41.0103405,28.977377
"291","Cağaloğu",2,NA,NA
"293","Cairo",2,30.0443879,31.2357257
"300","Cape Town",1,-33.928992,18.417396
"309","Carouge",1,46.1846691,6.1396839
"310","Carouge Geneve",2,46.1846691,6.1396839
"311","Carouge Genève",66,46.1846691,6.1396839
"323","Celovec",51,46.6228162,14.3079604
"324","Celovec Klagenfurt",1,46.6228162,14.3079604
"330","Cernivci",1,48.2864702,25.9376532
"331","Černivci",21,48.2864702,25.9376532
"334","Český Těšin",1,49.7464018,18.6260976
"335","Český Těšín",10,49.7464018,18.6260976
