"","author","place_freq","title_freq"
"1","",68,2323
"2","-ky",4,4
"3","!!",1,1
"4","A., Sonay",1,1
"5","Aarestrup, Emil",1,1
"6","Abarbanell, Stephan",5,5
"7","Abbott, David",1,1
"8","Äbdülrähmanlı, Näriman",1,1
"9","Abedi, Isabel",1,1
"10","Abel, Winnie",2,5
"11","Abele, Jan",1,1
"12","Abell, Arthur M.",1,1
"13","Abeln, Reinhard",3,3
"14","Ablaß, Werner E.",1,1
"15","Abraham, Filo M.",1,1
"16","Abreu, Carlos",1,1
"17","Acero, Irene",1,1
"18","Achermann, Franz Heinrich",1,1
"19","Achleitner, Friedrich",1,1
"20","Achternbusch, Herbert",6,6
"21","Ackermann, Erich",3,3
"22","Ackermann, Rolf",1,1
"23","Acklin, Jürg",2,2
"24","Acosta, Luis A.",1,1
"25","Adam, Gabi",1,1
"26","Adams Richards, David",1,1
"27","Adams, Lilly",1,1
"28","Addams, Peter",1,1
"29","Adi Mira, Michaels",1,2
"30","Adib, Mu.",1,1
"31","Adler, H. G.",5,7
"32","Adler, Hans",1,1
"33","Adler, Katharina",1,1
"34","Adlhoch, Christine",1,1
"35","Admoni, Vladimir G.",1,1
"36","Adorján, Johanna",12,15
"37","Adorno, Theodor W.",1,1
"38","Aebi, Peter",1,1
"39","Aebli, Kurt",1,1
"40","Aehnlich, Kathrin",1,1
"41","Ahern, Cecelia",2,2
"42","Ahlborn, Siegfried Heinz-Jürgen",2,3
"43","Ahlers, Marieta",1,2
"44","Ahlswede, Elke",1,1
"45","Ahrens, Hanna",1,1
"46","Ahrens, Renate",1,1
"47","Aichelburg, Wolf von",1,1
"48","Aichinger, Ilse",20,23
"49","Aichmayr, Michael",1,1
"50","Aichner, Bernhard",12,19
"51","Aigner, Christoph Wilhelm",2,2
"52","Aiken, Joan",1,1
"53","Aksu Yılmazer, Zehra",1,1
"54","Alafenisch, Salim",1,1
"55","Alahmadi, Galal",1,1
"56","Albaneze, Bruna",1,1
"57","Albany, James",1,1
"58","Alberts, Jürgen",3,3
"59","Albertus &lt",1,1
"60","Albes, Andreas",2,2
"61","Albrecht, Stefan",1,1
"62","Alekseeva, Irina Sergeevna",1,1
"63","Alešovec, Jakob",1,1
"64","Alexander, Anne",1,1
"65","Alexandra",1,1
"66","Alexandre, Maxime",1,1
"67","Alioth, Gabrielle",1,1
"68","Allemann, Urs",1,1
"69","Allmend, Peter",1,1
"70","Alpsten, Ellen",3,3
"71","Altenberg, Peter",7,9
"72","Altenburg, Matthias",2,2
"73","Altmann, Andreas",1,1
"74","Altrichter, Michal",1,2
"75","Altschüler, Boris",1,1
"76","Amann, Jürg",2,3
"77","Amanuma, Haruki",1,2
"78","Ambers, Jennifer",1,1
"79","Ambers, Jennifer Verfasser]",1,1
"80","Ambras, Elisabeth",1,2
"81","Amenda, Alfred",1,1
"82","Amery, Carl",1,1
"83","Améry, Jean",2,4
"84","Ammelrooy, Anneke van",1,1
"85","Amrein, Nicole",2,2
"86","Amsler, Jean",1,1
"87","Andeck, Mara",1,1
"88","Anderhandt, Jakob",1,1
"89","Anderka, Johanna",1,1
"90","Anders, Günther",3,3
"91","Andersch, Alfred",17,25
"92","Andersen, Hans Christian",2,3
"93","Anderson, Poppy J.",4,7
"94","Anderson, Uta",1,3
"95","Andersson, Leif Lasse",1,1
"96","André, Günter",1,5
"97","Andreä, Johann Valentin",6,7
"98","Andreas-Salomé, Lou",5,8
"99","Andres, Stefan",3,3
"100","Andresky, Sophie",2,3
"101","Angeles Torras Piqué, Maria de los",1,2
"102","Angelroth, Dirk",1,1
"103","Angelus &lt",19,27
"104","Ani, Friedrich",7,13
"105","Annas, Max",2,3
"106","Ansary, Maryam",1,1
"107","Antal, László",1,1
"108","Antonietti, Federica",1,1
"109","Anzengruber, Ludwig",1,1
"110","Aoyama, Akane",1,1
"111","Apitz, Bruno",6,7
"112","Apostolova, Božana",1,1
"113","Appel, Jörg",1,1
"114","Appelbaum, Stanley",1,2
"115","Apt, Solomon Konstantinovič",1,4
"116","Aṙak̕elyan, Ara",1,1
"117","Arango, Sascha",24,31
"118","Arbenz, Peter U.",1,1
"119","Archer, Ursula",2,3
"120","Arendt, Hannah",3,3
"121","Arens, Annegrit",2,2
"122","Arenz, Ewald",2,2
"123","Arjouni, Jakob",25,62
"124","Arnau, Frank",1,1
"125","Arndt, Karin",1,1
"126","Arnim, Achim von",10,11
"127","Arnim, Mary Annette von",1,1
"128","Arold, Marliese",2,2
"129","Arp, Hans",4,4
"130","Arslan Yeşilay, Sibel",1,1
"131","Artmann, H. C.",4,6
"132","Arven, Melisande Verfasser]",1,1
"133","Arzeni, Flavia",1,1
"134","Arzt, Thomas",1,1
"135","Askan, Katrin",2,2
"136","Ast, Victor",1,1
"137","Astel, Arnfrid",1,1
"138","Atabay, Cyrus",1,1
"139","ATAK",3,3
"140","Atäşi, Nuridä",1,1
"141","Auel, Jean M.",1,1
"142","Auffermann, Verena",1,1
"143","August &lt",1,1
"144","Augustin, Anita",1,1
"145","Augustin, Eduard",2,3
"146","Augustin, Ernst",3,3
"147","Augustin, Hans",1,1
"148","Augustin, Michael",2,2
"149","Augustová, Zuzana",1,4
"150","Aumale, Austra",1,1
"151","Ausländer, Rose",18,26
"152","Austen, Jane",1,1
"153","Auwad, Fouad el-",1,1
"154","Averbeck, Sanne",1,1
"155","Aydemir, Fatma",1,1
"156","Ayim, May",1,1
"157","Ayoub, Susanne",1,1
"158","Aytaç, Gürsel",1,2
"159","Babarczy, Eszter",1,1
"160","Babendererde, Antje",1,1
"161","Babunin, Svetokril",1,1
"162","Bach, Cara Verfasser]",1,2
"163","Bach, Günther",1,1
"164","Bach, Leonie",1,1
"165","Bach, Tabea",6,11
"166","Bachér, Ingrid",1,1
"167","Bacher, Josef",1,1
"168","Bachmann, Dieter",1,1
"169","Bachmann, Ingeborg",48,108
"170","Bachofen, Johann Jakob",1,1
"171","Back, Jean",1,1
"172","Bäcker, Heimrad",1,1
"173","Badenhop, Hartmut",1,1
"174","Bader, Katarina",1,1
"175","Badoux, Christophe",1,1
"176","Badrije, Maia",1,1
"177","Baer, Frank",1,8
"178","Baeredel",1,1
"179","Baesecke, Georg",1,1
"180","Bagheri-Goldschmied, Nahid",1,1
"181","Bagus, Clara Maria",1,1
"182","Bahr, Hermann",2,3
"183","Bahrdt, Carl Friedrich",1,1
"184","Baier, Lothar",2,2
"185","Bailly, Jean-Christophe",1,1
"186","Baitinger, Max",1,1
"187","Baldauf, Paul",1,1
"188","Baldermann, Ingo",1,1
"189","Balfour, Liz",1,1
"190","Ball, Hugo",11,14
"191","Balla, Zsófia",1,2
"192","Ballabene, Alfred",1,1
"193","Ballestrem, Adlerofeld F.",1,1
"194","Ballien, Tilo",1,1
"195","Balling, Adalbert Ludwig",2,4
"196","Balvin, Josef",1,1
"197","Balzamo, Elena",1,1
"198","Bamm, Peter",1,1
"199","Banciu, Carmen Francesca",1,3
"200","Banciu, Carmen-Francesca",1,1
"201","Bang, Herman",1,1
"202","Baniewicz, Elżbieta",1,1
"203","Bánk, Zsuzsa",14,26
"204","Bankhofer, Hademar",1,1
"205","Bankl, Hans",1,1
"206","Bannalec, Jean-Luc",15,78
"207","Bänsch, Dieter",1,1
"208","Banz, Stefan",1,1
