"","country","count"
"1","",5
"2","XA-AT",2
"3","XA-BE",1
"4","XA-BG",1
"5","XA-CH",2
"6","XA-CSHH",4
"7","XA-CSXX",2
"8","XA-CZ",4
"9","XA-DDDE",1
"10","XA-DE",5
"11","XA-DE-BB",1
"12","XA-DE-BE",2
"13","XA-DE-BY",1
"14","XA-DE-HE",1
"15","XA-DE-NW",2
"16","XA-DK",3
"17","XA-EE",1
"18","XA-ES",5
"19","XA-FI",1
"20","XA-FR",2
"21","XA-GB",2
"22","XA-GR",1
"23","XA-HR",2
"24","XA-HU",2
"25","XA-IT",6
"26","XA-LT",2
"27","XA-LV",2
"28","XA-NL",2
"29","XA-NO",2
"30","XA-PL",5
"31","XA-PT",2
"32","XA-RO",1
"33","XA-RS",1
"34","XA-RU",4
"35","XA-SE",3
"36","XA-SI",2
"37","XA-SK",1
"38","XA-SUHH",4
"39","XA-UA",3
"40","XA-YUCS",3
"41","XB-CN",1
"42","XB-IN",1
"43","XB-IR",1
"44","XB-JP",1
"45","XB-KR",1
"46","XB-TR",2
"47","XB-TW",1
"48","XD-AR",1
"49","XD-BR",2
"50","XD-CO",1
"51","XD-MX",1
"52","XD-US",3
