"","country","count"
"1","",30
"2","US",1
"3","XA-AL",2
"4","XA-AT",3
"5","XA-BA",1
"6","XA-BE",6
"7","XA-BG",7
"8","XA-BY",1
"9","XA-CH",14
"10","XA-CSHH",2
"11","XA-CSXX",4
"12","XA-CZ",11
"13","XA-DE",27
"14","XA-DE-BB",1
"15","XA-DE-BE",2
"16","XA-DE-BW",8
"17","XA-DE-BY",12
"18","XA-DE-HB",1
"19","XA-DE-HE",3
"20","XA-DE-HH",1
"21","XA-DE-NI",1
"22","XA-DE-NW",7
"23","XA-DE-RP",1
"24","XA-DE-SH",4
"25","XA-DE-SL",2
"26","XA-DE-SN",2
"27","XA-DK",9
"28","XA-EE",2
"29","XA-ES",36
"30","XA-FI",6
"31","XA-FR",28
"32","XA-GB",15
"33","XA-GR",1
"34","XA-HR",3
"35","XA-HU",5
"36","XA-IE",1
"37","XA-IS",1
"38","XA-IT",27
"39","XA-LT",1
"40","XA-LV",2
"41","XA-MC",1
"42","XA-ME",1
"43","XA-MK",1
"44","XA-NL",36
"45","XA-NO",4
"46","XA-PL",15
"47","XA-PT",7
"48","XA-RO",7
"49","XA-RS",9
"50","XA-RU",5
"51","XA-SE",10
"52","XA-SI",7
"53","XA-SK",5
"54","XA-SUHH",7
"55","XA-UA",4
"56","XA-YUCS",9
"57","XB-AE",1
"58","XB-AM",1
"59","XB-AZ",1
"60","XB-CN",8
"61","XB-GE",3
"62","XB-ID",1
"63","XB-IL",4
"64","XB-IN",2
"65","XB-IR",1
"66","XB-JP",1
"67","XB-KR",3
"68","XB-LB",1
"69","XB-MN",1
"70","XB-MY",1
"71","XB-SY",1
"72","XB-TH",1
"73","XB-TR",14
"74","XB-TW",1
"75","XB-VN",1
"76","XC-EG",1
"77","XC-ZA",2
"78","XD-AR",1
"79","XD-BR",3
"80","XD-CA",3
"81","XD-MX",2
"82","XD-US",34
"83","XE-AU",1
"84","XK-SJ",1
