"","place","Freq","X","latitude","longitude"
"1","Aachen",8,2,50.776351,6.083862
"2","Aarau",6,4,47.3927146,8.0444448
"3","Aarhus",41,5,56.1496278,10.2134046
"4","Aartselaar",32,7,51.133297,4.3870241
"5","Abcoude",6,8,52.270281,4.9710427
"6","Abū Ẓabī",8,10,24.4538352,54.3774014
"7","AH Haarlem",9,16,52.3883781,4.639632
"8","Aizpute",12,20,56.7226275,21.6067429
"9","Albany",5,32,41.000028,19.9999619
"10","Alcobendas",8,37,40.5400082,-3.6358494
"11","Alfragide",38,39,38.73366745,-9.21600447441957
"12","Algés",16,41,38.70523495,-9.22887899151049
"13","Algete",6,42,40.5961652,-3.4974246
"14","Alkmaar",51,45,52.6008538,4.81709944644396
"15","Alzira",9,53,36.7753606,3.0601882
"16","Anghiari",7,63,43.5409662,12.0545815
"17","Ankara",32,65,39.9207886,32.8540482
"18","Antwerpen",24,68,51.2211097,4.3997081
"19","Arganda del Rey",10,71,40.3007708,-3.4380688
"20","Ashland",7,83,46.2062319,-90.6802594
"21","Asti",7,89,44.82601265,8.20268632898727
"22","Auch",9,95,43.6463558,0.5850507
"23","Augsburg",9,96,48.3668041,10.8986971
"24","Baambrugge",19,102,52.2475954,4.990842
"25","Baarn",59,103,52.2002549,5.26914339331394
"26","Bad Bellingen",13,106,47.7308736,7.5569211
"27","Bagno a Ripoli",5,116,43.752172,11.3199949
"28","Bairūt",20,118,31.994836,34.7678459
"29","Bakı",28,121,40.3754434,49.8326748
"30","Baltimore",6,126,39.2908816,-76.610759
"31","Barcarena",8,133,-1.5107945,-48.6190679
"32","Bellinzona",27,163,46.1920538,9.0205888
"33","Belp",6,165,46.88978,7.498388
"34","Belval",7,166,49.0399397,-1.363712
"35","Benalmádena",5,168,36.594519,-4.572284
"36","Bene Beraḳ",7,169,32.0873899,34.8324376
"37","Bergisch Gladbach",18,174,50.9929303,7.1277379
"38","Berkeley",10,175,37.8753497,-122.239633649188
"39","Bern",12,178,46.9482713,7.4514512
"40","Beşiktaş",7,183,41.0428465,29.0075283
"41","Beyoğlu",44,185,41.0284233,28.9736808
"42","Bielsko Biała",6,191,49.81207845,19.0291988020139
"43","Bilbao",10,193,43.2630018,-2.9350039
"44","Bitola",5,198,41.0316005,21.3302511
"45","Bleiswijk",13,200,52.0109579,4.5310837
"46","Bologna",14,207,44.4938203,11.3426327
"47","Bolzano",8,208,46.65594215,11.2296372641695
"48","Bonn",8,210,50.735851,7.10066
"49","Bordeaux",7,211,44.841225,-0.5800364
"50","Boskovice",6,216,49.4877983,16.66016
"51","Boston",22,218,42.3602534,-71.0582912
"52","Breda",74,235,51.5887845,4.7760237
"53","Bremen",17,238,53.0758196,8.8071646
"54","Bristol",5,243,51.47091115,-2.57903340257084
"55","Brooklyn",38,248,40.6526006,-73.9497211
"56","Bruxelles",17,254,50.8465573,4.351697
"57","Burgas",5,272,42.34484975,-3.68124765840368
"58","Bydgoszcz",9,278,53.1219648,18.0002529
"59","Čačak",9,279,43.8914332,20.3491624
"60","Cáceres",11,280,39.4745175,-6.3716761
"61","Cadillon",5,282,43.5266482,-0.1586642
"62","Cağaloğlu",83,288,41.0103405,28.977377
