"","country","count"
"1","",67
"2","XA-AD",2
"3","XA-AL",1
"4","XA-AT",28
"5","XA-BA",5
"6","XA-BE",22
"7","XA-BG",6
"8","XA-BY",1
"9","XA-CH",71
"10","XA-CSHH",4
"11","XA-CSXX",3
"12","XA-CY",1
"13","XA-CZ",53
"14","XA-DE",54
"15","XA-DE-BB",6
"16","XA-DE-BE",2
"17","XA-DE-BW",27
"18","XA-DE-BY",41
"19","XA-DE-HB",1
"20","XA-DE-HE",24
"21","XA-DE-HH",1
"22","XA-DE-MV",5
"23","XA-DE-NI",14
"24","XA-DE-NW",44
"25","XA-DE-RP",9
"26","XA-DE-SH",9
"27","XA-DE-SL",5
"28","XA-DE-SN",6
"29","XA-DE-ST",4
"30","XA-DE-TH",5
"31","XA-DK",34
"32","XA-EE",5
"33","XA-ES",92
"34","XA-FI",16
"35","XA-FR",149
"36","XA-GB",56
"37","XA-GR",7
"38","XA-HR",14
"39","XA-HU",31
"40","XA-IE",3
"41","XA-IS",1
"42","XA-IT",84
"43","XA-LT",9
"44","XA-LU",4
"45","XA-LV",4
"46","XA-MD",3
"47","XA-ME",1
"48","XA-MK",2
"49","XA-MT",1
"50","XA-NL",68
"51","XA-NO",19
"52","XA-PL",66
"53","XA-PT",27
"54","XA-RO",21
"55","XA-RS",10
"56","XA-RU",29
"57","XA-SE",31
"58","XA-SI",13
"59","XA-SK",16
"60","XA-SUHH",9
"61","XA-UA",13
"62","XA-YUCS",11
"63","XB-AM",2
"64","XB-CN",16
"65","XB-GE",1
"66","XB-HK",2
"67","XB-ID",3
"68","XB-IL",13
"69","XB-IN",14
"70","XB-IQ",3
"71","XB-IR",3
"72","XB-JO",1
"73","XB-JP",15
"74","XB-KR",11
"75","XB-KW",1
"76","XB-KZ",1
"77","XB-LB",2
"78","XB-LK",1
"79","XB-MN",1
"80","XB-MY",3
"81","XB-PK",2
"82","XB-SY",1
"83","XB-TH",1
"84","XB-TR",30
"85","XB-TW",7
"86","XB-VN",4
"87","XC-DZ",1
"88","XC-EG",3
"89","XC-MA",1
"90","XC-MG",1
"91","XC-NA",1
"92","XC-UG",1
"93","XC-ZA",3
"94","XD-AR",5
"95","XD-BO",1
"96","XD-BR",12
"97","XD-CA",11
"98","XD-CL",6
"99","XD-CO",3
"100","XD-CU",4
"101","XD-EC",2
"102","XD-HT",1
"103","XD-MX",8
"104","XD-PE",1
"105","XD-SV",1
"106","XD-US",110
"107","XD-UY",2
"108","XD-VE",2
"109","XE-AU",4
"110","XE-NZ",4
"111","XK-FO",2
