"","Var1","Freq"
"1","",699
"2"," und sie leben dennoch",1
"3","1168274605",1
"4","13 nicht geheure Geschichten",2
"5","16 mal Kunst ltAusstellungskatalog",1
"6","1979n",1
"7","40 Jahre Storchentante",1
"8","8 verhängnisvolle kurze Geschichten",1
"9","Abdankung",1
"10","Abendliche Häuser",2
"11","Abenteuer des Brautpaares",1
"12","Abraham  Cond",1
"13","Abschied von Sidonie",3
"14","Achterloo III",1
"15","Achterloork",1
"16","Adalbert Stifter Zwei Schwestern",1
"17","Afrikanische Geschichten",1
"18","Afrikanische Weisheiten",1
"19","Agrippinas Geheimnisnd",1
"20","Aichinger",1
"21","Aladins Problemrk",1
"22","Albrecht Haller von Die Alpen",2
"23","Alex  Adrenalin pur",1
"24","Ali und Nino Iwrith",1
"25","Alina Bronsky Die schärfsten Gerichte der tatarischen Küche",1
"26","Alle Nähe fern",1
"27","Alle sieben Wellenn",1
"28","Alle sterben auch die Löffelstöre",1
"29","Alleine war gestern",1
"30","Allerleirauh",1
"31","Alles ist einfach",1
"32","Alles ist jetzt",1
"33","Alles ist Klang",1
"34","Alles Liebe",1
"35","Almansor",1
"36","Alpenvorland",1
"37","Alraune",1
"38","Als die Götter Mensch waren",1
"39","Als Kalisch deutsch war ",1
"40","Als ob ein Engel",1
"41","Also sprach Zarathustra",2
"42","Alte Meister",1
"43","Altvatersagen",1
"44","Am Fluss",1
"45","Amor vincit omnia",1
"46","Amphitryonn",1
"47","Amries Vermächtnis",1
"48","An der Pforte zur letzten Latern",1
"49","An diesem Dienstag",1
"50","An Nachtfeuern der Karawanserail",1
"51","Anatol",1
"52","Andorra",2
"53","Andorrand",1
"54","Andorratoroman",1
"55","Andreas Pflüger Endgültig",2
"56","Angelo  Frucht der Gewalt",1
"57","Angelus ltSilesius Cherubinischer Wandersmann",1
"58","Ankwin  Tod eines Kriegers",1
"59","Annette Hess Deutsches Haus",1
"60","Ansichten eines Clowns galic",1
"61","Anthroposophischer Seelenkalender",6
"62","Anthroposophischer Seelenkalendernd",1
"63","Arc de triomphe",1
"64","Ariadne auf Naxos",1
"65","Arkadien brennt",1
"66","Arkadien erwacht",1
"67","Arkadien fällt",1
"68","Arne Drews Himalaya Gold",1
"69","Arne Drews Monsun",1
"70","Arnes Nachlaß",1
"71","Arnold Zweig Das Beil von Wandsbek",1
"72","Arsinoe Königin von Ägypten",1
"73","Arthur Schnitzler Später Ruhm",1
"74","Astropolisn",1
"75","Atemschaukel",1
"76","Auch wenn ich lache muss ich weinenn",1
"77","Auf dass wir klug werden",1
"78","Auf den Inseln des letzten Lichts",1
"79","Auf den Marmorklippen",3
"80","Auf den Spuren von Dan Browns Inferno",1
"81","Auf den Stufen des Mondes",1
"82","Auf der anderen Seite ist das Gras viel grüner",1
"83","Auf der Suche nach Gatt",1
"84","Aufstand der Fischer von St Barbara",1
"85","Auroras Anlass",2
"86","Aus Böhmens Hain und Flur",1
"87","Aus dem Leben eines Fauns",1
"88","Aus dem Schneider",1
"89","Aus dem Tagebuch eines Hundes ",1
"90","Aus den Hochgebirgen von Granada",1
"91","Aus der Triumphgasse",1
"92","Aus geteilten Städten",1
"93","Ausgeliebt",1
"94","Außendeichs und binnendeichs",1
"95","Babylonische Dämmerung",1
"96","Baron Münchhausen",1
"97","Bebuquin oder die Dilettanten des Wunders",1
"98","Bei den Bieresch",1
"99","Bekenntnis",1
"100","Bekenntnisse einer schönen Seele",1
"101","Benachbarte Metalle",1
"102","Benedict Wells Vom Ende der Einsamkeit",2
"103","Benutzt",1
"104","Beppo und Pule",1
"105","Berlin 1945",1
"106","Berlin Alexanderplatz Iwrith",1
"107","Berlin Oranienplatzrk",1
"108","Berliner Verhältnisse",1
"109","Bertha Suttner von Die Waffen nieder",1
"110","Bertolt Brecht Geschichten vom Herrn Keuner",1
"111","Bertolt Brecht Mutter Courage und ihre Kinder",2
"112","Berufung",1
"113","Besuchszeittoroman",1
"114","Beton",1
"115","Bettgeschichten",1
"116","Biedermann und die Brandstifter",1
"117","Blösch",1
"118","Blues für Lilly",1
"119","Bodo oder die Kunst der Gelassenheit",1
"120","Booms Ende",1
"121","Bora",1
"122","Bosporusgoldrk",1
"123","Boxhagener Platz",1
"124","Brands Haide",1
"125","Brandzauber",1
"126","Brasilien ein Land der Zukunft",1
"127","Brendels Fantasie",1
"128","Brennende Blumen",1
"129","Brief einer Unbekannten",1
"130","Brigitte und der Perlenhort",1
"131","Brütt oder Die seufzenden Gärten",1
"132","Buddhistische Erzählungen",1
"133","Caipirinha und ein Tropfen Blut",1
"134","Calabria",1
"135","Chaosgirl",1
"136","Charlotte Link Der Beobachter",1
"137","Charlotte Lucas Dein perfektes Jahr",1
"138","Charlotte Roth Als wir unsterblich waren",1
"139","Cherubin Hammer und Cherubin Hammer",1
"140","Cherubinischer Wandersmann",2
"141","Cherubinischer Wandersmann oder geistreiche Sinn und Schlussreime",1
"142","Chosen  Die Bestimmte",1
"143","Christian Berkel Der Apfelbaum",1
"144","Christoph Ransmayr Atlas eines ängstlichen Mannes",1
"145","Chymische Hochzeit Christiani Rosenkreutz anno 1459",1
"146","Clara S",1
"147","Claudia Erdheim Bist du wahnsinnig geworden",1
"148","Claus Peymann verläßt Bochum und geht als Burgtheaterdirektor nach Wien",1
"149","Clavigo",1
"150","Colours of love  Entblösst",1
"151","Colours of love  Entfesselt",1
