"","uniform.title","count"
"1","",918
"2"," doch die Träume blieben in Afrika",2
"3"," über das Licht der Weihnacht",1
"4"," und baute ihr einen Tempel",2
"5"," und dann verschwand er im Nebel",1
"6"," und dann verschwand er im Nebel ",1
"7"," und der Tag kann kommen",1
"8"," und sie leben dennoch",1
"9"," und sie leben dennoch Iwrith",1
"10"," und sie tat als ob sie schlief",1
"11"," weil Du wie eine Schwester für mich bist",1
"12","0815  bis zum Ende",1
"13","0815 heute",1
"14","0815 in der Kaserne",1
"15","100 Dinge die beste Freundinnen einmal im Leben getan haben sollten",1
"16","100 Dinge die du tun kannst statt mit dem Handy rumzuspielen",2
"17","100 Dinge die Frau einmal im Leben getan haben sollte",3
"18","100 Dinge die Großeltern einmal im Leben getan haben sollten",1
"19","100 Dinge die ich dir wünsche",1
"20","100 Dinge die ich dir wünsche zum Geburtstag",1
"21","100 Dinge die jeder Single einmal tun sollte",1
"22","100 Dinge die jedes Paar einmal tun sollte",2
"23","100 Dinge die Mama einmal im Leben getan haben sollte",1
"24","100 Dinge die man einmal im Leben getan haben sollte",2
"25","100 Dinge die man nach der Hochzeit endlich tun kann",1
"26","100 Dinge die Mann einmal im Leben getan haben sollte",1
"27","100 Dinge die Papa einmal im Leben getan haben sollte",1
"28","100 Gedichte",1
"29","100 Kleinigkeiten die den Tag versüßennd",1
"30","100 x gute Laune fürs Bürond",1
"31","1000 Gefühle für die es keinen Namen gibt",2
"32","1000 Glücksmomente",2
"33","1168274605",1
"34","13 nicht geheure Geschichten",5
"35","16 mal Kunst ltAusstellungskatalog",1
"36","1813  Kriegsfeuer",1
"37","1815  Blutfrieden",1
"38","1979",6
"39","1979n",2
"40","1WTC",1
"41","21 Gründe warum eine Frau mit einem Mann schläft",1
"42","21 Gründe warum eine Frau mit einem Mann schläftrk",1
"43","23",1
"44","28 Tage lang",1
"45","30 werden ist schrecklich abenteuerlich",1
"46","30 werden ist schrecklich entzückend",1
"47","3000 Euro",1
"48","33 Augenblicke des Glücks",8
"49","33 Augenblicke des Glücks Iwrith",1
"50","33 Augenblicke des Glücks neugriech",1
"51","33 Augenblicke des Glücksn",1
"52","33 Augenblicke des Glücksnd",1
"53","33 Augenblicke des Glücksrk",1
"54","33 Zirkusgeschichten",1
"55","365 Augenblicke des Glücks",1
"56","365 Gründe um glücklich zu sein",1
"57","365 gute Worte",1
"58","365 mal Ich liebe dich noch immer",2
"59","365 SonnenGedanken",1
"60","366 gute Gedanken",1
"61","369",1
"62","4 12 Freunde und der Schatz im Schulklo",1
"63","40 Jahre Storchentante",1
"64","40 Stunden",2
"65","40 werden ist furchtbar aufregend",2
"66","50 ist absolut wundervoll",1
"67","50 werden ist schrecklich abenteuerlich",1
"68","50 werden ist unheimlich prickelnd",1
"69","50 Zutaten zur Liebe",1
"70","60 ist ziemlich grandios",1
"71","60 werden ist wahnsinnig berauschend",1
"72","7 Tage mit Gott",1
"73","77 Geschichten aus dem Russenhaus",1
"74","8 kleine Bücher meine Sachen",1
"75","8 verhängnisvolle kurze Geschichten",1
"76","99 Dinge die du nach dem Abitur unbedingt tun solltest",1
"77","99 Dinge die du offline tun kannst",1
"78","99 herrlich verrückte Dinge zum ausprobieren",1
"79","99 herrliche Auszeiten für zwischendurch",1
"80","A distant journey",1
"81","A gathering of crows",1
"82","A kiss at midnight",1
"83","A körülmetélés",1
"84","A passage to India",1
"85","A Place Called Here",1
"86","A righteous kill",1
"87","A single man",1
"88","Aasgeier über Wintersheim",1
"89","Ab jetzt ist Ruhe",1
"90","Ab morgen bin ich Rentner",1
"91","Abaelards Liebe",5
"92","Abaelards Liebe neugriech",1
"93","Abbas Khider Ohrfeige",3
"94","Abdankung",1
"95","AbdelKader",1
"96","Abdias",2
"97","Abend mit Goldrand",1
"98","Abendland",1
"99","Abendliche Häuser",4
"100","Abendlicht neugriech",1
"101","Abendstunde im Spätherbst",1
"102","Abenteuer des Brautpaares",1
"103","AbenteurerNovelle",1
"104","Abgehängt",1
"105","Abgerechnet wird zum Schluss",1
"106","Abgerutscht",1
"107","Abgeschlagen",1
"108","Abgeschnitten",3
"109","Abgeschnitten neugriech",1
"110","Abgeschnittennd",1
"111","Abgrund unter schwarzer Sonne",1
"112","Abraham",1
"113","Abraham  Co",1
"114","Abraham  Cond",1
"115","Abraham Abt",1
"116","Abrauschen",1
"117","Abschaffel",1
"118","Abschaum",1
"119","Abschiebung",1
"120","Abschied des Träumers vom Neunten Land",1
"121","Abschied ohne Ende",2
"122","Abschied von den Eltern",2
"123","Abschied von den Feinden",1
"124","Abschied von Jerusalem",1
"125","Abschied von Jerusalemnd",1
"126","Abschied von Newton",1
"127","Abschied von Sansibar",2
"128","Abschied von Sidonie",8
"129","Abschied von Sidoniend",1
"130","Abschied von Terra",1
"131","Abtrünnig",1
"132","Abwässer",1
"133","Abwesend",1
"134","Ach das himmlische Bodenpersonal",1
"135","Ach diese Lücke diese entsetzliche Lücke",1
"136","Ach du dicker Hund",1
"137","Ach du dickes Ding",1
"138","Ach zur Hölle mit dir",1
"139","Acht Wochen verrückt",1
"140","Achterloo III",1
"141","Achterloork",1
"142","Achtzehn Pasteten",1
"143","Ad absurdum oder eine Reise ins Buchlabyrinth",1
"144","Adalbert Stifter Brigitta",1
"145","Adalbert Stifter Der Hagestolz",1
"146","Adalbert Stifter Nachkommenschaften",1
"147","Adalbert Stifter Zwei Schwestern",1
"148","Adalina",2
"149","Adam Lux",1
"150","Adam und Evelyn",13
"151","Adam und Evelyn neugriech",1
"152","Adam und Evelynn",2
"153","Adam und Evelynnd",2
"154","Adams Erbe",7
"155","Adams Erbend",1
"156","Adelbert Chamisso von Peter Schlemihls wundersame Geschichte",5
"157","Adelheit von Rastenberg",1
"158","Adeline grün und blau",1
"159","Adieu Wien  Bonjour Paris",3
"160","Adler und Engel",21
"161","Adler und Engel Iwrith",1
"162","Adler und Engel neugriech",1
"163","Adler und Engeln",2
"164","Adler und Engelnd",1
"165","Adler und Engelrk",1
"166","Adolf Hitlers Mein Kampfrk",1
