"","Var1","Freq"
"1","-ky",1
"2","Abarbanell, Stephan",1
"8","Achternbusch, Herbert",2
"9","Acklin, Jürg",1
"10","Adler, H. G.",2
"12","Adorján, Johanna",4
"13","Ahlborn, Siegfried Heinz-Jürgen",1
"15","Aichinger, Ilse",2
"16","Aichner, Bernhard",1
"18","Alberts, Jürgen",1
"19","Albes, Andreas",1
"23","Altenberg, Peter",1
"27","Andersch, Alfred",8
"28","Anderson, Poppy J.",3
"29","Andreas-Salomé, Lou",2
"31","Angelus &lt",1
"32","Annas, Max",1
"36","Apitz, Bruno",1
"40","Arango, Sascha",9
"41","Archer, Ursula",2
"42","Arendt, Hannah",1
"43","Arjouni, Jakob",14
"45","Arnim, Achim von",1
"48","ATAK",2
"53","Augustin, Ernst",1
"55","Ausländer, Rose",4
"60","Bachmann, Ingeborg",25
"66","Ball, Hugo",1
"70","Bánk, Zsuzsa",1
"71","Bannalec, Jean-Luc",9
"74","Bärfuss, Lukas",5
"76","Baronsky, Eva",2
"77","Bartschat, Peter Gustav",1
"78","Barz, Paul",1
"81","Bauer, Josef Martin",2
"82","Bauerdick, Rolf",2
"83","Bauersima, Igor",1
"84","Baum, Vicki",4
"87","Bazyar, Shida",1
"90","Becker, Jurek",9
"95","Beer, Alex",1
"100","Belitz, Bettina",3
"103","Benjamin, Walter",4
"104","Benn, Gottfried",8
"105","Bennett, Ben",1
"107","Bentow, Max",1
"109","Berg, Ellen",2
"110","Berg, Sibylle",3
"114","Bergmann, Emanuel",1
"116","Berkéwicz, Ulla",2
"118","Berling, Peter",2
"120","Bernhard, Thomas",69
"122","Bettauer, Hugo",1
"126","Beyer, Marcel",8
"128","Bichsel, Peter",5
"130","Bienek, Horst",1
"131","Bierbaum, Otto Julius",1
"133","Biller, Maxim",3
"136","Binkert, Dörthe",4
"140","Bloch, Ernst",2
"142","Bobrowski, Johannes",3
"144","Bodrožić, Marica",1
"145","Boëtius, Henning",2
"147","Böll, Heinrich",88
"149","Bomann, Corina",10
"150","Bonaventura",1
"153","Bonhoeffer, Dietrich",1
"154","Bonné, Mirko",1
"156","Borchert, Wolfgang",5
"158","Born, Nicolas",3
"160","Borsch, Frank",1
"161","Boschwitz, Ulrich Alexander",1
"163","Bossong, Nora",1
"164","Bote, Hermann",1
"165","Braem, Harald",4
"166","Brandstetter, Alois",1
"167","Brant, Sebastian",1
"168","Brasch, Thomas",3
"169","Braun, Hans Martin",1
"170","Braun, Volker",4
"171","Bräunig, Werner",1
"173","Brecht, Bertolt",48
"175","Brednich, Rolf Wilhelm",3
"176","Bremer, Jan Peter",1
"177","Brendel, Alfred",1
"179","Breuers, Dieter",1
"181","Breznik, Melitta",3
"182","Brinkmann, Rolf Dieter",1
"183","Broch, Hermann",11
"186","Bronsky, Alina",8
"188","Brown, Andrea",1
"190","Brückner, Christine",1
"191","Brunner, Bernd",1
"193","Brussig, Thomas",9
"195","Bruyn, Günter de",2
"196","Buber, Martin",2
"197","Buch, Hans Christoph",2
"198","Buchheim, Lothar-Günther",1
"199","Buchholz, Quint",4
"200","Büchner, Georg",11
"203","Bürger, Gottfried August",3
"204","Burkart, Erika",2
"205","Busch, Andrea C.",1
"207","Busch, Wilhelm",9
"208","Buschinger, Danielle",1
"211","Camenisch, Arno",2
"213","Canetti, Elias",10
"214","Canetti, Veza",5
"216","Capus, Alex",4
"223","Cavelius, Alexandra",1
"224","Celan, Paul",24
"230","Chamisso, Adelbert von",5
"231","Chaplet, Anne",1
"245","Cookson, Catherine",1
"249","Crown, Jonathan",1
"257","Danella, Utta",1
"260","Darlton, Clark",5
"262","Dath, Dietmar",1
"270","Delius, Friedrich Christian",10
"271","Demirkan, Renan",1
"272","Dempf, Peter",2
"276","Dieckmann, Dorothea",1
"277","Dietl, Helmut",1
"279","Dobelli, Rolf",1
"280","Döblin, Alfred",9
"281","Doderer, Heimito von",4
"284","Domin, Hilde",1
"285","Dor, Milo",1
"287","Dorn, Thea",2
"288","Dorn, Wulf",6
"290","Dörrie, Doris",10
"291","Dorst, Tankred",4
"293","Dostojewskij, Fjodor M.",1
"295","Drach, Albert",1
"296","Dragnić, Nataša",6
"298","Droste-Hülshoff, Annette von",2
"299","Drvenkar, Zoran",6
