"","author","count"
"1","A., Sonay",1
"2","Abedi, Isabel",1
"3","Abel, Winnie",1
"4","Abele, Jan",1
"5","Abeln, Reinhard",3
"6","Ablaß, Werner E.",1
"7","Achleitner, Friedrich",1
"8","Achternbusch, Herbert",6
"9","Ackermann, Rolf",1
"10","Adib, Mu.",1
"11","Adler, Hans",1
"12","Adler, Katharina",1
"13","Adorno, Theodor W.",1
"14","Aehnlich, Kathrin",1
"15","Ahlswede, Elke",1
"16","Ahrens, Hanna",1
"17","Aigner, Christoph Wilhelm",2
"18","Alafenisch, Salim",1
"19","Albaneze, Bruna",1
"20","Albany, James",1
"21","Alberts, Jürgen",3
"22","Albrecht, Stefan",1
"23","Alešovec, Jakob",1
"24","Alexandra",1
"25","Allemann, Urs",1
"26","Allmend, Peter",1
"27","Alpsten, Ellen",3
"28","Altenburg, Matthias",2
"29","Altmann, Andreas",1
"30","Altrichter, Michal",1
"31","Altschüler, Boris",1
"32","Ambers, Jennifer",1
"33","Ambras, Elisabeth",1
"34","Amenda, Alfred",1
"35","Amery, Carl",1
"36","Améry, Jean",2
"37","Amrein, Nicole",2
"38","Andeck, Mara",1
"39","Anders, Günther",3
"40","Andersen, Hans Christian",1
"41","Andersson, Leif Lasse",1
"42","Andreä, Johann Valentin",6
"43","Andreas-Salomé, Lou",5
"44","Andresky, Sophie",2
"45","Angelroth, Dirk",1
"46","Ani, Friedrich",7
"47","Annas, Max",2
"48","Ansary, Maryam",1
"49","Anzengruber, Ludwig",1
"50","Appel, Jörg",1
"51","Arbenz, Peter U.",1
"52","Archer, Ursula",2
"53","Arenz, Ewald",2
"54","Arnau, Frank",1
"55","Arndt, Karin",1
"56","Arnim, Achim von",10
"57","Arold, Marliese",2
"58","Arp, Hans",4
"59","Arzt, Thomas",1
"60","Askan, Katrin",2
"61","Ast, Victor",1
"62","Astel, Arnfrid",1
"63","Atabay, Cyrus",1
"64","Auel, Jean M.",1
"65","Augustin, Anita",1
"66","Augustin, Ernst",3
"67","Augustin, Hans",1
"68","Augustin, Michael",2
"69","Averbeck, Sanne",1
"70","Aydemir, Fatma",1
"71","Ayim, May",1
"72","Ayoub, Susanne",1
"73","Babendererde, Antje",1
"74","Babunin, Svetokril",1
"75","Bach, Günther",1
"76","Bacher, Josef",1
"77","Bachmann, Dieter",1
"78","Bachofen, Johann Jakob",1
"79","Back, Jean",1
"80","Bäcker, Heimrad",1
"81","Bader, Katarina",1
"82","Badoux, Christophe",1
"83","Baeredel",1
"84","Baesecke, Georg",1
"85","Bahr, Hermann",2
"86","Bahrdt, Carl Friedrich",1
"87","Baier, Lothar",2
"88","Baldauf, Paul",1
"89","Baldermann, Ingo",1
"90","Ball, Hugo",11
"91","Ballabene, Alfred",1
"92","Ballestrem, Adlerofeld F.",1
"93","Ballien, Tilo",1
"94","Balling, Adalbert Ludwig",2
"95","Bamm, Peter",1
"96","Banciu, Carmen Francesca",1
"97","Banciu, Carmen-Francesca",1
"98","Bankhofer, Hademar",1
"99","Bankl, Hans",1
"100","Banz, Stefan",1
"101","Bardon, Franz",3
"102","Bärend, Irmhild",1
"103","Barényi, Olga",1
"104","Bart, Lore",1
"105","Bartel, Jörg",1
"106","Barth, Armin P.",1
"107","Barthel, Helmut",1
"108","Bartsch, Carina",2
"109","Bartschat, Peter Gustav",3
"110","Barylli, Gabriel",2
"111","Barz, Paul",4
"112","Basner, Gerhard Friedrich",1
"113","Bastian, Till",1
"114","Bauch, Christian",1
"115","Bauer, Alfredo",1
"116","Bauer, Angeline",1
"117","Bauer, Christoph W.",1
"118","Bauer, Dieter",1
"119","Bauer, Gerhard",1
"120","Bauer, Gerhard M.",1
"121","Bauer, Jutta",1
"122","Bauer, Ulrike",1
"123","Bauer, Wolfgang",3
"124","Bauerdick, Rolf",3
"125","Bauersima, Igor",2
"126","Bauknecht, Werner",1
"127","Baum, Oskar",1
"128","Baumann, Iren",1
"129","Baumann, Peter",1
"130","Baumgarten, Jürgen",2
"131","Baumm, Stefanie",1
"132","Bayer, Ingeborg",1
"133","Bayer, Konrad",3
"134","Bayraktar, Mesut",1
"135","Bazlen, Roberto",1
"136","Bazyar, Shida",3
"137","Beaulieu, Jonathan",1
"138","Béchar, Christine",1
"139","Becher, Ulrich",1
"140","Bechstein, Ludwig",3
"141","Beck, Eleonore",1
"142","Beck, Peter",1
"143","Beck, Zoë",4
"144","Becker, Artur",1
"145","Becker, Frank S.",1
"146","Becker, Lars",2
"147","Becker, Thorsten",1
"148","Beckmann, Mani",2
"149","Bedir-Xan, Kâmuran",1
"150","Bednarz, Dieter",1
"151","Beele, Louisa",1
"152","Beer, Alex",4
"153","Beer, Johann",1
"154","Beerwald, Sina",1
"155","Begert, Roland",1
"156","Beholz, Robert",1
"157","Behr, Hans-Georg",2
"158","Behrendt, Leni",1
"159","Bekker, Alfred",2
"160","Belago, Linda",3
"161","Belin, Sara",1
"162","Bemmann, Hans",2
"163","Bender, Marylka",1
"164","Benesch, Kurt",1
"165","Benkau, Jennifer",1
"166","Benning, Sophie",1
"167","Benno, Johann Ernst",1
"168","Bérard, Sophie",2
"169","Berberich, Eva",1
"170","Berenz, Björn",1
"171","Bereuter, Elmar",1
"172","Berg, Alex",3
"173","Berg, Eric",2
"174","Berg, Peter",1
"175","Bergen, Jakov",1
"176","Berger, Axel",2
"177","Berger, Frederik",1
"178","Berger, Herbert",3
"179","Berger, Lore",1
"180","Bergmann, Claire",1
"181","Berkel, Christian",4
"182","Berkeley, Ben",1
"183","Berlin, Katja",1
"184","Bernard, Caroline",4
"185","Berndorf, Jacques",1
"186","Berner, Rotraut Susanne",2
"187","Bernig, Jörg",2
"188","Berst-Frediani, Sascha",1
"189","Berthold, Will",3
"190","Bertola de' Giorgi, Aurelio",1
"191","Bessing, Joachim",1
"192","Beto, Isabel",1
"193","Bettauer, Hugo",2
"194","Bettinger, Martin",1
"195","Beyeler, Hermann Alexander",1
"196","Beyer, Claire",1
"197","Beyer, Sigrid",1
"198","Beyerlein, Gabriele",1
"199","Beyse, Jochen",1
"200","Bichsel, Therese",1
"201","Bielen, Valerie",1
"202","Bieler, Manfred",2
"203","Bienek, Gustav Karl",1
"204","Bierbaum, Otto Julius",2
"205","Biermann, Pieke",3
"206","Biernath, Horst",1
"207","Bilse, Fritz Oswald",1
"208","Binder, Luisa",1
"209","Binder, Wolfgang",1
"210","Birkefeld, Richard",3
"211","Birkner, Friede",3
"212","Bittner, Wolfgang",1
"213","Bjerg, Bov",2
"214","Blaise, Henri",1
"215","Blank-Eismann, Marie",1
"216","Blankertz, Stefan",1
"217","Blaszczyk, Erika",1
"218","Blatter, Silvio",3
"219","Bleher, Amanda Flora Hilda",1
"220","Blickensdörfer, Hans",1
"221","Bloch, Ernst",7
"222","Blom, Philipp",1
"223","Bluhm, Detlef",2
"224","Blum, Arne",1
"225","Blume, Dorothea",1
"226","Böckl, Manfred",1
"227","Böckler, Michael",2
"228","Boehning, Larissa",1
"229","Boeser, Knut",1
"230","Bogdan, Isabel",2
"231","Bogner, Piet",1
"232","Böke, Hubert",1
"233","Bold, Emily",1
"234","Böldl, Klaus",1
"235","Böll, Lisa",1
"236","Bolliger, Max",1
"237","Bollmann, Sören",1
"238","Boltshauser, Patrick",1
"239","Bonaventura",5
"240","Bondy, Luc",1
"241","Bonhoeffer, Dietrich",2
"242","Borchardt, Rudolf",1
"243","Borger, Martina",2
"244","Born, Christoph",2
"245","Borries, Friedrich von",1
"246","Borrmann, Mechtild",3
"247","Borsch, Frank",4
"248","Bosetzky, Horst",1
"249","Bosmans, Phil",2
"250","Bossong, Nora",3
"251","Böttcher, Sven",1
"252","Bottini, Oliver",11
"253","Boulad, Henri",1
"254","Bouma, Hans",1
"255","Bouvier, Claire",2
"256","Boysen, Margret",1
"257","Bozikovic, Michel",1
"258","Bracharz, Kurt",1
"259","Brand, Jule",1
"260","Brandes, Silke",1
"261","Brandhorst, Andreas",3
"262","Brandis, Mark",2
"263","Brandstetter, Alois",2
"264","Brandt, Jan",2
"265","Brandt, Matthias",1
"266","Braslavsky, Emma",1
"267","Braun, Marcus",2
"268","Braunburg, Rudolf",1
"269","Brechbühl, Beat",3
"270","Bredel, Willi",1
"271","Breinersdorfer, Fred",1
"272","Breitbach, Joseph",1
"273","Brem, Ilse",2
"274","Brendel, Alfred",6
"275","Brendt, Peter",1
"276","Brentano, Bernard von",1
"277","Brentano, Clemens",5
"278","Brentano, Franz",1
"279","Breuers, Dieter",2
"280","Breznik, Melitta",4
"281","Bril-Jäger, Roswitha",1
"282","Bringolf, Hans Ormund",1
"283","Bringston, Robert",1
"284","Brod, Max",3
"285","Brosi, Patrick",1
"286","Brückmann, Kathrin",1
"287","Bruckner, Ferdinand",5
"288","Brudereck, Christina",1
"289","Brun, H. S.",1
"290","Brunner, Bernd",2
"291","Brunner, Hans",1
"292","Bruns, Marianne",1
"293","Brus, Günter",2
"294","Bruyn, Günter de",4
"295","Buber-Neumann, Margarete",1
"296","Buch, Hans Christoph",2
