"","author","place_count","title_count","residuals"
"1","A., Sonay",1,1,-0.315852602372467
"2","Abedi, Isabel",1,1,-0.31585260237215
"3","Abel, Winnie",1,5,-1.43112466454368
"4","Abele, Jan",1,1,-0.315852602371783
"5","Abeln, Reinhard",3,3,1.12651136654227
"6","Ablaß, Werner E.",1,1,-0.315852602371783
"7","Achleitner, Friedrich",1,1,-0.315852602371783
"8","Achternbusch, Herbert",6,6,3.29005731991335
"9","Ackermann, Rolf",1,1,-0.315852602371783
"10","Adib, Mu.",1,1,-0.315852602371783
"11","Adler, Hans",1,1,-0.315852602371783
"12","Adler, Katharina",1,1,-0.315852602371783
"13","Adorno, Theodor W.",1,1,-0.315852602371783
"14","Aehnlich, Kathrin",1,1,-0.315852602371783
"15","Ahlswede, Elke",1,1,-0.315852602371783
"16","Ahrens, Hanna",1,1,-0.315852602371783
"17","Aigner, Christoph Wilhelm",2,2,0.405329382085243
"18","Alafenisch, Salim",1,1,-0.315852602371783
"19","Albaneze, Bruna",1,1,-0.315852602371783
"20","Albany, James",1,1,-0.315852602371783
"21","Alberts, Jürgen",3,3,1.12651136654227
"22","Albrecht, Stefan",1,1,-0.315852602371783
"23","Alešovec, Jakob",1,1,-0.315852602371783
"24","Alexandra",1,1,-0.315852602371783
"25","Allemann, Urs",1,1,-0.315852602371783
"26","Allmend, Peter",1,1,-0.315852602371783
"27","Alpsten, Ellen",3,3,1.12651136654227
"28","Altenburg, Matthias",2,2,0.405329382085243
"29","Altmann, Andreas",1,1,-0.315852602371783
"30","Altrichter, Michal",1,2,-0.594670617914757
"31","Altschüler, Boris",1,1,-0.315852602371783
"32","Ambers, Jennifer",1,1,-0.315852602371783
"33","Ambras, Elisabeth",1,2,-0.594670617914757
"34","Amenda, Alfred",1,1,-0.315852602371783
"35","Amery, Carl",1,1,-0.315852602371783
"36","Améry, Jean",2,4,-0.152306649000706
"37","Amrein, Nicole",2,2,0.405329382085243
"38","Andeck, Mara",1,1,-0.315852602371783
"39","Anders, Günther",3,3,1.12651136654227
"40","Andersen, Hans Christian",1,3,-0.873488633457731
"41","Andersson, Leif Lasse",1,1,-0.315852602371783
"42","Andreä, Johann Valentin",6,7,3.01123930437037
"43","Andreas-Salomé, Lou",5,8,1.7324212888274
"44","Andresky, Sophie",2,3,0.126511366542268
"45","Angelroth, Dirk",1,1,-0.315852602371783
"46","Ani, Friedrich",7,13,2.33833121111253
"47","Annas, Max",2,3,0.126511366542268
"48","Ansary, Maryam",1,1,-0.315852602371783
"49","Anzengruber, Ludwig",1,1,-0.315852602371783
"50","Appel, Jörg",1,1,-0.315852602371783
"51","Arbenz, Peter U.",1,1,-0.315852602371783
"52","Archer, Ursula",2,3,0.126511366542268
"53","Arenz, Ewald",2,2,0.405329382085243
"54","Arnau, Frank",1,1,-0.315852602371783
"55","Arndt, Karin",1,1,-0.315852602371783
"56","Arnim, Achim von",10,11,5.89596724219848
"57","Arold, Marliese",2,2,0.405329382085243
"58","Arp, Hans",4,4,1.84769335099929
"59","Arzt, Thomas",1,1,-0.315852602371783
"60","Askan, Katrin",2,2,0.405329382085243
"61","Ast, Victor",1,1,-0.315852602371783
"62","Astel, Arnfrid",1,1,-0.315852602371783
"63","Atabay, Cyrus",1,1,-0.315852602371783
"64","Auel, Jean M.",1,1,-0.315852602371783
"65","Augustin, Anita",1,1,-0.315852602371783
"66","Augustin, Ernst",3,3,1.12651136654227
"67","Augustin, Hans",1,1,-0.315852602371783
"68","Augustin, Michael",2,2,0.405329382085243
"69","Averbeck, Sanne",1,1,-0.315852602371783
"70","Aydemir, Fatma",1,1,-0.315852602371783
"71","Ayim, May",1,1,-0.315852602371783
"72","Ayoub, Susanne",1,1,-0.315852602371783
"73","Babendererde, Antje",1,1,-0.315852602371783
"74","Babunin, Svetokril",1,1,-0.315852602371783
"75","Bach, Günther",1,1,-0.315852602371783
"76","Bacher, Josef",1,1,-0.315852602371783
"77","Bachmann, Dieter",1,1,-0.315852602371783
"78","Bachofen, Johann Jakob",1,1,-0.315852602371783
"79","Back, Jean",1,1,-0.315852602371783
"80","Bäcker, Heimrad",1,1,-0.315852602371783
"81","Bader, Katarina",1,1,-0.315852602371783
"82","Badoux, Christophe",1,1,-0.315852602371783
"83","Baeredel",1,1,-0.315852602371783
"84","Baesecke, Georg",1,1,-0.315852602371783
"85","Bahr, Hermann",2,3,0.126511366542268
"86","Bahrdt, Carl Friedrich",1,1,-0.315852602371783
"87","Baier, Lothar",2,2,0.405329382085243
"88","Baldauf, Paul",1,1,-0.315852602371783
"89","Baldermann, Ingo",1,1,-0.315852602371783
"90","Ball, Hugo",11,14,6.05951319556955
"91","Ballabene, Alfred",1,1,-0.315852602371783
"92","Ballestrem, Adlerofeld F.",1,1,-0.315852602371783
"93","Ballien, Tilo",1,1,-0.315852602371783
"94","Balling, Adalbert Ludwig",2,4,-0.152306649000706
"95","Bamm, Peter",1,1,-0.315852602371783
"96","Banciu, Carmen Francesca",1,3,-0.873488633457731
"97","Banciu, Carmen-Francesca",1,1,-0.315852602371783
"98","Bankhofer, Hademar",1,1,-0.315852602371783
