"","author","count"
"1","-ky",4
"2","Abarbanell, Stephan",5
"3","Addams, Peter",1
"4","Adler, H. G.",5
"5","Adorján, Johanna",12
"6","Aichinger, Ilse",20
"7","Aichner, Bernhard",12
"8","Albes, Andreas",2
"9","Altenberg, Peter",7
"10","Amann, Jürg",2
"11","Andersch, Alfred",17
"12","Anderson, Poppy J.",4
"13","Andres, Stefan",3
"14","Apitz, Bruno",6
"15","Arango, Sascha",24
"16","Arendt, Hannah",3
"17","Arjouni, Jakob",25
"18","Artmann, H. C.",4
"19","ATAK",3
"20","Augustin, Eduard",2
"21","Ausländer, Rose",18
"22","Bach, Tabea",6
"23","Bachmann, Ingeborg",48
"24","Baer, Frank",1
"25","Bánk, Zsuzsa",14
"26","Bannalec, Jean-Luc",15
"27","Barbetta, María Cecilia",4
"28","Bärfuss, Lukas",19
"29","Baronsky, Eva",8
"30","Bauer, Josef Martin",9
"31","Baum, Vicki",11
"32","Bayer, Thommie",3
"33","Becker, Jurek",17
"34","Becker, Zdenka",3
"35","Beer, Erich",2
"36","Belitz, Bettina",3
"37","Benjamin, Walter",14
"38","Benn, Gottfried",35
"39","Bennett, Ben",5
"40","Bentow, Max",5
"41","Berg, Ellen",5
"42","Berg, Sibylle",18
"43","Bergel, Hans",3
"44","Bergengruen, Werner",3
"45","Bergius, C. C.",3
"46","Bergmann, Emanuel",11
"47","Berkéwicz, Ulla",3
"48","Berling, Peter",11
"49","Bernhard, Thomas",83
"50","Bernhardt, Oskar Ernst",1
"51","Bernuth, Christa",6
"52","Beyer, Marcel",26
"53","Bichsel, Peter",19
"54","Bienek, Horst",4
"55","Biller, Maxim",15
"56","Binkert, Dörthe",6
"57","Blobel, Brigitte",2
"58","Bloch, Robert",2
"59","Bô Yin Râ",2
"60","Bobrowski, Johannes",14
"61","Bodrožić, Marica",13
"62","Boëtius, Henning",9
"63","Böll, Heinrich",78
"64","Bomann, Corina",21
"65","Bonné, Mirko",3
"66","Boos, Verena",2
"67","Borchers, Elisabeth",2
"68","Borchert, Wolfgang",15
"69","Born, Nicolas",5
"70","Boschwitz, Ulrich Alexander",12
"71","Braem, Harald",5
"72","Brambach, Rainer",3
"73","Brant, Sebastian",7
"74","Brasch, Thomas",4
"75","Braun, Hans Martin",4
"76","Braun, Volker",15
"77","Bräunig, Werner",3
"78","Brecht, Bertolt",76
"79","Breinholst, Willy",3
"80","Bremer, Alida",2
"81","Bremer, Jan Peter",3
"82","Brenner, Wolfgang",2
"83","Brezina, Thomas",2
"84","Brežná, Irena",6
"85","Brinkmann, Rolf Dieter",4
"86","Broch, Hermann",30
"87","Bronsky, Alina",19
"88","Brückner, Christine",3
"89","Brun, Georg",1
"90","Brussig, Thomas",23
"91","Bubenzer, Anne",1
"92","Buber, Martin",15
"93","Buchheim, Lothar-Günther",10
"94","Buchholz, Quint",11
"95","Buchholz, Simone",5
"96","Büchner, Georg",45
"97","Bürger, Gottfried August",25
"98","Busch, Wilhelm",18
"99","Buschmann, Michael",2
"100","Canal, Anne von",2
"101","Canetti, Elias",35
"102","Cantieni, Monica",4
"103","Capus, Alex",24
"104","Caspari, Sofia",6
"105","Celan, Paul",53
"106","Chamisso, Adelbert von",21
"107","Charon, Daria",3
"108","Cotton, Jerry",7
"109","Courths-Mahler, Hedwig",18
"110","Cremer, Marcel",3
"111","Cristenová, Gabriele Marie",2
"112","Czurda, Elfriede",2
"113","Dahn, Felix",2
"114","Danella, Utta",10
"115","Däniken, Erich von",7
"116","Dark, Jason",3
"117","De Cesco, Federica",4
"118","Degenhardt, Franz Josef",2
"119","Delius, Friedrich Christian",24
"120","Dobbers, Jens",4
"121","Dobelli, Rolf",2
"122","Döblin, Alfred",37
"123","Doderer, Heimito von",14
"124","Domin, Hilde",12
"125","Donhauser, Michael",3
"126","Dörrie, Doris",23
"127","Dorst, Tankred",14
"128","Doyle, Virginia",2
"129","Draesner, Ulrike",2
"130","Dragnić, Nataša",23
"131","Drawert, Kurt",5
"132","Droste-Hülshoff, Annette von",12
"133","Drvenkar, Zoran",19
"134","Dübell, Richard",10
"135","Düffel, John von",5
"136","Dümmel, Karsten",1
"137","Dürrenmatt, Friedrich",80
"138","Dürrson, Werner",2
"139","Durst-Benning, Petra",7
"140","Dutli, Ralph",6
"141","Duve, Karen",13
"142","Ebers, Georg",5
"143","Ebert, Sabine",5
"144","Ebner-Eschenbach, Marie von",4
"145","Egger, Oswald",2
"146","Egli, Werner J.",2
"147","Eich, Günter",10
"148","Eichendorff, Joseph von",17
"149","Ende, Michael",16
"150","Enzensberger, Hans Magnus",49
"151","Erb, Elke",3
"152","Ernsting, Walter",2
"153","Erpenbeck, Jenny",35
"154","Eschbach, Andreas",21
"155","Etzold, Veit",6
"156","Ewers, Hanns Heinz",12
"157","Faes, Urs",8
"158","Falk, Rita",8
"159","Fallada, Hans",38
"160","Faschinger, Lilian",17
"161","Fassbinder, Rainer Werner",10
"162","Fauser, Jörg",8
"163","Federspiel, Jürg",9
"164","Fels, Ludwig",4
"165","Feuchtwanger, Lion",22
"166","Fischer, Claus Cornelius",6
"167","Fischer, Marie Louise",14
"168","Fitzek, Sebastian",37
"169","Flašar, Milena Michiko",12
"170","Fleischhauer, Wolfram",13
"171","Fleming, Kayla",2
"172","Flex, Walter",2
"173","Florescu, Catalin Dorian",7
"174","Föhr, Andreas",6
"175","Fontane, Theodor",37
"176","Fouqué, Friedrich de La Motte-",13
"177","Franck, Julia",30
"178","Frank, Bruno",2
"179","Frank, Leonhard",6
"180","Franke, Herbert W.",1
"181","Franz, Andreas",4
"182","Frei, Pierre",8
"183","Frey, Eleonore",3
"184","Freytag-Loringhoven, Elsa von",2
"185","Fricke, Lucy",2
"186","Fried, Erich",15
"187","Frisch, Max",73
"188","Frischmuth, Barbara",9
"189","Fritsch, Valerie",3
"190","Fröhlich, Susanne",8
"191","Fühmann, Franz",3
"192","Fussenegger, Gertrud",2
"193","Gallinge, Edeltraut",2
"194","Gauch, Sigfrid",2
"195","Gehrisch, Peter",2
"196","Geiger, Arno",16
"197","Geißler, Horst Wolfram",1
"198","Gellert, Christian Fürchtegott",2
"199","Genazino, Wilhelm",26
"200","George, Nina",30
"201","George, Stefan",12
"202","Gercke, Doris",8
"203","Gerstäcker, Friedrich",8
"204","Gesthuysen, Anne",5
"205","Gier, Kerstin",22
"206","Gies, Martin",2
"207","Giordano, Mario",15
"208","Giordano, Ralph",2
"209","Glattauer, Daniel",20
"210","Glauser, Friedrich",17
"211","Glavinic, Thomas",24
"212","Glogger, Beat",2
"213","Goethe, Johann Wolfgang von",180
"214","Goll, Yvan",4
"215","Gombold, Bernd",4
"216","Gomringer, Nora",5
"217","Göritz, Matthias",2
"218","Gotthelf, Jeremias",15
"219","Gräf, Dieter M.",3
"220","Graf, Roman",3
"221","Grän, Christine",4
"222","Grass, Günter",69
"223","Greifeneder, Anke",3
"224","Grigorcea, Dana",3
"225","Grill, Evelyn",5
"226","Grillparzer, Franz",9
"227","Grimmelshausen, Hans Jakob Christoffel von",11
"228","Grjasnowa, Olga",15
"229","Groß, Claudia",5
"230","Grube, Tina",8
"231","Gruber, Andreas",9
"232","Gruber, Sabine",4
"233","Grün, Max von der",10
"234","Grünbein, Durs",20
"235","Gstrein, Norbert",17
"236","Gülich, Martin",7
"237","Haak, Rainer",3
"238","Haas, Wolf",15
"239","Hacke, Axel",13
"240","Hacker, Katharina",14
"241","Hackl, Erich",26
"242","Haderlap, Maja",10
"243","Haffner, Ernst",12
"244","Hagena, Katharina",23
"245","Haich, Elisabeth",14
"246","Haller, Albrecht von",2
"247","Hallo, Ruth",3
"248","Halter, Jürg",2
"249","Hammesfahr, Petra",25
"250","Handke, Peter",73
"251","Händl, Klaus",2
"252","Hanika, Beate Teresa",6
"253","Hansen, Dörte",11
"254","Haratischwili, Nino",12
"255","Haring, Roswitha",2
"256","Hartlieb, Petra",7
"257","Härtling, Peter",19
"258","Hartmann, Lukas",7
"259","Haslinger, Josef",11
"260","Haucke, Ursula",2
"261","Hauer, Elisabeth",5
"262","Hauff, Wilhelm",14
"263","Hauptmann, Gaby",26
"264","Hauptmann, Gerhart",23
"265","Haushofer, Marlen",28
"266","Hebbel, Friedrich",6
"267","Hebel, Johann Peter",8
"268","Heidenreich, Elke",16
"269","Hein, Christoph",23
"270","Hein, Jakob",5
"271","Heine, Heinrich",60
"272","Heine, Helme",3
