"","place","count"
"1","",9
"2","Aachen",1
"3","Aalst",1
"4","Aarau",5
"5","Aarhus",14
"6","Aarhus V",1
"7","Aartselaar",2
"8","Abcoude",1
"9","Acireale",1
"10","Alata",2
"11","Albany",4
"12","Albergen",1
"13","Albi",1
"14","Alès",1
"15","Alfragide",1
"16","Alger",1
"17","Algete",1
"18","Alkmaar",19
"19","Alma Ata",1
"20","Almuñécar",1
"21","Altenahr",1
"22","Altendorf",2
"23","Amsterdam",171
"24","Anderlingen",1
"25","Anghiari",3
"26","Ankara",3
"27","Antwerpen",8
"28","Apeldoorn",2
"29","Arles",27
"30","Assen",1
"31","Assens",1
"32","Asti",2
"33","Athēna",58
"34","Augsburg",4
"35","Austin",3
"36","Averbode",1
"37","Baambrugge",1
"38","Baarn",14
"39","Babenhausen",1
"40","Bad Homburg",1
"41","Bad Oldesloe",1
"42","Baden Baden",2
"43","Bakanlıklar Ankara",1
"44","Balatonboglár",1
"45","Baltimore",2
"46","Banja Luka",1
"47","Barcelona",161
"48","Bari",1
"49","Barnaul",1
"50","Barneveld",4
"51","Barnsley",1
"52","Barnstorf",1
"53","Barret sur Méouge",1
"54","Basel",1
"55","Beek",1
"56","Bègles",1
"57","Beikheim",1
"58","Belfast",1
"59","Bellinzona",4
"60","Belp",2
"61","Belval",2
"62","Benalmádena",1
"63","Beograd",49
"64","Bergamo",2
"65","Bergen",1
"66","Bergisch Gladbach",2
"67","Berkeley",2
"68","Berlin",44
"69","Bern",3
"70","Bernay",1
"71","Bernex Genève",1
"72","Besançon",2
"73","Bethlehem",1
"74","Beyoğlu",4
"75","Białystok",1
"76","Biel",1
"77","Bielefeld",1
"78","Bielsko Biała",5
"79","Bilbao",2
"80","Bleiswijk",4
"81","Bloomington",2
"82","Boadilla del Monte",1
"83","Bocholt",1
"84","Bochum",1
"85","Bogota",1
"86","Bogotá",2
"87","Bologna",3
"88","Bolzano",3
"89","Bolzano Bozen",1
"90","Bonn",1
"91","Borgholzhausen",1
"92","Borsdorf",1
"93","Borstel",1
"94","Boskovice",1
"95","Boston",3
"96","Boulder",2
"97","Boulogne",1
"98","Brabrand",1
"99","Bratislava",1
"100","Braunschweig",1
"101","Breda",5
"102","Bremen",2
"103","Brescia",2
"104","Bresso",1
"105","Brno",71
"106","Brodnica",1
"107","Brookline",1
"108","Brooklyn",4
"109","Budapest",137
"110","Budpest",1
"111","Buenos Aires",11
"112","Burien",1
"113","Bussolengo",1
"114","Bussy Saint Georges",1
"115","Bydgoszcz",1
"116","Čačak",3
"117","Cáceres",5
