"","author","language"
"30","Trelenberg,Thorsten","ger"
"82","Ahlers,Marieta","nds"
"89","Daly,Leo","ger"
"90","Larson,R.J.","ger"
"92","Krenek,Ernst","ger"
"94","Sutcliff,Rosemary","ger"
"102","Roland,Oliver","ger"
"103","Roland,Oliver","ger"
"104","Roland,Oliver","ger"
"112","Braumann,Franz","ger"
"126","Merchant,Judith","lav"
"140","Cesaro,Ingo","ger"
"142","Alahmadi,Galal","ara"
"150","Lichtenstein,Alfred","ger"
"161","Peaston,Angelika","ger"
"178","Adams,Lilly","slo"
"189","Nickel,Artur","ger"
"200","Lenze,Ulla","fin"
"208","Bergmann,Brigitte","ger"
"319","Roland,Oliver","ger"
"328","Buck,Inge","ger"
"500","Weber,Ilse","fry"
"562","Bewersdorff-Langlotz,Eva-Saskia","ger"
"569","Nikolʹska,Mėri","ger"
"676","Hájíček,Jiří","ger"
"684","Glen,Joanna","ger"
"685","Melzer-Geissler,Elisabeth","ger"
"696","Roland,Oliver","ger"
"697","Roland,Oliver","ger"
"765","Ahlers,Marieta","nds"
"790","Behmann,Ulrich","rum"
"818","Miles,William","nds"
"1053","Morrison,Arthur","ger"
"1061","Kretz,Ingrid","lav"
"1105","Herzog,Rudolf","fin"
"1163","Tuomainen,Antti","fin"
"1209","Bode,Sabine","rum"
"1251","Felix,D.S.","ger"
"1291","Goeb-Kümmel,Christine","rum"
"1309","Goeb-Kümmel,Christine","rum"
"1311","Dutli-Rutishauser,Maria","slo"
"1356","Alioth,Gabrielle","ger"
"1379","Laub,Uwe","est"
"1440","Schnell,Peter","mul"
"1479","Гейне,Генріх","ukr"
"1482","Гейне,Генріх","ukr"
"1486","Гейне,Генріх","ukr"
"1524","Jonuleit,Anja","lav"
"1566","Stojka,Ceija","ger"
"1579","Bonner,Stefan","kor"
"1582","Hehl,Walter","ger"
"1635","Fischer,Rena","rum"
"1713","Hersch-Tausky,Daniela","ger"
"1714","Strugalla,Johannes","ger"
"1724","Becker,Cornelia","ara"
"1725","Horowitz,Anthony","ger"
"1757","Irmisch,Beate","nds"
"1761","Löschner,Irmgard","ger"
"1762","Şerban,Robert","ger"
"1821","Werner,Heinz","ger"
"1849","Neumann,Lothar","nds"
"1911","Morrissey,Di","ger"
"1914","Diebels,Birgit","nds"
"1925","Dettmann,Lutz","est"
"2075","Brown,Sandra","ger"
"2140","Kapitelman,Dmitrij","ukr"
"2158","Christie,Agatha","ger"
"2159","Christie,Agatha","ger"
"2217","Mihailescu,Andrei","rum"
"2257","Schmidgall,Renate","ger"
"2268","Wolfensberger,William","ger"
"2305","Heinrich,Finn-Ole","ukr"
"2322","Orczy,Emmuska","ger"
"2325","Parise,ClaudiaC.","ger"
"2345","Schuster,UteAnneMarie","ger"
"2361","Kretz,Ingrid","lav"
"2368","Knopp,Thomas","ger"
"2530","Č'k'vanava,Gela","ger"
"2570","Kolb,Rüdiger","ger"
"2583","Doehnert,Rodica","lav"
"2682","Maar,Paul","chi"
"2703","Bagus,ClaraMaria","kor"
"2739","Clements,Rory","ger"
"2760","Dickow,Barbara","ger"
"2779","Irmisch,Beate","nds"
"2797","Krebs,Gérard","ger"
"2804","Chomley,Antje","ger"
"2805","Ribas,Rosa","ger"
"2919","Kehle,Matthias","ger"
"2929","Kuhn,Horst","ger"
"2968","Schwarz,Peter","nds"
"3097","Schreier,Carsten","nds"
"3184","Hein,ManfredPeter","ger"
"3210","Herzog,Marianne","tir"
"3211","Herzog,Marianne","per"
"3235","Flint,Sarah","ger"
"3272","Fink,Georg","yid"
"3347","Wiese,Brigitte","nds"
"3388","Randt,Leif","ind"
"3419","Courant,Maria","ara"
"3429","Sullivan,MichaelJ.","ger"
"3462","Platzgumer,Hans","est"
"3541","Whitehill,RobertBlake","ger"
"3562","Müller,Katharina","ger"
"3642","Buck,Inge","ger"
"3643","Lain,Tara","ger"
"3705","Stephani,Claus","heb"
"3726","Katz,Leo","yid"
"3815","Laupus,Monika","ger"
"3993","Wüster,Jakob","ger"
"3994","Splitt,Peter","ger"
"4005","Rau,Milo","ger"
"4007","Keller,Volker","heb"
"4008","Baume,Sara","ger"
"4037","Pill,Harry","ger"
"4057","Arnim,MaryAnnettevon","ger"
"4058","Mousli,Lunaal-","ger"
"4134","Mazzi,Lisa","ger"
"4203","Dannhorn,Joung-Ja","kor"
"4210","Griesbach,Corinna","ger"
"4223","Brasch,Marion","fin"
"4259","Mückain,Johanna","ger"
"4268","D'Erceville,Danielė","ger"
"4426","Zieger,Ulrich","ger"
"4490","Norris,Sigrid","ger"
"4525","Netenjakob,Moritz","rum"
"4614","Hock,Kurt","kor"
"4824","Eastland,Sam","ger"
"4837","Molnar,Adolf","fin"
"4850","DalPoggetto,Manuela","ger"
"4956","Moster,Stefan","fin"
"5085","Klas-Glass,Reny","est"
"5125","Shakespeare,William","ger"
"5129","Larionov,Denis","ger"
"5136","Bosse-Sporleder,Maria","est"
"5165","Cesaro,Ingo","ger"
"5173","Loosli,Ruth","ger"
"5244","Hein,ManfredPeter","ice"
"5254","Acklin,Jürg","ara"
"5268","Borra,Antonello","ger"
"5339","Becker,Jürgen","ger"
"5376","Qu,Yuan","chi"
"5404","Leitschuh,MarcusC.","kor"
"5419","Berg,Eva-Maria","ger"
