"","author","place_count","title_count","residuals"
"1","Abbott, David",1,1,-0.0121680186687812
"2","Abel, Winnie",1,5,-1.06702596584814
"3","Abell, Arthur M.",1,1,-0.0121680186687412
"4","Abraham, Filo M.",1,1,-0.0121680186687412
"5","Achermann, Franz Heinrich",1,1,-0.0121680186687412
"6","Acklin, Jürg",2,2,0.724117494536431
"7","Adam, Gabi",1,1,-0.0121680186687412
"8","Adams Richards, David",1,1,-0.0121680186687412
"9","Adams, Lilly",1,1,-0.0121680186687412
"10","Adlhoch, Christine",1,1,-0.0121680186687412
"11","Aebli, Kurt",1,1,-0.0121680186687412
"12","Ahern, Cecelia",2,2,0.724117494536431
"13","Ahlborn, Siegfried Heinz-Jürgen",2,3,0.460403007741604
"14","Ahlers, Marieta",1,2,-0.275882505463569
"15","Ahrens, Renate",1,1,-0.0121680186687412
"16","Aichelburg, Wolf von",1,1,-0.0121680186687412
"17","Aichmayr, Michael",1,1,-0.0121680186687412
"18","Alahmadi, Galal",1,1,-0.0121680186687412
"19","Alioth, Gabrielle",1,1,-0.0121680186687412
"20","Anderhandt, Jakob",1,1,-0.0121680186687412
"21","Anderka, Johanna",1,1,-0.0121680186687412
"22","Arens, Annegrit",2,2,0.724117494536431
"23","Arnim, Mary Annette von",1,1,-0.0121680186687412
"24","Austen, Jane",1,1,-0.0121680186687412
"25","Auwad, Fouad el-",1,1,-0.0121680186687412
"26","Bach, Leonie",1,1,-0.0121680186687412
"27","Bachér, Ingrid",1,1,-0.0121680186687412
"28","Bagheri-Goldschmied, Nahid",1,1,-0.0121680186687412
"29","Bagus, Clara Maria",1,1,-0.0121680186687412
"30","Balfour, Liz",1,1,-0.0121680186687412
"31","Bänsch, Dieter",1,1,-0.0121680186687412
"32","Bardéz, Roberto",1,1,-0.0121680186687412
"33","Barkow, Nick",3,3,1.4604030077416
"34","Barlach, Ernst",1,1,-0.0121680186687412
"35","Barnes, Keith",1,1,-0.0121680186687412
"36","Barth, Peter",1,1,-0.0121680186687412
"37","Bau, Holger",1,1,-0.0121680186687412
"38","Bauer, Katharina",1,1,-0.0121680186687412
"39","Baum, Beate",1,1,-0.0121680186687412
