"","degree(int)"
"Büchner,Barbara",0
"Frischler,Kurt",0
"Göttler,Norbert",0
"Gruber,Marianne",0
"Hochhuth,Rolf",0
"Köhler,Karen",0
"Minelli,Michèle",0
"Öhri,Armin",0
"Steinhoff,Dorian",0
"Treiber,Jutta",0
"Acklin,Jürg",0
"Alahmadi,Galal",0
"Auwad,Fouadel-",0
"Becker,Cornelia",0
"CainKülbel,Jürgen",0
"Courant,Maria",0
"Häfner,Johannes",0
"Hübotter,Klaus",0
"Kipphardt,Heinar",0
"Langenscheidt,Florian",0
"Lenze,Ulla",0
"Mühldorfer,Stefan",0
"Präauer,Teresa",0
"Šalāh,ʿAlīaš-",0
"Schimmel,Annemarie",0
"Dorn,Wulf",0
"Kohl,Paul",0
"Michel,Robert",0
"Aigner,ChristophWilhelm",0
"Altmann,Andreas",0
"Andreä,JohannValentin",0
"Augustin,Hans",0
"Bartschat,PeterGustav",0
"Barylli,Gabriel",0
"Bechstein,Ludwig",0
"Beck,Zoë",0
"Bérard,Sophie",0
"Berger,Axel",0
"Berger,Herbert",0
"Berner,RotrautSusanne",0
"Blaise,Henri",0
"Blatter,Silvio",0
"Brechbühl,Beat",0
"Brem,Ilse",0
"Bruckner,Ferdinand",0
"Cejpek,Lucas",0
"Christ,Eva",0
"Degens,Marc",0
"Dempf,Peter",0
"Demus,Klaus",0
"Deor,Inga",0
"Dinev,Dimitré",0
"Dorian,Ada",0
"Dückers,Tanja",0
"Eisenreich,Herbert",0
"Evert,RoumenM.",0
"Falk,Victorvon",0
"Fatah,Sherko",0
"Feyl,Renate",0
"Frank,Wolfgang",0
"Franzobel",0
"Freud,Sigmund",0
"Freudenthaler,Laura",0
"Fuld,Werner",0
"Ganglbauer,Petra",0
"Garner,R.F.",0
"Gelich,Johannes",0
"Goetsch,Daniel",0
"Goosen,Frank",0
"Gryphius,Andreas",0
"Hammer,JoachimGunter",0
"Hanika,Iris",0
"Haslehner-Götz,Elfriede",0
"Hassler,Silke",0
"Heinrich,FranzJosef",0
"Helle,Heinz",0
"Hennig,Falko",0
"Hirschfeld,Georg",0
"Hochwälder,Fritz",0
"Hoffmann,Léopold",0
"Inusa,Manuela",0
"Jaeckle,Erwin",0
"Jaroschka,Markus",0
"Jonigk,Thomas",0
"Junke,Joe",0
"Kahn,Walter",0
"Kandolf,Franz",0
"Kappacher,Walter",0
