"","x"
"sin",359.681390231443
"mal",341.680402394419
"ben",199.04260887193
"nno",160.437525232069
"gle",158.106360198465
"oci",126.648064880239
"fry",117.496521235587
"nds",110.925557802301
"gla",79.2485077716669
"per",78.3248521633789
"bul",52.9413281043372
"bnt",51.4064270694268
"mlt",50.8742123234761
"kur",48.8577998742831
"lat",47.5765397251488
"arm",47.463120295621
"wel",42.7027690386379
"dsb",32.255690636995
"wln",32.255690636995
"yid",32.255690636995
"ltz",31.2320475711588
"eng",31.0564717005221
"dut",29.8479781323806
"ita",29.8321051165076
"swa",25.5728070956599
"fre",22.1008057184945
"ger",21.6984243896171
"epo",21.4488749889184
"may",20.8128815757046
"hun",20.5847386315156
"chi",20.1209053311829
"heb",19.9318565495906
"cze",19.7451703871999
"bos",18.5803903804765
"bel",17.1974999162263
"fin",17.0514776477339
"glg",16.8360685479818
"slo",16.8250829832549
"tha",16.7066285102647
"dan",16.6060627572155
"ukr",16.1948648149269
"tur",14.8493175933759
"slv",14.4979615766115
"rum",13.2069836770935
"geo",12.8327471534198
"por",12.5900741587697
"bre",12.5769273411477
"lav",11.9711906981248
"hrv",11.9229162515405
"roh",11.1400889097466
"fao",10.1261625826352
"pol",9.98909401343592
"spa",9.98909401343592
"mon",9.62924289650069
"rus",9.13468602114357
"kir",9.06541227353138
"ind",8.6518548344144
"baq",8.08283751783118
"hin",8.01190627038527
"lit",7.6611814619427
"gre",6.83644681860316
"mac",6.80122489924692
"srp",6.73517070889891
"urd",5.71564783101993
"kor",5.62092229022091
"nor",5.49851892228851
"est",5.28909484898211
"ara",4.98477389029475
"cat",4.6868271877906
"vie",2.76289436653439
"kaz",2.58608907871883
"ice",2.15384614011059
"mul",2.06885323201587
"swe",1.93598809524648
"jpn",1.91095760350299
"gsw",0
"hsb",0
"mlg",0
"tir",0
"und",0
"wen",0
