"","hun","eng","eng_hun_match","author"
"1",6,0,"lower","Konsalik,HeinzG."
"2",2,4,"greater","Steiner,Rudolf"
"3",0,2,"greater","Svatek,KurtF."
"4",0,3,"greater","Andersch,Alfred"
"5",1,0,"lower","Bodrožić,Marica"
"6",7,41,"greater","Böll,Heinrich"
"7",0,0,"same","Braun,HansMartin"
"8",0,0,"same","Büchner,Barbara"
"9",0,9,"greater","Büchner,Georg"
"10",0,12,"greater","Celan,Paul"
"11",1,3,"greater","Chamisso,Adelbertvon"
"12",8,12,"greater","Dürrenmatt,Friedrich"
"13",2,0,"lower","Ebert,Sabine"
"14",0,9,"greater","Enzensberger,HansMagnus"
"15",2,21,"greater","Fallada,Hans"
"16",4,0,"lower","Feuchtwanger,Lion"
"17",1,7,"greater","Franck,Julia"
"18",1,11,"greater","Frisch,Max"
"19",0,0,"same","Frischler,Kurt"
"20",1,6,"greater","George,Nina"
"21",11,53,"greater","Goethe,JohannWolfgangvon"
"22",0,0,"same","Göttler,Norbert"
"23",0,0,"same","Grän,Christine"
"24",7,22,"greater","Grass,Günter"
"25",0,3,"greater","Gruber,Marianne"
"26",1,0,"lower","Grün,Maxvonder"
"27",1,2,"greater","Hacker,Katharina"
"28",1,9,"greater","Hackl,Erich"
"29",3,3,"same","Hauptmann,Gaby"
"30",1,0,"lower","Hebbel,Friedrich"
"31",33,40,"greater","Hesse,Hermann"
"32",0,10,"greater","Hilsenrath,Edgar"
"33",0,3,"greater","Hochhuth,Rolf"
"34",2,9,"greater","Hölderlin,Friedrich"
"35",4,11,"greater","Jelinek,Elfriede"
"36",12,66,"greater","Kafka,Franz"
"37",9,9,"same","Kehlmann,Daniel"
"38",0,3,"greater","Keller,Gottfried"
"39",0,0,"same","Köhler,Karen"
"40",6,11,"greater","Lenz,Siegfried"
"41",0,0,"same","Loidolt,Gabriel"
"42",24,47,"greater","Mann,Thomas"
"43",0,0,"same","Marti,Kurt"
"44",0,7,"greater","Mercier,Pascal"
"45",0,0,"same","Minelli,Michèle"
"46",5,14,"greater","Müller,Herta"
"47",0,0,"same","Müller,Wilhelm"
"48",5,6,"greater","Musil,Robert"
"49",0,0,"same","Öhri,Armin"
"50",23,19,"lower","Remarque,ErichMaria"
"51",1,29,"greater","Roth,Joseph"
"52",3,16,"greater","Schlink,Bernhard"
"53",3,26,"greater","Schnitzler,Arthur"
"54",6,6,"same","Schulze,Ingo"
"55",0,0,"same","Steinhoff,Dorian"
"56",6,8,"greater","Süskind,Patrick"
"57",1,8,"greater","Trakl,Georg"
"58",0,0,"same","Treiber,Jutta"
"59",1,3,"greater","Treichel,Hans-Ulrich"
"60",0,4,"greater","Wallner,Michael"
"61",6,22,"greater","Walser,Robert"
"62",1,17,"greater","Wolf,Christa"
"63",1,11,"greater","Zeh,Juli"
"64",6,23,"greater","Zweig,Stefan"
"65",0,0,"same","Acklin,Jürg"
"66",0,0,"same","Alahmadi,Galal"
"67",0,0,"same","Auwad,Fouadel-"
"68",2,11,"greater","Bachmann,Ingeborg"
"69",0,0,"same","Becker,Cornelia"
"70",2,5,"greater","Benn,Gottfried"
"71",0,0,"same","Born,Nicolas"
"72",0,2,"greater","Braun,Volker"
"73",4,47,"greater","Brecht,Bertolt"
"74",0,1,"greater","Brussig,Thomas"
"75",0,0,"same","CainKülbel,Jürgen"
"76",0,0,"same","Courant,Maria"
"77",0,4,"greater","Delius,FriedrichChristian"
"78",2,12,"greater","Erpenbeck,Jenny"
"79",3,10,"greater","Fontane,Theodor"
"80",1,3,"greater","Frischmuth,Barbara"
"81",1,1,"same","Geiger,Arno"
"82",0,3,"greater","Gstrein,Norbert"
