"","Var1","Freq"
"1","alb",2
"2","ara",3
"3","aze",1
"4","baq",1
"5","bos",1
"6","bul",1
"7","cat",5
"8","chi",2
"9","cze",5
"10","dan",13
"11","dut",16
"12","eng",17
"13","est",2
"14","fin",8
"15","fre",14
"16","geo",2
"17","glg",2
"18","gre",4
"19","heb",1
"20","hin",1
"21","hrv",3
"22","hun",6
"23","ice",2
"24","ita",17
"25","jpn",4
"26","lav",1
"27","lit",3
"28","mac",2
"29","nor",5
"30","per",3
"31","pol",15
"32","por",14
"33","rum",14
"34","rus",4
"35","slo",2
"36","slv",7
"37","spa",22
"38","srp",4
"39","swe",18
"40","tur",4
"41","ukr",1
